Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1850,1,11.824,0_Global,Global,ALL,ALL
1850,2,12.607,0_Global,Global,ALL,ALL
1850,3,13.091,0_Global,Global,ALL,ALL
1850,4,13.736,0_Global,Global,ALL,ALL
1850,5,14.584,0_Global,Global,ALL,ALL
1850,6,15.511,0_Global,Global,ALL,ALL
1850,7,16.005,0_Global,Global,ALL,ALL
1850,8,15.902,0_Global,Global,ALL,ALL
1850,9,15.056,0_Global,Global,ALL,ALL
1850,10,13.955,0_Global,Global,ALL,ALL
1850,11,12.974,0_Global,Global,ALL,ALL
1850,12,12.34,0_Global,Global,ALL,ALL
1851,1,12.421,0_Global,Global,ALL,ALL
1851,2,12.415,0_Global,Global,ALL,ALL
1851,3,12.905,0_Global,Global,ALL,ALL
1851,4,13.71,0_Global,Global,ALL,ALL
1851,5,14.88,0_Global,Global,ALL,ALL
1851,6,15.609,0_Global,Global,ALL,ALL
1851,7,15.974,0_Global,Global,ALL,ALL
1851,8,15.762,0_Global,Global,ALL,ALL
1851,9,15.088,0_Global,Global,ALL,ALL
1851,10,14.409,0_Global,Global,ALL,ALL
1851,11,13.176,0_Global,Global,ALL,ALL
1851,12,12.681,0_Global,Global,ALL,ALL
1852,1,12.352,0_Global,Global,ALL,ALL
1852,2,12.326,0_Global,Global,ALL,ALL
1852,3,12.712,0_Global,Global,ALL,ALL
1852,4,13.814,0_Global,Global,ALL,ALL
1852,5,15.065,0_Global,Global,ALL,ALL
1852,6,15.756,0_Global,Global,ALL,ALL
1852,7,16.148,0_Global,Global,ALL,ALL
1852,8,15.72,0_Global,Global,ALL,ALL
1852,9,15.178,0_Global,Global,ALL,ALL
1852,10,14.39,0_Global,Global,ALL,ALL
1852,11,13.015,0_Global,Global,ALL,ALL
1852,12,12.909,0_Global,Global,ALL,ALL
1853,1,12.235,0_Global,Global,ALL,ALL
1853,2,12.489,0_Global,Global,ALL,ALL
1853,3,13.07,0_Global,Global,ALL,ALL
1853,4,14.074,0_Global,Global,ALL,ALL
1853,5,14.953,0_Global,Global,ALL,ALL
1853,6,15.699,0_Global,Global,ALL,ALL
1853,7,16.222,0_Global,Global,ALL,ALL
1853,8,16.017,0_Global,Global,ALL,ALL
1853,9,15.085,0_Global,Global,ALL,ALL
1853,10,14.082,0_Global,Global,ALL,ALL
1853,11,12.904,0_Global,Global,ALL,ALL
1853,12,12.502,0_Global,Global,ALL,ALL
1854,1,12.032,0_Global,Global,ALL,ALL
1854,2,12.247,0_Global,Global,ALL,ALL
1854,3,13.203,0_Global,Global,ALL,ALL
1854,4,13.915,0_Global,Global,ALL,ALL
1854,5,14.918,0_Global,Global,ALL,ALL
1854,6,15.372,0_Global,Global,ALL,ALL
1854,7,15.972,0_Global,Global,ALL,ALL
1854,8,15.848,0_Global,Global,ALL,ALL
1854,9,15.206,0_Global,Global,ALL,ALL
1854,10,14.644,0_Global,Global,ALL,ALL
1854,11,13.303,0_Global,Global,ALL,ALL
1854,12,12.624,0_Global,Global,ALL,ALL
1855,1,12.553,0_Global,Global,ALL,ALL
1855,2,12.7,0_Global,Global,ALL,ALL
1855,3,13.172,0_Global,Global,ALL,ALL
1855,4,14.235,0_Global,Global,ALL,ALL
1855,5,14.968,0_Global,Global,ALL,ALL
1855,6,15.505,0_Global,Global,ALL,ALL
1855,7,15.77,0_Global,Global,ALL,ALL
1855,8,15.788,0_Global,Global,ALL,ALL
1855,9,14.982,0_Global,Global,ALL,ALL
1855,10,14.214,0_Global,Global,ALL,ALL
1855,11,13.135,0_Global,Global,ALL,ALL
1855,12,12.265,0_Global,Global,ALL,ALL
1856,1,12.588,0_Global,Global,ALL,ALL
1856,2,12.404,0_Global,Global,ALL,ALL
1856,3,13.02,0_Global,Global,ALL,ALL
1856,4,13.899,0_Global,Global,ALL,ALL
1856,5,14.848,0_Global,Global,ALL,ALL
1856,6,15.707,0_Global,Global,ALL,ALL
1856,7,15.854,0_Global,Global,ALL,ALL
1856,8,15.512,0_Global,Global,ALL,ALL
1856,9,14.737,0_Global,Global,ALL,ALL
1856,10,13.841,0_Global,Global,ALL,ALL
