Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1857,1,22.046,10_Pretoria,South Africa,24.92 S,28.37 E
1857,2,22.155,10_Pretoria,South Africa,24.92 S,28.37 E
1857,3,20.399,10_Pretoria,South Africa,24.92 S,28.37 E
1857,4,16.733,10_Pretoria,South Africa,24.92 S,28.37 E
1857,5,13.663,10_Pretoria,South Africa,24.92 S,28.37 E
1857,6,10.796,10_Pretoria,South Africa,24.92 S,28.37 E
1857,7,11.218,10_Pretoria,South Africa,24.92 S,28.37 E
1857,8,14.646,10_Pretoria,South Africa,24.92 S,28.37 E
1857,9,18.4,10_Pretoria,South Africa,24.92 S,28.37 E
1857,10,20.359,10_Pretoria,South Africa,24.92 S,28.37 E
1857,11,21.623,10_Pretoria,South Africa,24.92 S,28.37 E
1857,12,22.046,10_Pretoria,South Africa,24.92 S,28.37 E
1858,1,22.559,10_Pretoria,South Africa,24.92 S,28.37 E
1858,2,21.81,10_Pretoria,South Africa,24.92 S,28.37 E
1858,3,20.731,10_Pretoria,South Africa,24.92 S,28.37 E
1858,4,18.578,10_Pretoria,South Africa,24.92 S,28.37 E
1858,5,14.36,10_Pretoria,South Africa,24.92 S,28.37 E
1858,6,11.871,10_Pretoria,South Africa,24.92 S,28.37 E
1858,7,10.821,10_Pretoria,South Africa,24.92 S,28.37 E
1858,8,14.493,10_Pretoria,South Africa,24.92 S,28.37 E
1858,9,18.351,10_Pretoria,South Africa,24.92 S,28.37 E
1858,10,20.873,10_Pretoria,South Africa,24.92 S,28.37 E
1858,11,22.196,10_Pretoria,South Africa,24.92 S,28.37 E
1858,12,21.544,10_Pretoria,South Africa,24.92 S,28.37 E
1859,1,22.327,10_Pretoria,South Africa,24.92 S,28.37 E
1859,2,21.897,10_Pretoria,South Africa,24.92 S,28.37 E
1859,3,20.997,10_Pretoria,South Africa,24.92 S,28.37 E
1859,4,18.409,10_Pretoria,South Africa,24.92 S,28.37 E
1859,5,15.085,10_Pretoria,South Africa,24.92 S,28.37 E
1859,6,11.831,10_Pretoria,South Africa,24.92 S,28.37 E
1859,7,11.314,10_Pretoria,South Africa,24.92 S,28.37 E
1859,8,14.398,10_Pretoria,South Africa,24.92 S,28.37 E
1859,9,18.45,10_Pretoria,South Africa,24.92 S,28.37 E
1859,10,20.914,10_Pretoria,South Africa,24.92 S,28.37 E
1859,11,21.789,10_Pretoria,South Africa,24.92 S,28.37 E
1859,12,22.557,10_Pretoria,South Africa,24.92 S,28.37 E
1860,1,22.054,10_Pretoria,South Africa,24.92 S,28.37 E
1860,2,22.84,10_Pretoria,South Africa,24.92 S,28.37 E
1860,3,20.767,10_Pretoria,South Africa,24.92 S,28.37 E
1860,4,17.749,10_Pretoria,South Africa,24.92 S,28.37 E
1860,5,14.781,10_Pretoria,South Africa,24.92 S,28.37 E
1860,6,11.935,10_Pretoria,South Africa,24.92 S,28.37 E
1860,7,11.274,10_Pretoria,South Africa,24.92 S,28.37 E
1860,8,14.899,10_Pretoria,South Africa,24.92 S,28.37 E
1860,9,17.822,10_Pretoria,South Africa,24.92 S,28.37 E
1860,10,20.623,10_Pretoria,South Africa,24.92 S,28.37 E
1860,11,20.344,10_Pretoria,South Africa,24.92 S,28.37 E
1860,12,20.932,10_Pretoria,South Africa,24.92 S,28.37 E
1861,1,21.684,10_Pretoria,South Africa,24.92 S,28.37 E
1861,2,20.669,10_Pretoria,South Africa,24.92 S,28.37 E
1861,3,20.016,10_Pretoria,South Africa,24.92 S,28.37 E
1861,4,17.652,10_Pretoria,South Africa,24.92 S,28.37 E
1861,5,14.265,10_Pretoria,South Africa,24.92 S,28.37 E
1861,6,11.783,10_Pretoria,South Africa,24.92 S,28.37 E
1861,7,11.35,10_Pretoria,South Africa,24.92 S,28.37 E
1861,8,14.71,10_Pretoria,South Africa,24.92 S,28.37 E
1861,9,19.495,10_Pretoria,South Africa,24.92 S,28.37 E
1861,10,20.377,10_Pretoria,South Africa,24.92 S,28.37 E
1861,11,21.388,10_Pretoria,South Africa,24.92 S,28.37 E
1861,12,21.848,10_Pretoria,South Africa,24.92 S,28.37 E
1862,1,21.304,10_Pretoria,South Africa,24.92 S,28.37 E
1862,2,21.854,10_Pretoria,South Africa,24.92 S,28.37 E
1862,3,20.266,10_Pretoria,South Africa,24.92 S,28.37 E
1862,4,17.518,10_Pretoria,South Africa,24.92 S,28.37 E
1862,5,14.368,10_Pretoria,South Africa,24.92 S,28.37 E
1862,6,11.217,10_Pretoria,South Africa,24.92 S,28.37 E
1862,7,11.853,10_Pretoria,South Africa,24.92 S,28.37 E
1862,8,13.64,10_Pretoria,South Africa,24.92 S,28.37 E
1862,9,18.078,10_Pretoria,South Africa,24.92 S,28.37 E
1862,10,20.41,10_Pretoria,South Africa,24.92 S,28.37 E
1862,11,21.332,10_Pretoria,South Africa,24.92 S,28.37 E
1862,12,21.961,10_Pretoria,South Africa,24.92 S,28.37 E
1863,1,22.975,10_Pretoria,South Africa,24.92 S,28.37 E
1863,2,22.279,10_Pretoria,South Africa,24.92 S,28.37 E
1863,3,20.635,10_Pretoria,South Africa,24.92 S,28.37 E
1863,4,18.208,10_Pretoria,South Africa,24.92 S,28.37 E
1863,5,13.979,10_Pretoria,South Africa,24.92 S,28.37 E
1863,6,11.786,10_Pretoria,South Africa,24.92 S,28.37 E
1863,7,11.849,10_Pretoria,South Africa,24.92 S,28.37 E
1863,8,14.159,10_Pretoria,South Africa,24.92 S,28.37 E
1863,9,17.567,10_Pretoria,South Africa,24.92 S,28.37 E
1863,10,20.428,10_Pretoria,South Africa,24.92 S,28.37 E
1863,11,21.062,10_Pretoria,South Africa,24.92 S,28.37 E
1863,12,21.974,10_Pretoria,South Africa,24.92 S,28.37 E
1864,1,22.538,10_Pretoria,South Africa,24.92 S,28.37 E
1864,2,22.052,10_Pretoria,South Africa,24.92 S,28.37 E
1864,3,19.926,10_Pretoria,South Africa,24.92 S,28.37 E
1864,4,16.468,10_Pretoria,South Africa,24.92 S,28.37 E
1864,5,14.901,10_Pretoria,South Africa,24.92 S,28.37 E
1864,6,11.42,10_Pretoria,South Africa,24.92 S,28.37 E
1864,7,11.342,10_Pretoria,South Africa,24.92 S,28.37 E
1864,8,14.545,10_Pretoria,South Africa,24.92 S,28.37 E
1864,9,19.022,10_Pretoria,South Africa,24.92 S,28.37 E
1864,10,20.946,10_Pretoria,South Africa,24.92 S,28.37 E
1864,11,21.416,10_Pretoria,South Africa,24.92 S,28.37 E
1864,12,22.464,10_Pretoria,South Africa,24.92 S,28.37 E
1865,1,22.943,10_Pretoria,South Africa,24.92 S,28.37 E
1865,2,22.057,10_Pretoria,South Africa,24.92 S,28.37 E
1865,3,21.464,10_Pretoria,South Africa,24.92 S,28.37 E
1865,4,18.131,10_Pretoria,South Africa,24.92 S,28.37 E
1865,5,14.555,10_Pretoria,South Africa,24.92 S,28.37 E
1865,6,11.433,10_Pretoria,South Africa,24.92 S,28.37 E
1865,7,12.72,10_Pretoria,South Africa,24.92 S,28.37 E
1865,8,15.387,10_Pretoria,South Africa,24.92 S,28.37 E
1865,9,18.63,10_Pretoria,South Africa,24.92 S,28.37 E
1865,10,21.819,10_Pretoria,South Africa,24.92 S,28.37 E
1865,11,21.662,10_Pretoria,South Africa,24.92 S,28.37 E
1865,12,22.064,10_Pretoria,South Africa,24.92 S,28.37 E
1866,1,23.641,10_Pretoria,South Africa,24.92 S,28.37 E
1866,2,22.689,10_Pretoria,South Africa,24.92 S,28.37 E
1866,3,20.836,10_Pretoria,South Africa,24.92 S,28.37 E
1866,4,17.973,10_Pretoria,South Africa,24.92 S,28.37 E
1866,5,14.792,10_Pretoria,South Africa,24.92 S,28.37 E
1866,6,11.406,10_Pretoria,South Africa,24.92 S,28.37 E
1866,7,12.039,10_Pretoria,South Africa,24.92 S,28.37 E
1866,8,14.743,10_Pretoria,South Africa,24.92 S,28.37 E
1866,9,18.733,10_Pretoria,South Africa,24.92 S,28.37 E
1866,10,20.788,10_Pretoria,South Africa,24.92 S,28.37 E
1866,11,22.207,10_Pretoria,South Africa,24.92 S,28.37 E
1866,12,22.595,10_Pretoria,South Africa,24.92 S,28.37 E
1867,1,23.106,10_Pretoria,South Africa,24.92 S,28.37 E
1867,2,22.149,10_Pretoria,South Africa,24.92 S,28.37 E
1867,3,20.608,10_Pretoria,South Africa,24.92 S,28.37 E
1867,4,18.048,10_Pretoria,South Africa,24.92 S,28.37 E
1867,5,14.226,10_Pretoria,South Africa,24.92 S,28.37 E
1867,6,11.861,10_Pretoria,South Africa,24.92 S,28.37 E
1867,7,12.133,10_Pretoria,South Africa,24.92 S,28.37 E
1867,8,14.977,10_Pretoria,South Africa,24.92 S,28.37 E
1867,9,18.866,10_Pretoria,South Africa,24.92 S,28.37 E
1867,10,21.037,10_Pretoria,South Africa,24.92 S,28.37 E
1867,11,22.813,10_Pretoria,South Africa,24.92 S,28.37 E
1867,12,22.645,10_Pretoria,South Africa,24.92 S,28.37 E
1868,1,22.403,10_Pretoria,South Africa,24.92 S,28.37 E
1868,2,21.395,10_Pretoria,South Africa,24.92 S,28.37 E
1868,3,20.307,10_Pretoria,South Africa,24.92 S,28.37 E
1868,4,17.8,10_Pretoria,South Africa,24.92 S,28.37 E
1868,5,14.596,10_Pretoria,South Africa,24.92 S,28.37 E
1868,6,11.613,10_Pretoria,South Africa,24.92 S,28.37 E
1868,7,11.917,10_Pretoria,South Africa,24.92 S,28.37 E
1868,8,15.25,10_Pretoria,South Africa,24.92 S,28.37 E
1868,9,18.491,10_Pretoria,South Africa,24.92 S,28.37 E
1868,10,21.211,10_Pretoria,South Africa,24.92 S,28.37 E
1868,11,21.172,10_Pretoria,South Africa,24.92 S,28.37 E
1868,12,21.96,10_Pretoria,South Africa,24.92 S,28.37 E
1869,1,22.716,10_Pretoria,South Africa,24.92 S,28.37 E
1869,2,23.431,10_Pretoria,South Africa,24.92 S,28.37 E
1869,3,20.573,10_Pretoria,South Africa,24.92 S,28.37 E
1869,4,18.111,10_Pretoria,South Africa,24.92 S,28.37 E
1869,5,14.707,10_Pretoria,South Africa,24.92 S,28.37 E
1869,6,12.184,10_Pretoria,South Africa,24.92 S,28.37 E
1869,7,11.69,10_Pretoria,South Africa,24.92 S,28.37 E
1869,8,15.004,10_Pretoria,South Africa,24.92 S,28.37 E
1869,9,19.422,10_Pretoria,South Africa,24.92 S,28.37 E
1869,10,21.128,10_Pretoria,South Africa,24.92 S,28.37 E
1869,11,21.798,10_Pretoria,South Africa,24.92 S,28.37 E
1869,12,21.476,10_Pretoria,South Africa,24.92 S,28.37 E
1870,1,22.273,10_Pretoria,South Africa,24.92 S,28.37 E
1870,2,21.887,10_Pretoria,South Africa,24.92 S,28.37 E
1870,3,20.429,10_Pretoria,South Africa,24.92 S,28.37 E
1870,4,17.888,10_Pretoria,South Africa,24.92 S,28.37 E
1870,5,14.11,10_Pretoria,South Africa,24.92 S,28.37 E
1870,6,12.047,10_Pretoria,South Africa,24.92 S,28.37 E
1870,7,11.763,10_Pretoria,South Africa,24.92 S,28.37 E
1870,8,14.488,10_Pretoria,South Africa,24.92 S,28.37 E
1870,9,19.041,10_Pretoria,South Africa,24.92 S,28.37 E
1870,10,21.018,10_Pretoria,South Africa,24.92 S,28.37 E
1870,11,21.782,10_Pretoria,South Africa,24.92 S,28.37 E
1870,12,21.454,10_Pretoria,South Africa,24.92 S,28.37 E
1871,1,21.838,10_Pretoria,South Africa,24.92 S,28.37 E
1871,2,21.572,10_Pretoria,South Africa,24.92 S,28.37 E
1871,3,20.569,10_Pretoria,South Africa,24.92 S,28.37 E
1871,4,18.389,10_Pretoria,South Africa,24.92 S,28.37 E
1871,5,14.701,10_Pretoria,South Africa,24.92 S,28.37 E
1871,6,11.557,10_Pretoria,South Africa,24.92 S,28.37 E
1871,7,11.784,10_Pretoria,South Africa,24.92 S,28.37 E
1871,8,14.895,10_Pretoria,South Africa,24.92 S,28.37 E
1871,9,19.151,10_Pretoria,South Africa,24.92 S,28.37 E
1871,10,21.224,10_Pretoria,South Africa,24.92 S,28.37 E
1871,11,21.101,10_Pretoria,South Africa,24.92 S,28.37 E
1871,12,21.93,10_Pretoria,South Africa,24.92 S,28.37 E
1872,1,21.988,10_Pretoria,South Africa,24.92 S,28.37 E
1872,2,22.179,10_Pretoria,South Africa,24.92 S,28.37 E
1872,3,20.933,10_Pretoria,South Africa,24.92 S,28.37 E
1872,4,17.922,10_Pretoria,South Africa,24.92 S,28.37 E
1872,5,14.869,10_Pretoria,South Africa,24.92 S,28.37 E
1872,6,11.475,10_Pretoria,South Africa,24.92 S,28.37 E
1872,7,11.801,10_Pretoria,South Africa,24.92 S,28.37 E
1872,8,15.011,10_Pretoria,South Africa,24.92 S,28.37 E
1872,9,18.602,10_Pretoria,South Africa,24.92 S,28.37 E
1872,10,21.245,10_Pretoria,South Africa,24.92 S,28.37 E
1872,11,21.266,10_Pretoria,South Africa,24.92 S,28.37 E
1872,12,21.658,10_Pretoria,South Africa,24.92 S,28.37 E
1873,1,22.892,10_Pretoria,South Africa,24.92 S,28.37 E
1873,2,22.719,10_Pretoria,South Africa,24.92 S,28.37 E
1873,3,20.986,10_Pretoria,South Africa,24.92 S,28.37 E
1873,4,17.757,10_Pretoria,South Africa,24.92 S,28.37 E
1873,5,14.942,10_Pretoria,South Africa,24.92 S,28.37 E
1873,6,12.034,10_Pretoria,South Africa,24.92 S,28.37 E
1873,7,12.083,10_Pretoria,South Africa,24.92 S,28.37 E
1873,8,14.884,10_Pretoria,South Africa,24.92 S,28.37 E
1873,9,,10_Pretoria,South Africa,24.92 S,28.37 E
1873,10,,10_Pretoria,South Africa,24.92 S,28.37 E
1873,11,,10_Pretoria,South Africa,24.92 S,28.37 E
1873,12,,10_Pretoria,South Africa,24.92 S,28.37 E
1874,1,23.111,10_Pretoria,South Africa,24.92 S,28.37 E
1874,2,22.587,10_Pretoria,South Africa,24.92 S,28.37 E
1874,3,20.495,10_Pretoria,South Africa,24.92 S,28.37 E
1874,4,17.787,10_Pretoria,South Africa,24.92 S,28.37 E
1874,5,14.458,10_Pretoria,South Africa,24.92 S,28.37 E
1874,6,11.447,10_Pretoria,South Africa,24.92 S,28.37 E
1874,7,11.067,10_Pretoria,South Africa,24.92 S,28.37 E
1874,8,14.852,10_Pretoria,South Africa,24.92 S,28.37 E
1874,9,19.232,10_Pretoria,South Africa,24.92 S,28.37 E
1874,10,20.981,10_Pretoria,South Africa,24.92 S,28.37 E
1874,11,21.745,10_Pretoria,South Africa,24.92 S,28.37 E
1874,12,22.326,10_Pretoria,South Africa,24.92 S,28.37 E
1875,1,22.499,10_Pretoria,South Africa,24.92 S,28.37 E
1875,2,22.3,10_Pretoria,South Africa,24.92 S,28.37 E
1875,3,20.613,10_Pretoria,South Africa,24.92 S,28.37 E
1875,4,17.743,10_Pretoria,South Africa,24.92 S,28.37 E
1875,5,14.364,10_Pretoria,South Africa,24.92 S,28.37 E
1875,6,11.317,10_Pretoria,South Africa,24.92 S,28.37 E
1875,7,11.52,10_Pretoria,South Africa,24.92 S,28.37 E
1875,8,14.288,10_Pretoria,South Africa,24.92 S,28.37 E
1875,9,17.806,10_Pretoria,South Africa,24.92 S,28.37 E
1875,10,20.611,10_Pretoria,South Africa,24.92 S,28.37 E
1875,11,21.226,10_Pretoria,South Africa,24.92 S,28.37 E
1875,12,21.949,10_Pretoria,South Africa,24.92 S,28.37 E
1876,1,22.729,10_Pretoria,South Africa,24.92 S,28.37 E
1876,2,22.141,10_Pretoria,South Africa,24.92 S,28.37 E
1876,3,20.448,10_Pretoria,South Africa,24.92 S,28.37 E
1876,4,18.423,10_Pretoria,South Africa,24.92 S,28.37 E
