Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1780,1,8.495,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,2,11.188,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,3,13.898,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,4,19.841,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,5,21.765,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,6,23.877,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,7,27.623,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,8,25.539,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,9,21.283,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,10,18.961,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,11,12.931,11_Marrakesh,Morocco,31.35 N,7.54 W
1780,12,8.137,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,1,8.595,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,2,10.205,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,3,13.581,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,4,15.213,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,5,19.362,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,6,21.701,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,7,26.84,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,8,26.95,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,9,21.69,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,10,17.986,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,11,15.014,11_Marrakesh,Morocco,31.35 N,7.54 W
1781,12,9.803,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,1,7.344,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,2,8.832,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,3,12.219,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,4,15.768,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,5,19.393,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,6,24.074,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,7,26.593,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,8,28.042,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,9,23.766,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,10,17.618,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,11,11.597,11_Marrakesh,Morocco,31.35 N,7.54 W
1782,12,8.018,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,1,5.838,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,2,11.765,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,3,13.233,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,4,16.021,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,5,19.524,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,6,24.67,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,7,26.399,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,8,26.35,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,9,21.109,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,10,17.27,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,11,10.829,11_Marrakesh,Morocco,31.35 N,7.54 W
1783,12,10.029,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,1,9.135,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,2,9.548,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,3,13.393,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,4,15.915,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,5,18.114,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,6,23.946,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,7,27.241,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,8,26.997,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,9,21.844,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,10,17.038,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,11,11.875,11_Marrakesh,Morocco,31.35 N,7.54 W
1784,12,8.134,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,1,9.246,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,2,9.592,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,3,10.922,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,4,14.976,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,5,18.618,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,6,25.134,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,7,27.046,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,8,27.217,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,9,22.528,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,10,17.915,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,11,13.177,11_Marrakesh,Morocco,31.35 N,7.54 W
1785,12,7.817,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,1,7.027,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,2,9.957,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,3,14.256,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,4,16.234,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,5,20.02,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,6,24.003,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,7,27.663,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,8,27.219,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,9,23.942,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,10,18.177,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,11,11.241,11_Marrakesh,Morocco,31.35 N,7.54 W
1786,12,6.937,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,1,9.781,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,2,11.7,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,3,14.101,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,4,15.283,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,5,19.2,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,6,23.844,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,7,24.947,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,8,25.744,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,9,21.795,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,10,17.248,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,11,12.064,11_Marrakesh,Morocco,31.35 N,7.54 W
1787,12,9.157,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,1,6.256,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,2,11.595,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,3,13.415,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,4,16.234,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,5,19.379,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,6,23.927,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,7,28.309,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,8,27.583,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,9,22.71,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,10,18.596,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,11,13.841,11_Marrakesh,Morocco,31.35 N,7.54 W
1788,12,7.67,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,1,9.116,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,2,10.809,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,3,12.811,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,4,14.9,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,5,19.245,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,6,23.083,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,7,26.235,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,8,25.936,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,9,22.94,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,10,17.23,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,11,12.286,11_Marrakesh,Morocco,31.35 N,7.54 W
1789,12,9.188,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,1,9.285,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,2,11.271,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,3,14.143,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,4,15.376,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,5,18.065,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,6,23.73,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,7,26.3,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,8,26.436,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,9,23.06,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,10,18.056,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,11,12.96,11_Marrakesh,Morocco,31.35 N,7.54 W
1790,12,9.7,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,1,9.864,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,2,10.401,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,3,14.446,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,4,16.872,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,5,18.222,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,6,22.529,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,7,26.405,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,8,27.074,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,9,23.703,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,10,17.678,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,11,13.378,11_Marrakesh,Morocco,31.35 N,7.54 W
1791,12,9.488,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,1,8.188,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,2,11.857,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,3,13.795,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,4,16.232,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,5,20.017,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,6,24.443,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,7,27.024,11_Marrakesh,Morocco,31.35 N,7.54 W
1792,8,25.578,11_Marrakesh,Morocco,31.35 N,7.54 W
