Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1828,1,-18.732,12_Anchorage,USA,61.88 N,151.13 W
1828,2,-14.028,12_Anchorage,USA,61.88 N,151.13 W
1828,3,-8.648,12_Anchorage,USA,61.88 N,151.13 W
1828,4,-0.758,12_Anchorage,USA,61.88 N,151.13 W
1828,5,5.045,12_Anchorage,USA,61.88 N,151.13 W
1828,6,10.592,12_Anchorage,USA,61.88 N,151.13 W
1828,7,12.536,12_Anchorage,USA,61.88 N,151.13 W
1828,8,8.952,12_Anchorage,USA,61.88 N,151.13 W
1828,9,2.157,12_Anchorage,USA,61.88 N,151.13 W
1828,10,-4.306,12_Anchorage,USA,61.88 N,151.13 W
1828,11,-12.434,12_Anchorage,USA,61.88 N,151.13 W
1828,12,-18.915,12_Anchorage,USA,61.88 N,151.13 W
1829,1,-17.506,12_Anchorage,USA,61.88 N,151.13 W
1829,2,-13.421,12_Anchorage,USA,61.88 N,151.13 W
1829,3,-8.074,12_Anchorage,USA,61.88 N,151.13 W
1829,4,-3.09,12_Anchorage,USA,61.88 N,151.13 W
1829,5,5.66,12_Anchorage,USA,61.88 N,151.13 W
1829,6,10.17,12_Anchorage,USA,61.88 N,151.13 W
1829,7,12.416,12_Anchorage,USA,61.88 N,151.13 W
1829,8,10.119,12_Anchorage,USA,61.88 N,151.13 W
1829,9,,12_Anchorage,USA,61.88 N,151.13 W
1829,10,-3.347,12_Anchorage,USA,61.88 N,151.13 W
1829,11,-12.845,12_Anchorage,USA,61.88 N,151.13 W
1829,12,-18.879,12_Anchorage,USA,61.88 N,151.13 W
1830,1,,12_Anchorage,USA,61.88 N,151.13 W
1830,2,,12_Anchorage,USA,61.88 N,151.13 W
1830,3,,12_Anchorage,USA,61.88 N,151.13 W
1830,4,,12_Anchorage,USA,61.88 N,151.13 W
1830,5,,12_Anchorage,USA,61.88 N,151.13 W
1830,6,,12_Anchorage,USA,61.88 N,151.13 W
1830,7,,12_Anchorage,USA,61.88 N,151.13 W
1830,8,,12_Anchorage,USA,61.88 N,151.13 W
1830,9,,12_Anchorage,USA,61.88 N,151.13 W
1830,10,,12_Anchorage,USA,61.88 N,151.13 W
1830,11,,12_Anchorage,USA,61.88 N,151.13 W
1830,12,,12_Anchorage,USA,61.88 N,151.13 W
1831,1,,12_Anchorage,USA,61.88 N,151.13 W
1831,2,,12_Anchorage,USA,61.88 N,151.13 W
1831,3,,12_Anchorage,USA,61.88 N,151.13 W
1831,4,,12_Anchorage,USA,61.88 N,151.13 W
1831,5,,12_Anchorage,USA,61.88 N,151.13 W
1831,6,,12_Anchorage,USA,61.88 N,151.13 W
