Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1743,3,5.25,15_Paris,France,49.03 N,2.45 E
1743,4,6.29,15_Paris,France,49.03 N,2.45 E
1743,5,12.052,15_Paris,France,49.03 N,2.45 E
1743,6,,15_Paris,France,49.03 N,2.45 E
1743,7,16.982,15_Paris,France,49.03 N,2.45 E
1743,8,,15_Paris,France,49.03 N,2.45 E
1743,9,14.431,15_Paris,France,49.03 N,2.45 E
1743,10,7.181,15_Paris,France,49.03 N,2.45 E
1743,11,6.685,15_Paris,France,49.03 N,2.45 E
1743,12,2.604,15_Paris,France,49.03 N,2.45 E
1744,1,0.557,15_Paris,France,49.03 N,2.45 E
1744,2,0.886,15_Paris,France,49.03 N,2.45 E
1744,3,4.709,15_Paris,France,49.03 N,2.45 E
1744,4,8.486,15_Paris,France,49.03 N,2.45 E
1744,5,12.289,15_Paris,France,49.03 N,2.45 E
1744,6,16.376,15_Paris,France,49.03 N,2.45 E
1744,7,17.845,15_Paris,France,49.03 N,2.45 E
1744,8,16.496,15_Paris,France,49.03 N,2.45 E
1744,9,14.625,15_Paris,France,49.03 N,2.45 E
1744,10,10.166,15_Paris,France,49.03 N,2.45 E
1744,11,6.406,15_Paris,France,49.03 N,2.45 E
1744,12,2.625,15_Paris,France,49.03 N,2.45 E
1745,1,1.004,15_Paris,France,49.03 N,2.45 E
1745,2,1.656,15_Paris,France,49.03 N,2.45 E
1745,3,4.369,15_Paris,France,49.03 N,2.45 E
1745,4,9.469,15_Paris,France,49.03 N,2.45 E
1745,5,12.953,15_Paris,France,49.03 N,2.45 E
1745,6,16.156,15_Paris,France,49.03 N,2.45 E
1745,7,17.934,15_Paris,France,49.03 N,2.45 E
1745,8,,15_Paris,France,49.03 N,2.45 E
1745,9,14.991,15_Paris,France,49.03 N,2.45 E
1745,10,,15_Paris,France,49.03 N,2.45 E
1745,11,,15_Paris,France,49.03 N,2.45 E
1745,12,1.635,15_Paris,France,49.03 N,2.45 E
1746,1,1.91,15_Paris,France,49.03 N,2.45 E
1746,2,1.889,15_Paris,France,49.03 N,2.45 E
1746,3,2.606,15_Paris,France,49.03 N,2.45 E
1746,4,7.826,15_Paris,France,49.03 N,2.45 E
1746,5,,15_Paris,France,49.03 N,2.45 E
1746,6,15.578,15_Paris,France,49.03 N,2.45 E
1746,7,,15_Paris,France,49.03 N,2.45 E
1746,8,,15_Paris,France,49.03 N,2.45 E
