Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1743,3,5.09,16_Rome,Italy,42.59 N,13.09 E
1743,4,6.837,16_Rome,Italy,42.59 N,13.09 E
1743,5,11.922,16_Rome,Italy,42.59 N,13.09 E
1743,6,,16_Rome,Italy,42.59 N,13.09 E
1743,7,19.832,16_Rome,Italy,42.59 N,13.09 E
1743,8,,16_Rome,Italy,42.59 N,13.09 E
1743,9,16.314,16_Rome,Italy,42.59 N,13.09 E
1743,10,8.949,16_Rome,Italy,42.59 N,13.09 E
1743,11,6.615,16_Rome,Italy,42.59 N,13.09 E
1743,12,2.946,16_Rome,Italy,42.59 N,13.09 E
1744,1,0.482,16_Rome,Italy,42.59 N,13.09 E
1744,2,0.982,16_Rome,Italy,42.59 N,13.09 E
1744,3,4.737,16_Rome,Italy,42.59 N,13.09 E
1744,4,8.672,16_Rome,Italy,42.59 N,13.09 E
1744,5,13.057,16_Rome,Italy,42.59 N,13.09 E
1744,6,18.808,16_Rome,Italy,42.59 N,13.09 E
1744,7,21.611,16_Rome,Italy,42.59 N,13.09 E
1744,8,19.605,16_Rome,Italy,42.59 N,13.09 E
1744,9,17.582,16_Rome,Italy,42.59 N,13.09 E
1744,10,11.597,16_Rome,Italy,42.59 N,13.09 E
1744,11,7.668,16_Rome,Italy,42.59 N,13.09 E
1744,12,2.476,16_Rome,Italy,42.59 N,13.09 E
1745,1,-0.181,16_Rome,Italy,42.59 N,13.09 E
1745,2,1.706,16_Rome,Italy,42.59 N,13.09 E
1745,3,3.842,16_Rome,Italy,42.59 N,13.09 E
1745,4,10.694,16_Rome,Italy,42.59 N,13.09 E
1745,5,13.401,16_Rome,Italy,42.59 N,13.09 E
1745,6,18.803,16_Rome,Italy,42.59 N,13.09 E
1745,7,21.768,16_Rome,Italy,42.59 N,13.09 E
1745,8,,16_Rome,Italy,42.59 N,13.09 E
1745,9,17.194,16_Rome,Italy,42.59 N,13.09 E
1745,10,,16_Rome,Italy,42.59 N,13.09 E
1745,11,,16_Rome,Italy,42.59 N,13.09 E
1745,12,3.196,16_Rome,Italy,42.59 N,13.09 E
1746,1,2.914,16_Rome,Italy,42.59 N,13.09 E
1746,2,1.852,16_Rome,Italy,42.59 N,13.09 E
1746,3,2.337,16_Rome,Italy,42.59 N,13.09 E
1746,4,8.005,16_Rome,Italy,42.59 N,13.09 E
1746,5,,16_Rome,Italy,42.59 N,13.09 E
1746,6,17.89,16_Rome,Italy,42.59 N,13.09 E
1746,7,,16_Rome,Italy,42.59 N,13.09 E
1746,8,,16_Rome,Italy,42.59 N,13.09 E
1746,9,,16_Rome,Italy,42.59 N,13.09 E
1746,10,,16_Rome,Italy,42.59 N,13.09 E
1746,11,,16_Rome,Italy,42.59 N,13.09 E
1746,12,,16_Rome,Italy,42.59 N,13.09 E
1747,1,,16_Rome,Italy,42.59 N,13.09 E
1747,2,,16_Rome,Italy,42.59 N,13.09 E
1747,3,,16_Rome,Italy,42.59 N,13.09 E
1747,4,8.329,16_Rome,Italy,42.59 N,13.09 E
1747,5,,16_Rome,Italy,42.59 N,13.09 E
1747,6,19.696,16_Rome,Italy,42.59 N,13.09 E
1747,7,20.819,16_Rome,Italy,42.59 N,13.09 E
1747,8,,16_Rome,Italy,42.59 N,13.09 E
1747,9,18.362,16_Rome,Italy,42.59 N,13.09 E
1747,10,12.366,16_Rome,Italy,42.59 N,13.09 E
1747,11,6.899,16_Rome,Italy,42.59 N,13.09 E
1747,12,,16_Rome,Italy,42.59 N,13.09 E
1748,1,,16_Rome,Italy,42.59 N,13.09 E
1748,2,,16_Rome,Italy,42.59 N,13.09 E
1748,3,,16_Rome,Italy,42.59 N,13.09 E
1748,4,8.616,16_Rome,Italy,42.59 N,13.09 E
1748,5,15.379,16_Rome,Italy,42.59 N,13.09 E
1748,6,,16_Rome,Italy,42.59 N,13.09 E
1748,7,,16_Rome,Italy,42.59 N,13.09 E
1748,8,,16_Rome,Italy,42.59 N,13.09 E
1748,9,16.547,16_Rome,Italy,42.59 N,13.09 E
1748,10,11.652,16_Rome,Italy,42.59 N,13.09 E
1748,11,6.873,16_Rome,Italy,42.59 N,13.09 E
1748,12,3.787,16_Rome,Italy,42.59 N,13.09 E
1749,1,3.195,16_Rome,Italy,42.59 N,13.09 E
1749,2,3.257,16_Rome,Italy,42.59 N,13.09 E
1749,3,5.783,16_Rome,Italy,42.59 N,13.09 E
1749,4,8.328,16_Rome,Italy,42.59 N,13.09 E
1749,5,,16_Rome,Italy,42.59 N,13.09 E
1749,6,16.885,16_Rome,Italy,42.59 N,13.09 E
1749,7,,16_Rome,Italy,42.59 N,13.09 E
1749,8,,16_Rome,Italy,42.59 N,13.09 E
1749,9,16.584,16_Rome,Italy,42.59 N,13.09 E
1749,10,10.746,16_Rome,Italy,42.59 N,13.09 E
1749,11,6.614,16_Rome,Italy,42.59 N,13.09 E
1749,12,1.077,16_Rome,Italy,42.59 N,13.09 E
1750,1,0.892,16_Rome,Italy,42.59 N,13.09 E
1750,2,2.819,16_Rome,Italy,42.59 N,13.09 E
1750,3,8.157,16_Rome,Italy,42.59 N,13.09 E
1750,4,9.827,16_Rome,Italy,42.59 N,13.09 E
1750,5,12.347,16_Rome,Italy,42.59 N,13.09 E
1750,6,18.456,16_Rome,Italy,42.59 N,13.09 E
1750,7,21.278,16_Rome,Italy,42.59 N,13.09 E
1750,8,21.302,16_Rome,Italy,42.59 N,13.09 E
1750,9,17.051,16_Rome,Italy,42.59 N,13.09 E
1750,10,11.897,16_Rome,Italy,42.59 N,13.09 E
1750,11,4.795,16_Rome,Italy,42.59 N,13.09 E
