Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1743,3,10.231,17_Barcelona,Spain,40.99 N,2.13 E
1743,4,10.793,17_Barcelona,Spain,40.99 N,2.13 E
1743,5,15.267,17_Barcelona,Spain,40.99 N,2.13 E
1743,6,,17_Barcelona,Spain,40.99 N,2.13 E
1743,7,21.848,17_Barcelona,Spain,40.99 N,2.13 E
1743,8,,17_Barcelona,Spain,40.99 N,2.13 E
1743,9,20.596,17_Barcelona,Spain,40.99 N,2.13 E
1743,10,13.89,17_Barcelona,Spain,40.99 N,2.13 E
1743,11,12.489,17_Barcelona,Spain,40.99 N,2.13 E
1743,12,9.37,17_Barcelona,Spain,40.99 N,2.13 E
1744,1,7.684,17_Barcelona,Spain,40.99 N,2.13 E
1744,2,7.492,17_Barcelona,Spain,40.99 N,2.13 E
1744,3,9.814,17_Barcelona,Spain,40.99 N,2.13 E
1744,4,12.972,17_Barcelona,Spain,40.99 N,2.13 E
1744,5,15.981,17_Barcelona,Spain,40.99 N,2.13 E
1744,6,20.884,17_Barcelona,Spain,40.99 N,2.13 E
1744,7,23.067,17_Barcelona,Spain,40.99 N,2.13 E
1744,8,22.112,17_Barcelona,Spain,40.99 N,2.13 E
1744,9,21.119,17_Barcelona,Spain,40.99 N,2.13 E
1744,10,16.458,17_Barcelona,Spain,40.99 N,2.13 E
1744,11,13.415,17_Barcelona,Spain,40.99 N,2.13 E
1744,12,9.438,17_Barcelona,Spain,40.99 N,2.13 E
1745,1,7.702,17_Barcelona,Spain,40.99 N,2.13 E
1745,2,8.495,17_Barcelona,Spain,40.99 N,2.13 E
1745,3,9.223,17_Barcelona,Spain,40.99 N,2.13 E
1745,4,14.309,17_Barcelona,Spain,40.99 N,2.13 E
1745,5,16.417,17_Barcelona,Spain,40.99 N,2.13 E
1745,6,20.653,17_Barcelona,Spain,40.99 N,2.13 E
1745,7,23.161,17_Barcelona,Spain,40.99 N,2.13 E
1745,8,,17_Barcelona,Spain,40.99 N,2.13 E
1745,9,21.31,17_Barcelona,Spain,40.99 N,2.13 E
1745,10,,17_Barcelona,Spain,40.99 N,2.13 E
1745,11,,17_Barcelona,Spain,40.99 N,2.13 E
1745,12,9.953,17_Barcelona,Spain,40.99 N,2.13 E
1746,1,9.939,17_Barcelona,Spain,40.99 N,2.13 E
1746,2,8.732,17_Barcelona,Spain,40.99 N,2.13 E
1746,3,7.583,17_Barcelona,Spain,40.99 N,2.13 E
1746,4,12.191,17_Barcelona,Spain,40.99 N,2.13 E
