Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1743,3,-3.726,18_Helsinki,Finland,60.27 N,25.95 E
1743,4,1.471,18_Helsinki,Finland,60.27 N,25.95 E
1743,5,7.105,18_Helsinki,Finland,60.27 N,25.95 E
1743,6,,18_Helsinki,Finland,60.27 N,25.95 E
1743,7,15.067,18_Helsinki,Finland,60.27 N,25.95 E
1743,8,,18_Helsinki,Finland,60.27 N,25.95 E
1743,9,10.407,18_Helsinki,Finland,60.27 N,25.95 E
1743,10,1.853,18_Helsinki,Finland,60.27 N,25.95 E
1743,11,1.444,18_Helsinki,Finland,60.27 N,25.95 E
1743,12,-2.84,18_Helsinki,Finland,60.27 N,25.95 E
1744,1,-6.578,18_Helsinki,Finland,60.27 N,25.95 E
1744,2,-7.399,18_Helsinki,Finland,60.27 N,25.95 E
1744,3,-4.298,18_Helsinki,Finland,60.27 N,25.95 E
1744,4,3.047,18_Helsinki,Finland,60.27 N,25.95 E
1744,5,6.951,18_Helsinki,Finland,60.27 N,25.95 E
1744,6,12.804,18_Helsinki,Finland,60.27 N,25.95 E
1744,7,16.179,18_Helsinki,Finland,60.27 N,25.95 E
1744,8,13.381,18_Helsinki,Finland,60.27 N,25.95 E
1744,9,11.026,18_Helsinki,Finland,60.27 N,25.95 E
1744,10,3.539,18_Helsinki,Finland,60.27 N,25.95 E
1744,11,1.81,18_Helsinki,Finland,60.27 N,25.95 E
1744,12,-4.051,18_Helsinki,Finland,60.27 N,25.95 E
1745,1,-7.753,18_Helsinki,Finland,60.27 N,25.95 E
1745,2,-8.856,18_Helsinki,Finland,60.27 N,25.95 E
1745,3,-6.105,18_Helsinki,Finland,60.27 N,25.95 E
1745,4,-0.082,18_Helsinki,Finland,60.27 N,25.95 E
1745,5,8.053,18_Helsinki,Finland,60.27 N,25.95 E
1745,6,14.554,18_Helsinki,Finland,60.27 N,25.95 E
1745,7,15.353,18_Helsinki,Finland,60.27 N,25.95 E
