Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1788,9,15.867,19_Sydney,Australia,34.56 S,151.78 E
1788,10,16.798,19_Sydney,Australia,34.56 S,151.78 E
1788,11,18.444,19_Sydney,Australia,34.56 S,151.78 E
1788,12,18.387,19_Sydney,Australia,34.56 S,151.78 E
1789,1,20.934,19_Sydney,Australia,34.56 S,151.78 E
1789,2,20.491,19_Sydney,Australia,34.56 S,151.78 E
1789,3,20.424,19_Sydney,Australia,34.56 S,151.78 E
1789,4,16.766,19_Sydney,Australia,34.56 S,151.78 E
1789,5,14.208,19_Sydney,Australia,34.56 S,151.78 E
1789,6,12.839,19_Sydney,Australia,34.56 S,151.78 E
1789,7,12.918,19_Sydney,Australia,34.56 S,151.78 E
1789,8,12.629,19_Sydney,Australia,34.56 S,151.78 E
1789,9,14.501,19_Sydney,Australia,34.56 S,151.78 E
1789,10,16.855,19_Sydney,Australia,34.56 S,151.78 E
1789,11,20.599,19_Sydney,Australia,34.56 S,151.78 E
1789,12,20.213,19_Sydney,Australia,34.56 S,151.78 E
1790,1,20.624,19_Sydney,Australia,34.56 S,151.78 E
1790,2,20.153,19_Sydney,Australia,34.56 S,151.78 E
1790,3,18.967,19_Sydney,Australia,34.56 S,151.78 E
1790,4,18.665,19_Sydney,Australia,34.56 S,151.78 E
1790,5,15.898,19_Sydney,Australia,34.56 S,151.78 E
1790,6,13.378,19_Sydney,Australia,34.56 S,151.78 E
1790,7,12.56,19_Sydney,Australia,34.56 S,151.78 E
1790,8,12.983,19_Sydney,Australia,34.56 S,151.78 E
1790,9,14.875,19_Sydney,Australia,34.56 S,151.78 E
1790,10,16.629,19_Sydney,Australia,34.56 S,151.78 E
1790,11,17.342,19_Sydney,Australia,34.56 S,151.78 E
1790,12,19.092,19_Sydney,Australia,34.56 S,151.78 E
1791,1,18.913,19_Sydney,Australia,34.56 S,151.78 E
1791,2,20.057,19_Sydney,Australia,34.56 S,151.78 E
1791,3,18.649,19_Sydney,Australia,34.56 S,151.78 E
1791,4,17.689,19_Sydney,Australia,34.56 S,151.78 E
1791,5,15.942,19_Sydney,Australia,34.56 S,151.78 E
1791,6,13.433,19_Sydney,Australia,34.56 S,151.78 E
1791,7,11.924,19_Sydney,Australia,34.56 S,151.78 E
1791,8,12.949,19_Sydney,Australia,34.56 S,151.78 E
1791,9,14.269,19_Sydney,Australia,34.56 S,151.78 E
1791,10,15.363,19_Sydney,Australia,34.56 S,151.78 E
1791,11,17.515,19_Sydney,Australia,34.56 S,151.78 E
1791,12,18.123,19_Sydney,Australia,34.56 S,151.78 E
1792,1,,19_Sydney,Australia,34.56 S,151.78 E
1792,2,,19_Sydney,Australia,34.56 S,151.78 E
1792,3,,19_Sydney,Australia,34.56 S,151.78 E
1792,4,,19_Sydney,Australia,34.56 S,151.78 E
1792,5,,19_Sydney,Australia,34.56 S,151.78 E
1792,6,,19_Sydney,Australia,34.56 S,151.78 E
1792,7,,19_Sydney,Australia,34.56 S,151.78 E
1792,8,,19_Sydney,Australia,34.56 S,151.78 E
1792,9,,19_Sydney,Australia,34.56 S,151.78 E
1792,10,,19_Sydney,Australia,34.56 S,151.78 E
1792,11,,19_Sydney,Australia,34.56 S,151.78 E
1792,12,,19_Sydney,Australia,34.56 S,151.78 E
1793,1,,19_Sydney,Australia,34.56 S,151.78 E
1793,2,,19_Sydney,Australia,34.56 S,151.78 E
1793,3,,19_Sydney,Australia,34.56 S,151.78 E
1793,4,,19_Sydney,Australia,34.56 S,151.78 E
1793,5,,19_Sydney,Australia,34.56 S,151.78 E
1793,6,,19_Sydney,Australia,34.56 S,151.78 E
1793,7,,19_Sydney,Australia,34.56 S,151.78 E
1793,8,,19_Sydney,Australia,34.56 S,151.78 E
1793,9,,19_Sydney,Australia,34.56 S,151.78 E
1793,10,,19_Sydney,Australia,34.56 S,151.78 E
1793,11,,19_Sydney,Australia,34.56 S,151.78 E
1793,12,,19_Sydney,Australia,34.56 S,151.78 E
1794,1,,19_Sydney,Australia,34.56 S,151.78 E
1794,2,,19_Sydney,Australia,34.56 S,151.78 E
1794,3,,19_Sydney,Australia,34.56 S,151.78 E
1794,4,,19_Sydney,Australia,34.56 S,151.78 E
1794,5,,19_Sydney,Australia,34.56 S,151.78 E
1794,6,,19_Sydney,Australia,34.56 S,151.78 E
