Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1819,7,25.206,1_Peking,China,39.38 N,116.53 E
1819,8,,1_Peking,China,39.38 N,116.53 E
1819,9,19.795,1_Peking,China,39.38 N,116.53 E
1819,10,11.974,1_Peking,China,39.38 N,116.53 E
1819,11,2.948,1_Peking,China,39.38 N,116.53 E
1819,12,-4.275,1_Peking,China,39.38 N,116.53 E
1820,1,-8.073,1_Peking,China,39.38 N,116.53 E
1820,2,-2.268,1_Peking,China,39.38 N,116.53 E
1820,3,4.632,1_Peking,China,39.38 N,116.53 E
1820,4,13.896,1_Peking,China,39.38 N,116.53 E
1820,5,20.239,1_Peking,China,39.38 N,116.53 E
1820,6,24.107,1_Peking,China,39.38 N,116.53 E
1820,7,26.023,1_Peking,China,39.38 N,116.53 E
1820,8,23.344,1_Peking,China,39.38 N,116.53 E
1820,9,19.414,1_Peking,China,39.38 N,116.53 E
1820,10,11.054,1_Peking,China,39.38 N,116.53 E
1820,11,2.343,1_Peking,China,39.38 N,116.53 E
1820,12,-5.187,1_Peking,China,39.38 N,116.53 E
1821,1,-4.097,1_Peking,China,39.38 N,116.53 E
1821,2,-0.134,1_Peking,China,39.38 N,116.53 E
1821,3,5.526,1_Peking,China,39.38 N,116.53 E
1821,4,13.05,1_Peking,China,39.38 N,116.53 E
1821,5,19.86,1_Peking,China,39.38 N,116.53 E
1821,6,22.928,1_Peking,China,39.38 N,116.53 E
1821,7,25.338,1_Peking,China,39.38 N,116.53 E
1821,8,24.491,1_Peking,China,39.38 N,116.53 E
1821,9,17.987,1_Peking,China,39.38 N,116.53 E
1821,10,11.046,1_Peking,China,39.38 N,116.53 E
1821,11,2.962,1_Peking,China,39.38 N,116.53 E
1821,12,-3.875,1_Peking,China,39.38 N,116.53 E
1822,1,-6.04,1_Peking,China,39.38 N,116.53 E
1822,2,-1.049,1_Peking,China,39.38 N,116.53 E
1822,3,7.61,1_Peking,China,39.38 N,116.53 E
1822,4,12.724,1_Peking,China,39.38 N,116.53 E
1822,5,19.13,1_Peking,China,39.38 N,116.53 E
1822,6,23.851,1_Peking,China,39.38 N,116.53 E
1822,7,25.72,1_Peking,China,39.38 N,116.53 E
1822,8,24.274,1_Peking,China,39.38 N,116.53 E
1822,9,18.987,1_Peking,China,39.38 N,116.53 E
1822,10,11.318,1_Peking,China,39.38 N,116.53 E
1822,11,2.288,1_Peking,China,39.38 N,116.53 E
1822,12,-5.426,1_Peking,China,39.38 N,116.53 E
1823,1,-6.098,1_Peking,China,39.38 N,116.53 E
1823,2,-2.27,1_Peking,China,39.38 N,116.53 E
1823,3,4.298,1_Peking,China,39.38 N,116.53 E
1823,4,12.112,1_Peking,China,39.38 N,116.53 E
1823,5,18.676,1_Peking,China,39.38 N,116.53 E
1823,6,24.32,1_Peking,China,39.38 N,116.53 E
1823,7,26.527,1_Peking,China,39.38 N,116.53 E
1823,8,23.969,1_Peking,China,39.38 N,116.53 E
1823,9,18.649,1_Peking,China,39.38 N,116.53 E
1823,10,11.132,1_Peking,China,39.38 N,116.53 E
1823,11,3.071,1_Peking,China,39.38 N,116.53 E
1823,12,-4.278,1_Peking,China,39.38 N,116.53 E
1824,1,-4.695,1_Peking,China,39.38 N,116.53 E
1824,2,-1.738,1_Peking,China,39.38 N,116.53 E
1824,3,5.384,1_Peking,China,39.38 N,116.53 E
1824,4,13.449,1_Peking,China,39.38 N,116.53 E
1824,5,20.019,1_Peking,China,39.38 N,116.53 E
1824,6,24.239,1_Peking,China,39.38 N,116.53 E
1824,7,26.231,1_Peking,China,39.38 N,116.53 E
1824,8,24.078,1_Peking,China,39.38 N,116.53 E
1824,9,19.378,1_Peking,China,39.38 N,116.53 E
1824,10,11.53,1_Peking,China,39.38 N,116.53 E
1824,11,3.701,1_Peking,China,39.38 N,116.53 E
1824,12,-1.368,1_Peking,China,39.38 N,116.53 E
1825,1,-4.301,1_Peking,China,39.38 N,116.53 E
1825,2,-2.17,1_Peking,China,39.38 N,116.53 E
1825,3,4.404,1_Peking,China,39.38 N,116.53 E
1825,4,13.209,1_Peking,China,39.38 N,116.53 E
1825,5,20.124,1_Peking,China,39.38 N,116.53 E
1825,6,24.553,1_Peking,China,39.38 N,116.53 E
1825,7,24.958,1_Peking,China,39.38 N,116.53 E
1825,8,23.47,1_Peking,China,39.38 N,116.53 E
1825,9,18.904,1_Peking,China,39.38 N,116.53 E
1825,10,12.062,1_Peking,China,39.38 N,116.53 E
