Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1832,1,22.459,20_Brasília,Brazil,15.27 S,47.50 W
1832,2,22.548,20_Brasília,Brazil,15.27 S,47.50 W
1832,3,22.533,20_Brasília,Brazil,15.27 S,47.50 W
1832,4,21.734,20_Brasília,Brazil,15.27 S,47.50 W
1832,5,20.91,20_Brasília,Brazil,15.27 S,47.50 W
1832,6,19.981,20_Brasília,Brazil,15.27 S,47.50 W
1832,7,19.65,20_Brasília,Brazil,15.27 S,47.50 W
1832,8,20.585,20_Brasília,Brazil,15.27 S,47.50 W
1832,9,22.239,20_Brasília,Brazil,15.27 S,47.50 W
1832,10,22.697,20_Brasília,Brazil,15.27 S,47.50 W
1832,11,21.574,20_Brasília,Brazil,15.27 S,47.50 W
1832,12,20.665,20_Brasília,Brazil,15.27 S,47.50 W
1833,1,22.416,20_Brasília,Brazil,15.27 S,47.50 W
1833,2,23.573,20_Brasília,Brazil,15.27 S,47.50 W
1833,3,22.703,20_Brasília,Brazil,15.27 S,47.50 W
1833,4,22.605,20_Brasília,Brazil,15.27 S,47.50 W
1833,5,21.071,20_Brasília,Brazil,15.27 S,47.50 W
1833,6,20.227,20_Brasília,Brazil,15.27 S,47.50 W
1833,7,19.64,20_Brasília,Brazil,15.27 S,47.50 W
1833,8,21.741,20_Brasília,Brazil,15.27 S,47.50 W
1833,9,23.41,20_Brasília,Brazil,15.27 S,47.50 W
1833,10,23.117,20_Brasília,Brazil,15.27 S,47.50 W
1833,11,24.148,20_Brasília,Brazil,15.27 S,47.50 W
1833,12,22.806,20_Brasília,Brazil,15.27 S,47.50 W
1834,1,21.534,20_Brasília,Brazil,15.27 S,47.50 W
1834,2,22.849,20_Brasília,Brazil,15.27 S,47.50 W
1834,3,23.124,20_Brasília,Brazil,15.27 S,47.50 W
1834,4,22.269,20_Brasília,Brazil,15.27 S,47.50 W
1834,5,22.204,20_Brasília,Brazil,15.27 S,47.50 W
1834,6,19.369,20_Brasília,Brazil,15.27 S,47.50 W
1834,7,20.138,20_Brasília,Brazil,15.27 S,47.50 W
1834,8,20.979,20_Brasília,Brazil,15.27 S,47.50 W
1834,9,23.166,20_Brasília,Brazil,15.27 S,47.50 W
1834,10,22.65,20_Brasília,Brazil,15.27 S,47.50 W
1834,11,22.474,20_Brasília,Brazil,15.27 S,47.50 W
1834,12,21.988,20_Brasília,Brazil,15.27 S,47.50 W
1835,1,22.79,20_Brasília,Brazil,15.27 S,47.50 W
1835,2,23.238,20_Brasília,Brazil,15.27 S,47.50 W
1835,3,21.646,20_Brasília,Brazil,15.27 S,47.50 W
1835,4,21.623,20_Brasília,Brazil,15.27 S,47.50 W
1835,5,20.674,20_Brasília,Brazil,15.27 S,47.50 W
1835,6,19.215,20_Brasília,Brazil,15.27 S,47.50 W
1835,7,19.576,20_Brasília,Brazil,15.27 S,47.50 W
1835,8,20.913,20_Brasília,Brazil,15.27 S,47.50 W
1835,9,21.395,20_Brasília,Brazil,15.27 S,47.50 W
1835,10,22.326,20_Brasília,Brazil,15.27 S,47.50 W
1835,11,21.442,20_Brasília,Brazil,15.27 S,47.50 W
1835,12,20.696,20_Brasília,Brazil,15.27 S,47.50 W
1836,1,22.518,20_Brasília,Brazil,15.27 S,47.50 W
1836,2,23.131,20_Brasília,Brazil,15.27 S,47.50 W
1836,3,23.19,20_Brasília,Brazil,15.27 S,47.50 W
1836,4,21.085,20_Brasília,Brazil,15.27 S,47.50 W
1836,5,20.087,20_Brasília,Brazil,15.27 S,47.50 W
1836,6,19.404,20_Brasília,Brazil,15.27 S,47.50 W
1836,7,20.028,20_Brasília,Brazil,15.27 S,47.50 W
1836,8,21.153,20_Brasília,Brazil,15.27 S,47.50 W
1836,9,21.826,20_Brasília,Brazil,15.27 S,47.50 W
1836,10,22.774,20_Brasília,Brazil,15.27 S,47.50 W
1836,11,21.022,20_Brasília,Brazil,15.27 S,47.50 W
1836,12,21.825,20_Brasília,Brazil,15.27 S,47.50 W
1837,1,22.454,20_Brasília,Brazil,15.27 S,47.50 W
1837,2,21.943,20_Brasília,Brazil,15.27 S,47.50 W
1837,3,21.409,20_Brasília,Brazil,15.27 S,47.50 W
1837,4,20.558,20_Brasília,Brazil,15.27 S,47.50 W
1837,5,20.478,20_Brasília,Brazil,15.27 S,47.50 W
1837,6,18.556,20_Brasília,Brazil,15.27 S,47.50 W
1837,7,18.997,20_Brasília,Brazil,15.27 S,47.50 W
1837,8,20.841,20_Brasília,Brazil,15.27 S,47.50 W
1837,9,22.304,20_Brasília,Brazil,15.27 S,47.50 W
1837,10,22.516,20_Brasília,Brazil,15.27 S,47.50 W
1837,11,21.365,20_Brasília,Brazil,15.27 S,47.50 W
1837,12,21.146,20_Brasília,Brazil,15.27 S,47.50 W
1838,1,20.69,20_Brasília,Brazil,15.27 S,47.50 W
1838,2,22.102,20_Brasília,Brazil,15.27 S,47.50 W
1838,3,21.32,20_Brasília,Brazil,15.27 S,47.50 W
1838,4,21.648,20_Brasília,Brazil,15.27 S,47.50 W
1838,5,20.136,20_Brasília,Brazil,15.27 S,47.50 W
1838,6,19.916,20_Brasília,Brazil,15.27 S,47.50 W
1838,7,20.072,20_Brasília,Brazil,15.27 S,47.50 W
1838,8,20.781,20_Brasília,Brazil,15.27 S,47.50 W
1838,9,22.757,20_Brasília,Brazil,15.27 S,47.50 W
1838,10,23.263,20_Brasília,Brazil,15.27 S,47.50 W
1838,11,22.051,20_Brasília,Brazil,15.27 S,47.50 W
1838,12,22.164,20_Brasília,Brazil,15.27 S,47.50 W
1839,1,22.327,20_Brasília,Brazil,15.27 S,47.50 W
1839,2,22.969,20_Brasília,Brazil,15.27 S,47.50 W
1839,3,21.082,20_Brasília,Brazil,15.27 S,47.50 W
1839,4,21.998,20_Brasília,Brazil,15.27 S,47.50 W
1839,5,20.986,20_Brasília,Brazil,15.27 S,47.50 W
1839,6,19.66,20_Brasília,Brazil,15.27 S,47.50 W
1839,7,19.553,20_Brasília,Brazil,15.27 S,47.50 W
1839,8,21.412,20_Brasília,Brazil,15.27 S,47.50 W
