Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1796,1,15.41,2_NewDelhi,India,28.13 N,77.27 E
1796,2,17.931,2_NewDelhi,India,28.13 N,77.27 E
1796,3,21.468,2_NewDelhi,India,28.13 N,77.27 E
1796,4,28.666,2_NewDelhi,India,28.13 N,77.27 E
1796,5,33.582,2_NewDelhi,India,28.13 N,77.27 E
1796,6,34.202,2_NewDelhi,India,28.13 N,77.27 E
1796,7,30.794,2_NewDelhi,India,28.13 N,77.27 E
1796,8,30.123,2_NewDelhi,India,28.13 N,77.27 E
1796,9,28.925,2_NewDelhi,India,28.13 N,77.27 E
1796,10,25.989,2_NewDelhi,India,28.13 N,77.27 E
1796,11,19.897,2_NewDelhi,India,28.13 N,77.27 E
1796,12,13.369,2_NewDelhi,India,28.13 N,77.27 E
1797,1,,2_NewDelhi,India,28.13 N,77.27 E
1797,2,,2_NewDelhi,India,28.13 N,77.27 E
1797,3,22.58,2_NewDelhi,India,28.13 N,77.27 E
1797,4,28.185,2_NewDelhi,India,28.13 N,77.27 E
1797,5,32.96,2_NewDelhi,India,28.13 N,77.27 E
1797,6,34.302,2_NewDelhi,India,28.13 N,77.27 E
1797,7,30.523,2_NewDelhi,India,28.13 N,77.27 E
1797,8,29.909,2_NewDelhi,India,28.13 N,77.27 E
1797,9,28.966,2_NewDelhi,India,28.13 N,77.27 E
1797,10,25.692,2_NewDelhi,India,28.13 N,77.27 E
1797,11,19.451,2_NewDelhi,India,28.13 N,77.27 E
1797,12,15.32,2_NewDelhi,India,28.13 N,77.27 E
1798,1,14.749,2_NewDelhi,India,28.13 N,77.27 E
1798,2,17.778,2_NewDelhi,India,28.13 N,77.27 E
1798,3,24.202,2_NewDelhi,India,28.13 N,77.27 E
1798,4,,2_NewDelhi,India,28.13 N,77.27 E
1798,5,,2_NewDelhi,India,28.13 N,77.27 E
1798,6,33.596,2_NewDelhi,India,28.13 N,77.27 E
1798,7,31.655,2_NewDelhi,India,28.13 N,77.27 E
1798,8,30.521,2_NewDelhi,India,28.13 N,77.27 E
1798,9,28.473,2_NewDelhi,India,28.13 N,77.27 E
1798,10,25.693,2_NewDelhi,India,28.13 N,77.27 E
1798,11,20.544,2_NewDelhi,India,28.13 N,77.27 E
1798,12,14.384,2_NewDelhi,India,28.13 N,77.27 E
1799,1,14.201,2_NewDelhi,India,28.13 N,77.27 E
1799,2,15.679,2_NewDelhi,India,28.13 N,77.27 E
1799,3,21.63,2_NewDelhi,India,28.13 N,77.27 E
1799,4,29.307,2_NewDelhi,India,28.13 N,77.27 E
1799,5,33.592,2_NewDelhi,India,28.13 N,77.27 E
1799,6,33.832,2_NewDelhi,India,28.13 N,77.27 E
1799,7,30.906,2_NewDelhi,India,28.13 N,77.27 E
1799,8,29.52,2_NewDelhi,India,28.13 N,77.27 E
1799,9,28.816,2_NewDelhi,India,28.13 N,77.27 E
1799,10,26.281,2_NewDelhi,India,28.13 N,77.27 E
1799,11,,2_NewDelhi,India,28.13 N,77.27 E
1799,12,14.003,2_NewDelhi,India,28.13 N,77.27 E
1800,1,13.938,2_NewDelhi,India,28.13 N,77.27 E
1800,2,16.947,2_NewDelhi,India,28.13 N,77.27 E
1800,3,22.437,2_NewDelhi,India,28.13 N,77.27 E
1800,4,29.943,2_NewDelhi,India,28.13 N,77.27 E
1800,5,32.817,2_NewDelhi,India,28.13 N,77.27 E
1800,6,33.518,2_NewDelhi,India,28.13 N,77.27 E
1800,7,30.411,2_NewDelhi,India,28.13 N,77.27 E
1800,8,29.428,2_NewDelhi,India,28.13 N,77.27 E
1800,9,28.071,2_NewDelhi,India,28.13 N,77.27 E
1800,10,26.197,2_NewDelhi,India,28.13 N,77.27 E
1800,11,20.539,2_NewDelhi,India,28.13 N,77.27 E
1800,12,15.263,2_NewDelhi,India,28.13 N,77.27 E
1801,1,15.331,2_NewDelhi,India,28.13 N,77.27 E
1801,2,17.927,2_NewDelhi,India,28.13 N,77.27 E
1801,3,24.646,2_NewDelhi,India,28.13 N,77.27 E
1801,4,,2_NewDelhi,India,28.13 N,77.27 E
1801,5,,2_NewDelhi,India,28.13 N,77.27 E
1801,6,33.232,2_NewDelhi,India,28.13 N,77.27 E
1801,7,31.102,2_NewDelhi,India,28.13 N,77.27 E
1801,8,28.948,2_NewDelhi,India,28.13 N,77.27 E
1801,9,28.759,2_NewDelhi,India,28.13 N,77.27 E
1801,10,27.097,2_NewDelhi,India,28.13 N,77.27 E
1801,11,20.245,2_NewDelhi,India,28.13 N,77.27 E
1801,12,16.397,2_NewDelhi,India,28.13 N,77.27 E
1802,1,15.883,2_NewDelhi,India,28.13 N,77.27 E
1802,2,18.808,2_NewDelhi,India,28.13 N,77.27 E
1802,3,24.577,2_NewDelhi,India,28.13 N,77.27 E
1802,4,29.784,2_NewDelhi,India,28.13 N,77.27 E
1802,5,32.554,2_NewDelhi,India,28.13 N,77.27 E
1802,6,33.925,2_NewDelhi,India,28.13 N,77.27 E
1802,7,31.236,2_NewDelhi,India,28.13 N,77.27 E
1802,8,29.305,2_NewDelhi,India,28.13 N,77.27 E
1802,9,29.485,2_NewDelhi,India,28.13 N,77.27 E
1802,10,26.172,2_NewDelhi,India,28.13 N,77.27 E
