Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1843,1,14.62,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,2,17.687,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,3,20.696,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,4,24.927,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,5,28.948,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,6,32.535,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,7,35.267,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,8,33.904,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,9,30.02,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,10,,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,11,18.759,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1843,12,13.886,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,1,13.393,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,2,15.609,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,3,,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,4,,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,5,29.026,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,6,33.031,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,7,35.235,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,8,33.966,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,9,30.083,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,10,25.369,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,11,18.768,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1844,12,14.04,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1845,1,12.18,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1845,2,16.178,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
1845,3,21.274,3_Riyadh,Saudi Arabia,24.92 N,46.11 E
