Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1743,3,-4.461,4_Moscow,Russia,55.45 N,36.85 E
1743,4,3.319,4_Moscow,Russia,55.45 N,36.85 E
1743,5,10.507,4_Moscow,Russia,55.45 N,36.85 E
1743,6,,4_Moscow,Russia,55.45 N,36.85 E
1743,7,16.82,4_Moscow,Russia,55.45 N,36.85 E
1743,8,,4_Moscow,Russia,55.45 N,36.85 E
1743,9,10.469,4_Moscow,Russia,55.45 N,36.85 E
1743,10,0.225,4_Moscow,Russia,55.45 N,36.85 E
1743,11,-2.748,4_Moscow,Russia,55.45 N,36.85 E
1743,12,-7.875,4_Moscow,Russia,55.45 N,36.85 E
1744,1,-11.092,4_Moscow,Russia,55.45 N,36.85 E
1744,2,-10.594,4_Moscow,Russia,55.45 N,36.85 E
1744,3,-4.798,4_Moscow,Russia,55.45 N,36.85 E
1744,4,5.917,4_Moscow,Russia,55.45 N,36.85 E
1744,5,10.296,4_Moscow,Russia,55.45 N,36.85 E
1744,6,16.011,4_Moscow,Russia,55.45 N,36.85 E
1744,7,18.052,4_Moscow,Russia,55.45 N,36.85 E
1744,8,14.47,4_Moscow,Russia,55.45 N,36.85 E
1744,9,11.161,4_Moscow,Russia,55.45 N,36.85 E
1744,10,2.113,4_Moscow,Russia,55.45 N,36.85 E
1744,11,-1.51,4_Moscow,Russia,55.45 N,36.85 E
1744,12,-7.91,4_Moscow,Russia,55.45 N,36.85 E
1745,1,-11.85,4_Moscow,Russia,55.45 N,36.85 E
1745,2,-10.467,4_Moscow,Russia,55.45 N,36.85 E
1745,3,-6.022,4_Moscow,Russia,55.45 N,36.85 E
1745,4,3.574,4_Moscow,Russia,55.45 N,36.85 E
1745,5,11.443,4_Moscow,Russia,55.45 N,36.85 E
1745,6,17.265,4_Moscow,Russia,55.45 N,36.85 E
1745,7,17.436,4_Moscow,Russia,55.45 N,36.85 E
1745,8,,4_Moscow,Russia,55.45 N,36.85 E
1745,9,10.63,4_Moscow,Russia,55.45 N,36.85 E
1745,10,,4_Moscow,Russia,55.45 N,36.85 E
1745,11,,4_Moscow,Russia,55.45 N,36.85 E
1745,12,-7.038,4_Moscow,Russia,55.45 N,36.85 E
1746,1,-7.787,4_Moscow,Russia,55.45 N,36.85 E
1746,2,-9.276,4_Moscow,Russia,55.45 N,36.85 E
1746,3,-8.004,4_Moscow,Russia,55.45 N,36.85 E
