Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1819,7,22.664,6_Tokyo,Japan,36.17 N,139.23 E
1819,8,,6_Tokyo,Japan,36.17 N,139.23 E
1819,9,20.356,6_Tokyo,Japan,36.17 N,139.23 E
1819,10,13.372,6_Tokyo,Japan,36.17 N,139.23 E
1819,11,6.752,6_Tokyo,Japan,36.17 N,139.23 E
1819,12,2.22,6_Tokyo,Japan,36.17 N,139.23 E
1820,1,-2.669,6_Tokyo,Japan,36.17 N,139.23 E
1820,2,0.669,6_Tokyo,Japan,36.17 N,139.23 E
1820,3,4.582,6_Tokyo,Japan,36.17 N,139.23 E
1820,4,11.388,6_Tokyo,Japan,36.17 N,139.23 E
1820,5,15.938,6_Tokyo,Japan,36.17 N,139.23 E
1820,6,19.348,6_Tokyo,Japan,36.17 N,139.23 E
1820,7,23.479,6_Tokyo,Japan,36.17 N,139.23 E
1820,8,23.288,6_Tokyo,Japan,36.17 N,139.23 E
1820,9,19.959,6_Tokyo,Japan,36.17 N,139.23 E
1820,10,12.669,6_Tokyo,Japan,36.17 N,139.23 E
1820,11,6.578,6_Tokyo,Japan,36.17 N,139.23 E
1820,12,1.018,6_Tokyo,Japan,36.17 N,139.23 E
1821,1,0.461,6_Tokyo,Japan,36.17 N,139.23 E
1821,2,1.383,6_Tokyo,Japan,36.17 N,139.23 E
1821,3,4.919,6_Tokyo,Japan,36.17 N,139.23 E
1821,4,10.65,6_Tokyo,Japan,36.17 N,139.23 E
1821,5,15.916,6_Tokyo,Japan,36.17 N,139.23 E
1821,6,18.935,6_Tokyo,Japan,36.17 N,139.23 E
1821,7,22.876,6_Tokyo,Japan,36.17 N,139.23 E
1821,8,23.987,6_Tokyo,Japan,36.17 N,139.23 E
1821,9,,6_Tokyo,Japan,36.17 N,139.23 E
1821,10,12.337,6_Tokyo,Japan,36.17 N,139.23 E
1821,11,6.683,6_Tokyo,Japan,36.17 N,139.23 E
1821,12,2.222,6_Tokyo,Japan,36.17 N,139.23 E
1822,1,-0.161,6_Tokyo,Japan,36.17 N,139.23 E
1822,2,1.461,6_Tokyo,Japan,36.17 N,139.23 E
1822,3,6.854,6_Tokyo,Japan,36.17 N,139.23 E
1822,4,9.647,6_Tokyo,Japan,36.17 N,139.23 E
1822,5,14.682,6_Tokyo,Japan,36.17 N,139.23 E
1822,6,19.368,6_Tokyo,Japan,36.17 N,139.23 E
1822,7,22.826,6_Tokyo,Japan,36.17 N,139.23 E
1822,8,23.959,6_Tokyo,Japan,36.17 N,139.23 E
1822,9,19.615,6_Tokyo,Japan,36.17 N,139.23 E
1822,10,12.515,6_Tokyo,Japan,36.17 N,139.23 E
1822,11,6.339,6_Tokyo,Japan,36.17 N,139.23 E
1822,12,0.761,6_Tokyo,Japan,36.17 N,139.23 E
1823,1,-0.29,6_Tokyo,Japan,36.17 N,139.23 E
1823,2,0.682,6_Tokyo,Japan,36.17 N,139.23 E
1823,3,4.287,6_Tokyo,Japan,36.17 N,139.23 E
1823,4,9.796,6_Tokyo,Japan,36.17 N,139.23 E
1823,5,14.385,6_Tokyo,Japan,36.17 N,139.23 E
1823,6,19.685,6_Tokyo,Japan,36.17 N,139.23 E
1823,7,23.946,6_Tokyo,Japan,36.17 N,139.23 E
1823,8,23.754,6_Tokyo,Japan,36.17 N,139.23 E
1823,9,19.395,6_Tokyo,Japan,36.17 N,139.23 E
1823,10,12.897,6_Tokyo,Japan,36.17 N,139.23 E
1823,11,,6_Tokyo,Japan,36.17 N,139.23 E
1823,12,,6_Tokyo,Japan,36.17 N,139.23 E
1824,1,,6_Tokyo,Japan,36.17 N,139.23 E
1824,2,,6_Tokyo,Japan,36.17 N,139.23 E
1824,3,,6_Tokyo,Japan,36.17 N,139.23 E
1824,4,,6_Tokyo,Japan,36.17 N,139.23 E
1824,5,,6_Tokyo,Japan,36.17 N,139.23 E
1824,6,,6_Tokyo,Japan,36.17 N,139.23 E
1824,7,,6_Tokyo,Japan,36.17 N,139.23 E
1824,8,,6_Tokyo,Japan,36.17 N,139.23 E
1824,9,,6_Tokyo,Japan,36.17 N,139.23 E
1824,10,,6_Tokyo,Japan,36.17 N,139.23 E
1824,11,,6_Tokyo,Japan,36.17 N,139.23 E
1824,12,,6_Tokyo,Japan,36.17 N,139.23 E
1825,1,0.456,6_Tokyo,Japan,36.17 N,139.23 E
1825,2,0.687,6_Tokyo,Japan,36.17 N,139.23 E
1825,3,4.521,6_Tokyo,Japan,36.17 N,139.23 E
1825,4,10.787,6_Tokyo,Japan,36.17 N,139.23 E
1825,5,16.139,6_Tokyo,Japan,36.17 N,139.23 E
1825,6,18.794,6_Tokyo,Japan,36.17 N,139.23 E
1825,7,21.53,6_Tokyo,Japan,36.17 N,139.23 E
1825,8,21.095,6_Tokyo,Japan,36.17 N,139.23 E
1825,9,18.702,6_Tokyo,Japan,36.17 N,139.23 E
1825,10,14.984,6_Tokyo,Japan,36.17 N,139.23 E
1825,11,,6_Tokyo,Japan,36.17 N,139.23 E
1825,12,,6_Tokyo,Japan,36.17 N,139.23 E
1826,1,,6_Tokyo,Japan,36.17 N,139.23 E
1826,2,,6_Tokyo,Japan,36.17 N,139.23 E
1826,3,,6_Tokyo,Japan,36.17 N,139.23 E
1826,4,,6_Tokyo,Japan,36.17 N,139.23 E
1826,5,16.988,6_Tokyo,Japan,36.17 N,139.23 E
1826,6,20.481,6_Tokyo,Japan,36.17 N,139.23 E
1826,7,23.206,6_Tokyo,Japan,36.17 N,139.23 E
1826,8,22.522,6_Tokyo,Japan,36.17 N,139.23 E
1826,9,18.957,6_Tokyo,Japan,36.17 N,139.23 E
1826,10,14.348,6_Tokyo,Japan,36.17 N,139.23 E
1826,11,8.789,6_Tokyo,Japan,36.17 N,139.23 E
1826,12,3.905,6_Tokyo,Japan,36.17 N,139.23 E
1827,1,0.982,6_Tokyo,Japan,36.17 N,139.23 E
1827,2,1.34,6_Tokyo,Japan,36.17 N,139.23 E
1827,3,5.46,6_Tokyo,Japan,36.17 N,139.23 E
1827,4,11.793,6_Tokyo,Japan,36.17 N,139.23 E
1827,5,15.999,6_Tokyo,Japan,36.17 N,139.23 E
1827,6,20.008,6_Tokyo,Japan,36.17 N,139.23 E
1827,7,24.172,6_Tokyo,Japan,36.17 N,139.23 E
1827,8,24.721,6_Tokyo,Japan,36.17 N,139.23 E
1827,9,19.811,6_Tokyo,Japan,36.17 N,139.23 E
1827,10,14.684,6_Tokyo,Japan,36.17 N,139.23 E
1827,11,7.761,6_Tokyo,Japan,36.17 N,139.23 E
1827,12,2.95,6_Tokyo,Japan,36.17 N,139.23 E
1828,1,-0.647,6_Tokyo,Japan,36.17 N,139.23 E
1828,2,0.026,6_Tokyo,Japan,36.17 N,139.23 E
1828,3,4.89,6_Tokyo,Japan,36.17 N,139.23 E
1828,4,12.527,6_Tokyo,Japan,36.17 N,139.23 E
1828,5,16.427,6_Tokyo,Japan,36.17 N,139.23 E
1828,6,18.919,6_Tokyo,Japan,36.17 N,139.23 E
1828,7,21.732,6_Tokyo,Japan,36.17 N,139.23 E
1828,8,24.27,6_Tokyo,Japan,36.17 N,139.23 E
1828,9,19.232,6_Tokyo,Japan,36.17 N,139.23 E
1828,10,,6_Tokyo,Japan,36.17 N,139.23 E
1828,11,,6_Tokyo,Japan,36.17 N,139.23 E
1828,12,,6_Tokyo,Japan,36.17 N,139.23 E
1829,1,,6_Tokyo,Japan,36.17 N,139.23 E
1829,2,,6_Tokyo,Japan,36.17 N,139.23 E
1829,3,,6_Tokyo,Japan,36.17 N,139.23 E
1829,4,,6_Tokyo,Japan,36.17 N,139.23 E
1829,5,,6_Tokyo,Japan,36.17 N,139.23 E
1829,6,,6_Tokyo,Japan,36.17 N,139.23 E
1829,7,,6_Tokyo,Japan,36.17 N,139.23 E
1829,8,,6_Tokyo,Japan,36.17 N,139.23 E
1829,9,,6_Tokyo,Japan,36.17 N,139.23 E
1829,10,,6_Tokyo,Japan,36.17 N,139.23 E
1829,11,,6_Tokyo,Japan,36.17 N,139.23 E
