Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1743,3,4.746,7_London,Britain,52.24 N,0.00 W
1743,4,5.302,7_London,Britain,52.24 N,0.00 W
1743,5,10.971,7_London,Britain,52.24 N,0.00 W
1743,6,,7_London,Britain,52.24 N,0.00 W
1743,7,15.449,7_London,Britain,52.24 N,0.00 W
1743,8,,7_London,Britain,52.24 N,0.00 W
1743,9,13.245,7_London,Britain,52.24 N,0.00 W
1743,10,6.261,7_London,Britain,52.24 N,0.00 W
1743,11,6.705,7_London,Britain,52.24 N,0.00 W
1743,12,2.91,7_London,Britain,52.24 N,0.00 W
1744,1,1.091,7_London,Britain,52.24 N,0.00 W
1744,2,1.07,7_London,Britain,52.24 N,0.00 W
1744,3,4.127,7_London,Britain,52.24 N,0.00 W
1744,4,7.468,7_London,Britain,52.24 N,0.00 W
1744,5,10.952,7_London,Britain,52.24 N,0.00 W
1744,6,14.733,7_London,Britain,52.24 N,0.00 W
1744,7,15.979,7_London,Britain,52.24 N,0.00 W
1744,8,14.755,7_London,Britain,52.24 N,0.00 W
1744,9,13.015,7_London,Britain,52.24 N,0.00 W
1744,10,9.158,7_London,Britain,52.24 N,0.00 W
1744,11,6.042,7_London,Britain,52.24 N,0.00 W
1744,12,2.849,7_London,Britain,52.24 N,0.00 W
1745,1,1.797,7_London,Britain,52.24 N,0.00 W
1745,2,1.55,7_London,Britain,52.24 N,0.00 W
1745,3,3.802,7_London,Britain,52.24 N,0.00 W
1745,4,7.695,7_London,Britain,52.24 N,0.00 W
1745,5,11.666,7_London,Britain,52.24 N,0.00 W
1745,6,14.605,7_London,Britain,52.24 N,0.00 W
1745,7,15.94,7_London,Britain,52.24 N,0.00 W
1745,8,,7_London,Britain,52.24 N,0.00 W
1745,9,13.597,7_London,Britain,52.24 N,0.00 W
1745,10,,7_London,Britain,52.24 N,0.00 W
1745,11,,7_London,Britain,52.24 N,0.00 W
1745,12,1.697,7_London,Britain,52.24 N,0.00 W
1746,1,2.328,7_London,Britain,52.24 N,0.00 W
1746,2,2.074,7_London,Britain,52.24 N,0.00 W
1746,3,1.885,7_London,Britain,52.24 N,0.00 W
1746,4,6.704,7_London,Britain,52.24 N,0.00 W
1746,5,,7_London,Britain,52.24 N,0.00 W
1746,6,14.013,7_London,Britain,52.24 N,0.00 W
1746,7,,7_London,Britain,52.24 N,0.00 W
1746,8,,7_London,Britain,52.24 N,0.00 W
1746,9,,7_London,Britain,52.24 N,0.00 W
1746,10,,7_London,Britain,52.24 N,0.00 W
1746,11,,7_London,Britain,52.24 N,0.00 W
1746,12,,7_London,Britain,52.24 N,0.00 W
1747,1,,7_London,Britain,52.24 N,0.00 W
1747,2,,7_London,Britain,52.24 N,0.00 W
1747,3,,7_London,Britain,52.24 N,0.00 W
1747,4,7.537,7_London,Britain,52.24 N,0.00 W
1747,5,,7_London,Britain,52.24 N,0.00 W
1747,6,16.17,7_London,Britain,52.24 N,0.00 W
1747,7,16.002,7_London,Britain,52.24 N,0.00 W
1747,8,,7_London,Britain,52.24 N,0.00 W
1747,9,14.197,7_London,Britain,52.24 N,0.00 W
1747,10,9.206,7_London,Britain,52.24 N,0.00 W
1747,11,6.23,7_London,Britain,52.24 N,0.00 W
1747,12,,7_London,Britain,52.24 N,0.00 W
1748,1,,7_London,Britain,52.24 N,0.00 W
1748,2,,7_London,Britain,52.24 N,0.00 W
1748,3,,7_London,Britain,52.24 N,0.00 W
1748,4,6.349,7_London,Britain,52.24 N,0.00 W
1748,5,12.106,7_London,Britain,52.24 N,0.00 W
1748,6,,7_London,Britain,52.24 N,0.00 W
1748,7,,7_London,Britain,52.24 N,0.00 W
1748,8,,7_London,Britain,52.24 N,0.00 W
1748,9,13.327,7_London,Britain,52.24 N,0.00 W
1748,10,9.398,7_London,Britain,52.24 N,0.00 W
1748,11,6.533,7_London,Britain,52.24 N,0.00 W
1748,12,5.659,7_London,Britain,52.24 N,0.00 W
1749,1,4.287,7_London,Britain,52.24 N,0.00 W
1749,2,3.131,7_London,Britain,52.24 N,0.00 W
1749,3,3.884,7_London,Britain,52.24 N,0.00 W
1749,4,7.371,7_London,Britain,52.24 N,0.00 W
1749,5,,7_London,Britain,52.24 N,0.00 W
