Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1750,3,-2.145,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,9,4.225,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1750,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,1,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,2,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,3,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,9,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1751,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,1,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,2,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,3,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,9,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1752,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,1,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,2,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,3,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,9,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1753,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,1,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,2,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,3,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,9,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1754,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,1,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,2,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,3,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,9,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1755,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,1,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,2,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,3,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,4,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,5,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,6,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,7,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,8,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,9,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,10,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,11,,8_Reykjavík,Iceland,65.09 N,21.06 W
1756,12,,8_Reykjavík,Iceland,65.09 N,21.06 W
