Year,Month,Actual Temperature,City,Country,Latitude,Longitude
1816,3,-5.193,9_Lhasa,China,29.74 N,90.46 E
1816,4,-1.541,9_Lhasa,China,29.74 N,90.46 E
1816,5,3.62,9_Lhasa,China,29.74 N,90.46 E
1816,6,6.083,9_Lhasa,China,29.74 N,90.46 E
1816,7,5.87,9_Lhasa,China,29.74 N,90.46 E
1816,8,5.728,9_Lhasa,China,29.74 N,90.46 E
1816,9,2.552,9_Lhasa,China,29.74 N,90.46 E
1816,10,-3.208,9_Lhasa,China,29.74 N,90.46 E
1816,11,-8.054,9_Lhasa,China,29.74 N,90.46 E
1816,12,-11.877,9_Lhasa,China,29.74 N,90.46 E
1817,1,-11.211,9_Lhasa,China,29.74 N,90.46 E
1817,2,-8.121,9_Lhasa,China,29.74 N,90.46 E
1817,3,-5.471,9_Lhasa,China,29.74 N,90.46 E
1817,4,-0.396,9_Lhasa,China,29.74 N,90.46 E
1817,5,2.095,9_Lhasa,China,29.74 N,90.46 E
1817,6,4.847,9_Lhasa,China,29.74 N,90.46 E
1817,7,6.002,9_Lhasa,China,29.74 N,90.46 E
1817,8,6.094,9_Lhasa,China,29.74 N,90.46 E
1817,9,1.417,9_Lhasa,China,29.74 N,90.46 E
1817,10,-2.236,9_Lhasa,China,29.74 N,90.46 E
1817,11,-6.978,9_Lhasa,China,29.74 N,90.46 E
1817,12,-12.444,9_Lhasa,China,29.74 N,90.46 E
1818,1,-11.322,9_Lhasa,China,29.74 N,90.46 E
1818,2,-9.528,9_Lhasa,China,29.74 N,90.46 E
1818,3,-4.691,9_Lhasa,China,29.74 N,90.46 E
1818,4,0.197,9_Lhasa,China,29.74 N,90.46 E
1818,5,3.858,9_Lhasa,China,29.74 N,90.46 E
1818,6,6.949,9_Lhasa,China,29.74 N,90.46 E
1818,7,6.632,9_Lhasa,China,29.74 N,90.46 E
1818,8,6.152,9_Lhasa,China,29.74 N,90.46 E
1818,9,2.085,9_Lhasa,China,29.74 N,90.46 E
1818,10,-2.204,9_Lhasa,China,29.74 N,90.46 E
1818,11,-6.913,9_Lhasa,China,29.74 N,90.46 E
1818,12,-11.492,9_Lhasa,China,29.74 N,90.46 E
1819,1,-12.869,9_Lhasa,China,29.74 N,90.46 E
1819,2,-9.6,9_Lhasa,China,29.74 N,90.46 E
1819,3,-6.143,9_Lhasa,China,29.74 N,90.46 E
1819,4,-2.408,9_Lhasa,China,29.74 N,90.46 E
1819,5,2.804,9_Lhasa,China,29.74 N,90.46 E
1819,6,6.042,9_Lhasa,China,29.74 N,90.46 E
1819,7,6.602,9_Lhasa,China,29.74 N,90.46 E
1819,8,5.448,9_Lhasa,China,29.74 N,90.46 E
1819,9,3.323,9_Lhasa,China,29.74 N,90.46 E
1819,10,-1.123,9_Lhasa,China,29.74 N,90.46 E
1819,11,-6.932,9_Lhasa,China,29.74 N,90.46 E
1819,12,-12.355,9_Lhasa,China,29.74 N,90.46 E
1820,1,-14.25,9_Lhasa,China,29.74 N,90.46 E
1820,2,-10.008,9_Lhasa,China,29.74 N,90.46 E
1820,3,-5.203,9_Lhasa,China,29.74 N,90.46 E
1820,4,-0.298,9_Lhasa,China,29.74 N,90.46 E
1820,5,3.923,9_Lhasa,China,29.74 N,90.46 E
1820,6,6.633,9_Lhasa,China,29.74 N,90.46 E
1820,7,7.171,9_Lhasa,China,29.74 N,90.46 E
1820,8,5.59,9_Lhasa,China,29.74 N,90.46 E
1820,9,3.643,9_Lhasa,China,29.74 N,90.46 E
1820,10,-1.705,9_Lhasa,China,29.74 N,90.46 E
1820,11,-7.319,9_Lhasa,China,29.74 N,90.46 E
1820,12,-12.167,9_Lhasa,China,29.74 N,90.46 E
1821,1,-10.375,9_Lhasa,China,29.74 N,90.46 E
1821,2,-7.018,9_Lhasa,China,29.74 N,90.46 E
1821,3,-4.514,9_Lhasa,China,29.74 N,90.46 E
1821,4,-0.641,9_Lhasa,China,29.74 N,90.46 E
1821,5,3.854,9_Lhasa,China,29.74 N,90.46 E
1821,6,6.667,9_Lhasa,China,29.74 N,90.46 E
1821,7,7.06,9_Lhasa,China,29.74 N,90.46 E
1821,8,6.039,9_Lhasa,China,29.74 N,90.46 E
1821,9,2.521,9_Lhasa,China,29.74 N,90.46 E
1821,10,-1.333,9_Lhasa,China,29.74 N,90.46 E
1821,11,-6.546,9_Lhasa,China,29.74 N,90.46 E
1821,12,-10.859,9_Lhasa,China,29.74 N,90.46 E
1822,1,-9.918,9_Lhasa,China,29.74 N,90.46 E
1822,2,-6.491,9_Lhasa,China,29.74 N,90.46 E
1822,3,-2.216,9_Lhasa,China,29.74 N,90.46 E
1822,4,-0.997,9_Lhasa,China,29.74 N,90.46 E
1822,5,3.87,9_Lhasa,China,29.74 N,90.46 E
1822,6,6.804,9_Lhasa,China,29.74 N,90.46 E
1822,7,7.5,9_Lhasa,China,29.74 N,90.46 E
1822,8,6.176,9_Lhasa,China,29.74 N,90.46 E
1822,9,3.138,9_Lhasa,China,29.74 N,90.46 E
1822,10,-1.525,9_Lhasa,China,29.74 N,90.46 E
1822,11,-7.449,9_Lhasa,China,29.74 N,90.46 E
1822,12,-12.277,9_Lhasa,China,29.74 N,90.46 E
1823,1,-10.807,9_Lhasa,China,29.74 N,90.46 E
1823,2,-7.985,9_Lhasa,China,29.74 N,90.46 E
1823,3,-4.804,9_Lhasa,China,29.74 N,90.46 E
1823,4,-0.242,9_Lhasa,China,29.74 N,90.46 E
1823,5,3.441,9_Lhasa,China,29.74 N,90.46 E
1823,6,6.959,9_Lhasa,China,29.74 N,90.46 E
1823,7,7.378,9_Lhasa,China,29.74 N,90.46 E
1823,8,5.66,9_Lhasa,China,29.74 N,90.46 E
1823,9,2.718,9_Lhasa,China,29.74 N,90.46 E
1823,10,-1.241,9_Lhasa,China,29.74 N,90.46 E
1823,11,-7.409,9_Lhasa,China,29.74 N,90.46 E
1823,12,,9_Lhasa,China,29.74 N,90.46 E
1824,1,,9_Lhasa,China,29.74 N,90.46 E
1824,2,,9_Lhasa,China,29.74 N,90.46 E
1824,3,,9_Lhasa,China,29.74 N,90.46 E
1824,4,,9_Lhasa,China,29.74 N,90.46 E
