year,VEI,year_average_VEI,year_events_amount
-4360,6.0,6.0,1
-4350,7.0,7.0,1
-4050,6.0,6.0,1
-4000,6.0,6.0,1
-3580,6.0,6.0,1
-3550,6.0,6.0,1
-2420,5.0,5.0,1
-2040,6.0,6.0,1
-1900,6.0,6.0,1
-1890,6.0,6.0,1
-1860,6.0,6.0,1
-1750,6.0,6.0,1
-1645,6.0,6.0,1
-1610,7.0,7.0,1
-1460,6.0,6.0,1
-1370,6.0,6.0,1
-1050,6.0,6.0,1
-1010,5.0,5.0,1
-455,4.0,4.0,1
-250,6.0,6.0,1
-197,3.0,3.0,1
-100,6.0,6.0,1
-50,6.0,6.0,1
46,3.0,3.0,1
50,6.0,6.0,1
60,6.0,6.0,1
79,5.0,5.0,1
233,6.0,6.0,1
240,6.0,6.0,1
450,6.0,6.0,1
640,2.0,2.0,1
653,6.0,6.0,1
683,6.0,6.0,1
710,6.0,6.0,1
764,4.0,4.0,1
766,3.0,3.0,1
787,3.0,3.0,1
847,6.0,6.0,1
920,4.0,4.0,1
930,6.0,6.0,1
934,4.0,4.0,1
946,7.0,7.0,1
1104,5.0,5.0,1
1151,1.0,1.0,1
1158,4.0,4.0,1
1177,3.0,3.0,1
1206,2.0,2.0,1
1262,3.0,3.0,1
1280,6.0,6.0,1
1300,4.0,4.0,1
1311,4.0,3.5,2
1311,3.0,3.5,2
1329,3.0,2.0,2
1329,1.0,2.0,2
1331,2.0,2.0,1
1334,3.0,3.0,1
1341,3.0,3.0,1
1357,4.0,4.0,1
1362,5.0,5.0,1
1375,5.0,5.0,1
1376,3.0,3.0,1
1385,3.0,3.0,1
1389,3.0,3.0,1
1410,3.0,3.0,1
1471,5.0,5.0,1
1477,6.0,6.0,1
1485,2.0,2.0,1
1500,4.0,4.0,1
1510,4.0,4.0,2
1510,4.0,4.0,2
1536,3.0,3.0,1
1538,3.0,3.0,1
1540,4.0,4.0,1
1550,3.0,3.0,2
1550,3.0,3.0,2
1564,3.0,3.0,1
1565,3.0,3.0,1
1566,3.0,3.0,1
1568,3.0,3.0,1
1572,3.0,3.0,1
1576,3.0,3.0,1
1580,3.0,4.333333333333333,3
1580,4.0,4.333333333333333,3
1580,6.0,4.333333333333333,3
1581,4.0,4.0,1
1586,5.0,5.0,1
1587,4.0,4.0,1
1590,3.0,3.0,1
1593,5.0,5.0,1
1595,4.0,4.0,1
1596,2.0,2.0,1
1597,4.0,3.5,2
1597,3.0,3.5,2
1598,2.0,2.5,2
1598,3.0,2.5,2
1600,6.0,6.0,1
1606,2.0,2.0,1
1608,3.0,3.0,1
1615,3.0,3.0,1
1617,3.0,3.0,1
1625,5.0,5.0,1
1629,2.0,2.0,1
1630,4.0,4.0,1
1631,5.0,5.0,1
1636,3.0,3.0,1
1638,4.0,4.0,1
1640,5.0,4.0,2
1640,3.0,4.0,2
1646,4.0,4.0,1
1650,4.0,4.0,1
1659,3.0,3.5,2
1659,4.0,3.5,2
1660,4.0,4.5,4
1660,4.0,4.5,4
1660,4.0,4.5,4
1660,6.0,4.5,4
1663,5.0,5.0,1
1664,2.0,2.0,1
1669,3.0,3.0,2
1669,3.0,3.0,2
1670,2.0,2.0,1
1672,2.0,2.5,2
1672,3.0,2.5,2
1673,5.0,5.0,1
1677,2.0,2.0,1
1682,3.0,3.0,1
1684,2.0,2.0,1
1690,3.0,3.0,2
1690,3.0,3.0,2
1692,4.0,4.0,1
1693,4.0,4.0,1
1694,3.0,3.0,1
1698,3.0,3.0,3
1698,3.0,3.0,3
1698,3.0,3.0,3
1706,2.0,2.0,1
1707,3.0,3.5,2
1707,4.0,3.5,2
1711,3.0,3.0,1
1712,2.0,2.0,1
1716,2.0,2.75,4
1716,4.0,2.75,4
1716,2.0,2.75,4
1716,3.0,2.75,4
1717,3.0,3.0,3
1717,3.0,3.0,3
1717,3.0,3.0,3
1718,2.0,2.0,1
1721,5.0,3.0,2
1721,1.0,3.0,2
1726,1.0,1.0,1
1727,4.0,4.0,1
1729,1.0,1.5,2
1729,2.0,1.5,2
1730,2.0,2.5,2
1730,3.0,2.5,2
1737,2.0,2.0,1
1741,4.0,4.0,1
1742,3.0,3.0,2
1742,3.0,3.0,2
1749,3.0,3.0,1
1753,2.0,2.0,1
1754,4.0,4.0,1
1755,4.0,4.0,1
1757,0.0,0.0,1
1760,4.0,4.0,1
1762,2.0,2.0,1
1766,4.0,3.5,2
1766,3.0,3.5,2
1768,4.0,4.0,1
1772,3.0,3.0,2
1772,3.0,3.0,2
1773,2.0,2.0,1
1775,3.0,3.0,2
1775,3.0,3.0,2
1778,4.0,4.0,1
1779,2.0,3.0,2
1779,4.0,3.0,2
1780,4.0,3.6666666666666665,3
1780,3.0,3.6666666666666665,3
1780,4.0,3.6666666666666665,3
1781,4.0,4.0,1
1783,3.0,3.5,2
1783,4.0,3.5,2
1784,4.0,2.0,2
1784,0.0,2.0,2
1785,3.0,3.0,1
1786,2.0,2.0,1
1789,2.0,2.0,1
1790,4.0,4.0,1
1792,2.0,2.0,1
1794,3.0,3.0,1
1797,2.0,2.0,1
1800,2.0,2.25,4
1800,2.0,2.25,4
1800,5.0,2.25,4
1800,0.0,2.25,4
1801,2.0,2.0,1
1803,2.0,2.0,2
1803,2.0,2.0,2
1804,3.0,3.0,1
1805,2.0,2.0,1
1808,1.0,1.0,1
1812,4.0,3.5,2
1812,3.0,3.5,2
1813,2.0,2.0,1
1814,4.0,4.0,1
1815,7.0,7.0,1
1816,2.0,2.0,1
1817,2.0,3.0,2
1817,4.0,3.0,2
1818,4.0,4.0,1
1820,2.0,2.0,2
1820,2.0,2.0,2
1822,4.0,4.0,3
1822,5.0,4.0,3
1822,3.0,4.0,3
1823,0.0,0.0,1
1825,3.0,3.0,1
1826,3.0,2.3333333333333335,3
1826,2.0,2.3333333333333335,3
1826,2.0,2.3333333333333335,3
1827,2.0,2.0,2
1827,2.0,2.0,2
1829,2.0,2.0,1
1832,2.0,2.5,2
1832,3.0,2.5,2
1833,2.0,2.0,1
1835,5.0,5.0,1
1838,2.0,2.0,1
1839,2.0,2.0,1
1840,3.0,2.4,5
1840,0.0,2.4,5
1840,3.0,2.4,5
1840,3.0,2.4,5
1840,3.0,2.4,5
1841,2.0,2.0,1
1843,0.0,1.3333333333333333,3
1843,2.0,1.3333333333333333,3
1843,2.0,1.3333333333333333,3
1845,2.0,3.0,3
1845,3.0,3.0,3
1845,4.0,3.0,3
1846,2.0,1.5,2
1846,1.0,1.5,2
1847,2.0,2.0,2
1847,2.0,2.0,2
1848,2.0,2.0,1
1850,2.0,2.0,1
1853,0.0,1.6666666666666667,3
1853,3.0,1.6666666666666667,3
1853,2.0,1.6666666666666667,3
1854,5.0,3.3333333333333335,3
1854,2.0,3.3333333333333335,3
1854,3.0,3.3333333333333335,3
1856,3.0,3.5,2
