"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"Earth","","World","Count_Person","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3031517384,"Total Population"
"Earth","","World","Count_Person","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3072470012,"Total Population"
"Earth","","World","Count_Person","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3126894230,"Total Population"
"Earth","","World","Count_Person","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3193470069,"Total Population"
"Earth","","World","Count_Person","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3260479625,"Total Population"
"Earth","","World","Count_Person","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3328242834,"Total Population"
"Earth","","World","Count_Person","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3398509802,"Total Population"
"Earth","","World","Count_Person","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3468395137,"Total Population"
"Earth","","World","Count_Person","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3540185668,"Total Population"
"Earth","","World","Count_Person","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3614592846,"Total Population"
"Earth","","World","Count_Person","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3690229198,"Total Population"
"Earth","","World","Count_Person","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3767950635,"Total Population"
"Earth","","World","Count_Person","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3843630361,"Total Population"
"Earth","","World","Count_Person","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3920044841,"Total Population"
"Earth","","World","Count_Person","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3995920225,"Total Population"
"Earth","","World","Count_Person","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4070060140,"Total Population"
"Earth","","World","Count_Person","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4143135434,"Total Population"
"Earth","","World","Count_Person","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4215876682,"Total Population"
"Earth","","World","Count_Person","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4289852068,"Total Population"
"Earth","","World","Count_Person","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4365802882,"Total Population"
"Earth","","World","Count_Person","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4442416674,"Total Population"
"Earth","","World","Count_Person","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4520993169,"Total Population"
"Earth","","World","Count_Person","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4602785312,"Total Population"
