Year,Month,Actual Temperature
1780,1,8.495
1780,2,11.188
1780,3,13.898
1780,4,19.841
1780,5,21.765
1780,6,23.877
1780,7,27.623
1780,8,25.539
1780,9,21.283
1780,10,18.961
1780,11,12.931
1780,12,8.137
1781,1,8.595
1781,2,10.205
1781,3,13.581
1781,4,15.213
1781,5,19.362
1781,6,21.701
1781,7,26.84
1781,8,26.95
1781,9,21.69
1781,10,17.986
1781,11,15.014
1781,12,9.803
1782,1,7.344
1782,2,8.832
1782,3,12.219
1782,4,15.768
1782,5,19.393
1782,6,24.074
1782,7,26.593
1782,8,28.042
1782,9,23.766
1782,10,17.618
1782,11,11.597
1782,12,8.018
1783,1,5.838
1783,2,11.765
1783,3,13.233
1783,4,16.021
1783,5,19.524
1783,6,24.67
1783,7,26.399
1783,8,26.35
1783,9,21.109
1783,10,17.27
1783,11,10.829
1783,12,10.029
1784,1,9.135
1784,2,9.548
1784,3,13.393
1784,4,15.915
1784,5,18.114
1784,6,23.946
1784,7,27.241
1784,8,26.997
1784,9,21.844
1784,10,17.038
1784,11,11.875
1784,12,8.134
1785,1,9.246
1785,2,9.592
1785,3,10.922
1785,4,14.976
1785,5,18.618
1785,6,25.134
1785,7,27.046
1785,8,27.217
1785,9,22.528
1785,10,17.915
1785,11,13.177
1785,12,7.817
1786,1,7.027
1786,2,9.957
1786,3,14.256
1786,4,16.234
1786,5,20.02
1786,6,24.003
1786,7,27.663
1786,8,27.219
1786,9,23.942
1786,10,18.177
1786,11,11.241
1786,12,6.937
1787,1,9.781
1787,2,11.7
1787,3,14.101
1787,4,15.283
1787,5,19.2
1787,6,23.844
1787,7,24.947
1787,8,25.744
1787,9,21.795
1787,10,17.248
1787,11,12.064
1787,12,9.157
1788,1,6.256
1788,2,11.595
1788,3,13.415
1788,4,16.234
1788,5,19.379
1788,6,23.927
1788,7,28.309
1788,8,27.583
1788,9,22.71
1788,10,18.596
1788,11,13.841
1788,12,7.67
1789,1,9.116
1789,2,10.809
1789,3,12.811
1789,4,14.9
1789,5,19.245
1789,6,23.083
1789,7,26.235
1789,8,25.936
1789,9,22.94
1789,10,17.23
1789,11,12.286
1789,12,9.188
1790,1,9.285
1790,2,11.271
1790,3,14.143
1790,4,15.376
1790,5,18.065
1790,6,23.73
1790,7,26.3
1790,8,26.436
1790,9,23.06
1790,10,18.056
1790,11,12.96
1790,12,9.7
1791,1,9.864
1791,2,10.401
1791,3,14.446
1791,4,16.872
1791,5,18.222
1791,6,22.529
1791,7,26.405
1791,8,27.074
1791,9,23.703
1791,10,17.678
1791,11,13.378
1791,12,9.488
1792,1,8.188
1792,2,11.857
1792,3,13.795
1792,4,16.232
1792,5,20.017
1792,6,24.443
1792,7,27.024
1792,8,25.578
1792,9,22.863
1792,10,17.485
1792,11,12.757
1792,12,9.313
1793,1,7.759
1793,2,11.924
1793,3,13.913
1793,4,16.307
1793,5,19.644
1793,6,23.541
1793,7,27.213
1793,8,26.554
1793,9,22.589
1793,10,17.757
1793,11,13.468
1793,12,9.181
1794,1,9.146
1794,2,10.851
1794,3,15.043
1794,4,17.052
1794,5,19.85
1794,6,21.581
1794,7,25.097
1794,8,25.975
1794,9,22.813
1794,10,18.77
1794,11,13.766
1794,12,9.217
1795,1,10.62
1795,2,12.371
1795,3,14.519
1795,4,16.796
1795,5,20.745
1795,6,22.579
1795,7,26.845
1795,8,26.6
1795,9,22.238
1795,10,17.927
1795,11,12.808
1795,12,9.756
1796,1,9.628
1796,2,11.083
1796,3,11.888
1796,4,15.997
1796,5,19.515
1796,6,24.601
1796,7,26.542
1796,8,27.235
1796,9,22.948
1796,10,18.515
1796,11,12.622
1796,12,7.939
1797,1,10.273
1797,2,13.335
1797,3,13.06
1797,4,15.198
1797,5,18.731
1797,6,23.475
1797,7,26.211
1797,8,26.94
1797,9,23.034
1797,10,17.813
1797,11,12.117
1797,12,9.799
1798,1,9.03
1798,2,10.907
1798,3,14.962
1798,4,16.104
1798,5,19.607
1798,6,23.582
1798,7,27.466
1798,8,27.729
1798,9,22.658
1798,10,18.449
1798,11,14.038
1798,12,9.344
1799,1,9.022
1799,2,10.893
1799,3,12.82
1799,4,14.975
1799,5,18.742
1799,6,22.947
1799,7,26.943
1799,8,25.783
1799,9,23.074
1799,10,18.517
1799,11,14.219
1799,12,7.952
1800,1,8.906
1800,2,11.23
1800,3,13.118
1800,4,16.153
1800,5,18.577
1800,6,23.262
1800,7,27.242
1800,8,26.911
1800,9,22.495
1800,10,19.228
1800,11,13.848
1800,12,9.524
1801,1,9.862
1801,2,11.145
1801,3,15.244
1801,4,15.651
1801,5,20.098
1801,6,23.474
1801,7,26.527
1801,8,25.406
1801,9,22.58
1801,10,18.667
1801,11,12.707
1801,12,10.602
1802,1,8.987
1802,2,11.689
1802,3,14.715
1802,4,16.737
1802,5,18.751
1802,6,24.381
1802,7,26.737
1802,8,26.723
1802,9,23.857
1802,10,18.285
1802,11,13.179
1802,12,9.054
1803,1,7.82
1803,2,8.454
1803,3,13.417
1803,4,16.896
1803,5,19.7
1803,6,24.633
1803,7,27.171
1803,8,27.715
1803,9,23.726
1803,10,18.903
1803,11,13.532
1803,12,8.659
1804,1,9.134
1804,2,9.401
1804,3,13.637
1804,4,17.389
1804,5,20.431
1804,6,24.943
1804,7,27.701
1804,8,26.807
1804,9,23.65
1804,10,17.945
1804,11,14.385
1804,12,9.651
1805,1,9.288
1805,2,10.547
1805,3,14.294
1805,4,15.759
1805,5,19.485
1805,6,23.822
1805,7,26.483
1805,8,27.853
1805,9,23.576
1805,10,17.203
1805,11,12.945
1805,12,8.851
1806,1,8.299
1806,2,10.371
1806,3,13.839
1806,4,15.065
1806,5,18.844
1806,6,22.878
1806,7,27.225
1806,8,27.687
1806,9,23.202
1806,10,17.842
1806,11,13.055
1806,12,9.55
1807,1,7.512
1807,2,10.815
1807,3,12.871
1807,4,15.277
1807,5,18.129
1807,6,23.838
1807,7,26.286
1807,8,25.87
1807,9,24.028
1807,10,18.846
1807,11,12.451
1807,12,9.39
1808,1,7.006
1808,2,8.627
1808,3,13.664
1808,4,15.705
1808,5,18.798
1808,6,23.529
1808,7,27.861
1808,8,25.798
1808,9,22.008
1808,10,16.413
1808,11,11.531
1808,12,7.249
1809,1,8.966
1809,2,10.596
1809,3,12.382
1809,4,14.761
1809,5,17.932
1809,6,22.392
1809,7,24.591
1809,8,25.681
