Year,Month,Actual Temperature
1846,5,15.665
1846,6,
1846,7,
1846,8,
1846,9,
1846,10,
1846,11,
1846,12,
1847,1,
1847,2,
1847,3,
1847,4,
1847,5,
1847,6,
1847,7,
1847,8,
1847,9,
1847,10,
1847,11,
1847,12,
1848,1,
1848,2,
1848,3,
1848,4,
1848,5,
1848,6,
1848,7,
1848,8,
1848,9,
1848,10,
1848,11,
1848,12,
1849,1,12.877
1849,2,12.521
1849,3,13.456
1849,4,14.535
1849,5,13.735
1849,6,
1849,7,20.849
1849,8,21.315
1849,9,19.181
1849,10,17.071
1849,11,14.14
1849,12,11.616
1850,1,11.408
1850,2,11.573
1850,3,12.3
1850,4,14.075
1850,5,15.049
1850,6,16.262
1850,7,17.863
1850,8,21.109
1850,9,20.09
1850,10,18.206
1850,11,14.257
1850,12,10.543
1851,1,11.592
1851,2,10.79
1851,3,12.669
1851,4,14.941
1851,5,15.536
1851,6,18.044
1851,7,18.779
1851,8,20.605
1851,9,19.695
1851,10,18.015
1851,11,14.508
1851,12,12.729
1852,1,11.897
1852,2,13.191
1852,3,12.086
1852,4,13.037
1852,5,14.941
1852,6,17.594
1852,7,20.007
1852,8,19.472
1852,9,20.581
1852,10,16.933
1852,11,14.585
1852,12,14.438
1853,1,12.351
1853,2,11.674
1853,3,13.756
1853,4,15.652
1853,5,16.145
1853,6,18.417
1853,7,20.307
1853,8,19.67
1853,9,19.864
1853,10,18.915
1853,11,16.251
1853,12,14.155
1854,1,12.349
1854,2,12.474
1854,3,13.386
1854,4,16.022
1854,5,14.419
1854,6,16.205
1854,7,20.71
1854,8,19.443
1854,9,17.748
1854,10,17.485
1854,11,15.609
1854,12,13.977
1855,1,11.985
1855,2,13.659
1855,3,14.291
1855,4,15.384
1855,5,15.896
1855,6,18.35
1855,7,18.98
1855,8,19.793
1855,9,18.623
1855,10,18.431
1855,11,14.291
1855,12,12.341
1856,1,11.75
1856,2,12.331
1856,3,13.704
1856,4,14.715
1856,5,15.09
1856,6,18.681
1856,7,20.04
1856,8,19.959
1856,9,18.761
1856,10,15.614
1856,11,14.252
1856,12,10.985
1857,1,12.747
1857,2,12.246
1857,3,14.819
1857,4,15.929
1857,5,16.209
1857,6,18.421
1857,7,17.795
1857,8,19.971
1857,9,18.564
1857,10,17.236
1857,11,15.204
1857,12,14.315
1858,1,12.945
1858,2,13.333
1858,3,12.603
1858,4,13.955
1858,5,16.174
1858,6,17.464
1858,7,18.615
1858,8,18.525
1858,9,19.688
1858,10,17.212
1858,11,15.29
1858,12,11.917
1859,1,12.305
1859,2,12.382
1859,3,11.671
1859,4,12.327
1859,5,15.066
1859,6,18.236
1859,7,18.229
1859,8,18.148
1859,9,18.09
1859,10,18.083
1859,11,15.945
1859,12,12.91
1860,1,11.644
1860,2,11.866
1860,3,13.805
1860,4,14.559
1860,5,14.927
1860,6,16.203
1860,7,18.337
1860,8,19.589
1860,9,19.373
1860,10,17.334
1860,11,14.731
1860,12,13.869
1861,1,11.667
1861,2,13.248
1861,3,13.583
1861,4,16.296
1861,5,16.847
1861,6,17.88
1861,7,20.077
1861,8,19.724
1861,9,19.281
1861,10,17.622
1861,11,15.835
1861,12,15.546
1862,1,13.367
1862,2,10.886
1862,3,12.92
1862,4,13.69
1862,5,15.538
1862,6,17.971
1862,7,19.526
1862,8,20.296
1862,9,19.928
1862,10,18.749
1862,11,16.023
1862,12,13.516
1863,1,12.31
1863,2,11.51
1863,3,14.547
1863,4,14.882
1863,5,15.944
1863,6,16.547
1863,7,18.02
1863,8,18.373
1863,9,19.448
1863,10,18.177
1863,11,14.965
1863,12,13.444
1864,1,13.654
1864,2,13.352
1864,3,13.775
1864,4,15.557
1864,5,17.087
1864,6,18.085
1864,7,18.54
1864,8,21.061
1864,9,19.541
1864,10,17.77
1864,11,15.331
1864,12,14.135
1865,1,13.414
1865,2,11.847
1865,3,12.875
1865,4,13.824
1865,5,17.5
1865,6,17.346
1865,7,17.732
1865,8,19.761
1865,9,19.247
1865,10,17.726
1865,11,16.49
1865,12,11.579
1866,1,12.529
1866,2,13.463
1866,3,13.365
1866,4,15.396
1866,5,14.75
1866,6,17.2
1866,7,18.447
1866,8,20.064
1866,9,19.545
1866,10,17.694
1866,11,16.154
1866,12,15.44
1867,1,13.288
1867,2,11.519
1867,3,12.003
1867,4,15.356
1867,5,16.495
1867,6,18.448
1867,7,19.279
1867,8,21.12
1867,9,20.75
1867,10,17.791
1867,11,17.379
1867,12,17.352
1868,1,12.319
1868,2,13.063
1868,3,13.39
1868,4,15.034
1868,5,15.315
1868,6,16.37
1868,7,18.224
1868,8,20.105
1868,9,19.948
1868,10,18.457
1868,11,16.668
1868,12,13.78
1869,1,13.445
1869,2,12.618
1869,3,14.24
1869,4,14.948
1869,5,15.701
1869,6,17.34
1869,7,18.728
1869,8,19.21
1869,9,19.489
1869,10,18.482
1869,11,16.427
1869,12,11.458
1870,1,13.339
1870,2,13.49
1870,3,12.531
1870,4,13.953
1870,5,15.363
1870,6,16.443
1870,7,18.342
1870,8,19.383
1870,9,18.244
1870,10,16.974
1870,11,15.383
1870,12,11.631
1871,1,12.457
1871,2,11.616
1871,3,13.166
1871,4,13.361
1871,5,16.17
1871,6,17.37
1871,7,19.576
1871,8,20.715
1871,9,19.681
1871,10,18.345
1871,11,15.014
1871,12,15.321
1872,1,13.146
1872,2,13.984
1872,3,13.737
1872,4,12.914
1872,5,15.494
1872,6,17.017
1872,7,17.686
1872,8,18.999
1872,9,18.809
1872,10,17.386
1872,11,15.538
1872,12,14.684
1873,1,14.705
1873,2,12.103
1873,3,14.208
1873,4,13.993
1873,5,14.795
1873,6,16.085
1873,7,18.121
1873,8,19.158
1873,9,19.244
1873,10,17.013
1873,11,16.618
1873,12,13.413
1874,1,13.549
1874,2,11.947
1874,3,11.826
1874,4,13.039
1874,5,15.398
1874,6,16.602
1874,7,18.451
1874,8,19.077
1874,9,19.073
1874,10,17.664
1874,11,15.321
1874,12,13.452
1875,1,12.926
1875,2,13.248
1875,3,12.574
1875,4,14.42
1875,5,16.73
1875,6,17.195
1875,7,18.811
1875,8,20.303
1875,9,19.663
1875,10,19.88
1875,11,16.619
1875,12,15.178
1876,1,12.152
1876,2,13.53
1876,3,12.636
1876,4,14.807
1876,5,15.4
1876,6,17.692
1876,7,18.575
1876,8,18.966
1876,9,18.809
1876,10,18.131
1876,11,16.285
1876,12,14.955
1877,1,14.704
1877,2,15.013
1877,3,15.828
1877,4,13.721
1877,5,14.617
1877,6,17.531
1877,7,19.38
1877,8,19.332
1877,9,19.666
1877,10,17.261
1877,11,16.801
1877,12,14.538
1878,1,13.753
1878,2,13.474
1878,3,13.847
1878,4,13.99
1878,5,15.619
1878,6,16.762
1878,7,18.183
1878,8,19.183
1878,9,19.267
1878,10,17.611
1878,11,15.784
1878,12,13.625
1879,1,12.529
1879,2,14.132
1879,3,15.398
1879,4,14.927
1879,5,15.324
1879,6,17.263
1879,7,17.805
1879,8,19.644
1879,9,19.963
1879,10,17.918
1879,11,14.728
1879,12,13.185
1880,1,12.759
1880,2,10.813
1880,3,11.265
1880,4,13.205
1880,5,15.839
1880,6,16.318
1880,7,16.551
1880,8,18.328
1880,9,18.063
1880,10,16.965
1880,11,14.148
1880,12,14.367
1881,1,12.45
1881,2,14.442
1881,3,13.346
1881,4,15.884
1881,5,16.142
1881,6,16.932
1881,7,18.722
1881,8,19.151
1881,9,19.113
1881,10,16.112
1881,11,14.361
1881,12,13.908
1882,1,10.971
1882,2,10.979
1882,3,12.893
1882,4,13.177
1882,5,15.75
1882,6,16.572
1882,7,18.757
1882,8,20.294
1882,9,19.003
1882,10,16.745
1882,11,14.718
1882,12,14.427
1883,1,12.221
1883,2,11.875
1883,3,14.439
1883,4,13.376
1883,5,15.292
1883,6,18.741
1883,7,19.459
1883,8,19.869
1883,9,21.135
1883,10,16.362
1883,11,15.663
1883,12,14.475
1884,1,13.042
1884,2,13.209
1884,3,13.039
1884,4,13.666
1884,5,15.531
1884,6,16.816
1884,7,19.311
1884,8,20.155
1884,9,18.139
1884,10,16.859
1884,11,16.172
1884,12,12.89
1885,1,12.943
1885,2,13.725
1885,3,15.634
1885,4,15.954
1885,5,16.662
1885,6,16.519
1885,7,19.003
1885,8,21.168
1885,9,19.999
1885,10,18.338
1885,11,16.139
1885,12,15.292
1886,1,13.641
1886,2,15.485
1886,3,12.654
1886,4,13.715
1886,5,16.187
1886,6,17.232
1886,7,18.829
1886,8,20.592
1886,9,18.8
1886,10,15.586
1886,11,14.64
1886,12,15.06
1887,1,13.576
1887,2,11.531
1887,3,15.011
1887,4,14.566
1887,5,15.949
1887,6,17.104
1887,7,18.351
1887,8,18.351
1887,9,19.01
1887,10,18.526
1887,11,16.307
1887,12,13.304
1888,1,11.362
1888,2,13.306
1888,3,12.771
1888,4,15.995
1888,5,15.271
1888,6,17.405
1888,7,18.955
1888,8,19.734
1888,9,21.131
1888,10,18.462
1888,11,15.971
1888,12,15.201
1889,1,12.248
1889,2,13.979
1889,3,14.886
1889,4,15.918
1889,5,15.778
1889,6,17.236
1889,7,19.309
1889,8,20.723
1889,9,21.017
1889,10,18.232
1889,11,16.301
1889,12,14.012
1890,1,10.512
1890,2,12.433
1890,3,13.624
1890,4,14.442
1890,5,15.74
1890,6,17.219
1890,7,20.059
1890,8,20.251
1890,9,20.513
1890,10,18.544
1890,11,18.121
1890,12,16.109
1891,1,13.341
1891,2,11.967
1891,3,13.874
1891,4,14.385
1891,5,15.024
1891,6,16.548
1891,7,20.101
1891,8,21.417
1891,9,20.641
1891,10,18.221
1891,11,16.326
1891,12,12.05
1892,1,13.807
1892,2,13.038
1892,3,13.44
1892,4,13.89
1892,5,15.643
1892,6,15.931
1892,7,17.879
1892,8,19.852
1892,9,19.25
1892,10,17.351
1892,11,16.767
1892,12,13.11
1893,1,14.675
1893,2,12.874
1893,3,11.99
1893,4,13.454
1893,5,15.174
1893,6,17.038
1893,7,18.315
1893,8,19.925
1893,9,17.614
1893,10,16.627
1893,11,14.643
1893,12,14.912
1894,1,10.901
1894,2,10.74
1894,3,12.33
1894,4,14.206
1894,5,14.484
1894,6,15.072
1894,7,18.296
1894,8,19.419
1894,9,19.488
1894,10,18.259
1894,11,16.849
1894,12,13.526
1895,1,12.276
1895,2,13.871
1895,3,13.169
1895,4,14.048
1895,5,16.374
1895,6,16.897
1895,7,17.773
1895,8,18.848
1895,9,19.376
1895,10,18.335
1895,11,15.836
1895,12,13.694
1896,1,14.558
1896,2,14.698
1896,3,14.315
1896,4,12.422
1896,5,15.722
1896,6,18.506
1896,7,19.246
1896,8,19.875
1896,9,18.986
1896,10,18.459
1896,11,15.788
1896,12,15.4
1897,1,13.479
1897,2,12.031
1897,3,11.425
1897,4,15.51
1897,5,16.15
1897,6,17.039
1897,7,18.891
1897,8,20.585
1897,9,19.974
1897,10,16.216
1897,11,15.913
1897,12,12.842
1898,1,10.937
1898,2,14.136
1898,3,12.173
1898,4,16.11
1898,5,14.361
1898,6,17.318
1898,7,19.053
1898,8,21.15
1898,9,20.395
1898,10,17.878
1898,11,15.498
1898,12,13.575
1899,1,13.515
1899,2,12.324
1899,3,13.103
1899,4,14.795
1899,5,13.681
1899,6,16.245
1899,7,18.529
1899,8,18.132
1899,9,20.402
1899,10,16.823
1899,11,16.443
1899,12,15.096
1900,1,14.836
1900,2,14.448
1900,3,15.173
1900,4,12.458
1900,5,16.102
