Year,Month,Actual Temperature
1743,4,6.431
1743,5,14.603
1743,6,
1743,7,22.684
1743,8,
1743,9,17.043
1743,10,
1743,11,3.05
1743,12,
1744,1,
1744,2,
1744,3,
1744,4,9.094
1744,5,15.536
1744,6,21.166
1744,7,22.096
1744,8,
1744,9,14.878
1744,10,8.832
1744,11,3.131
1744,12,-2.973
1745,1,-2.621
1745,2,-3.096
1745,3,0.958
1745,4,8.146
1745,5,14.471
1745,6,20.024
1745,7,22.21
1745,8,
1745,9,17.577
1745,10,
1745,11,
1745,12,0.031
1746,1,-3.091
1746,2,-0.944
1746,3,-1.153
1746,4,8.781
1746,5,
1746,6,18.115
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,8.425
1747,5,
1747,6,20.338
1747,7,22.721
1747,8,
1747,9,16.542
1747,10,10.308
1747,11,3.775
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,9.006
1748,5,15.552
1748,6,
1748,7,
1748,8,
1748,9,16.168
1748,10,11.04
1748,11,4.049
1748,12,0.915
1749,1,-5.841
1749,2,-3.632
1749,3,2.231
1749,4,8.69
1749,5,
1749,6,20.977
1749,7,
1749,8,
1749,9,17.01
1749,10,9.308
1749,11,3.551
1749,12,-3.803
1750,1,-4.602
1750,2,-3.229
1750,3,2.581
1750,4,8.601
1750,5,14.525
1750,6,18.237
1750,7,23.06
1750,8,21.704
1750,9,17.328
1750,10,9.119
1750,11,1.646
1750,12,-1.739
1751,1,-3.965
1751,2,-2.318
1751,3,2.895
1751,4,7.483
1751,5,
1751,6,19.522
1751,7,
1751,8,21.079
1751,9,15.814
1751,10,
1751,11,3.372
1751,12,
1752,1,-7.749
1752,2,
1752,3,2.897
1752,4,6.843
1752,5,
1752,6,
1752,7,
1752,8,
1752,9,
1752,10,9.235
1752,11,5.227
1752,12,-2.171
1753,1,-3.024
1753,2,-1.411
1753,3,3.978
1753,4,7.67
1753,5,14.669
1753,6,19.636
1753,7,
1753,8,20.689
1753,9,15.145
1753,10,10.158
1753,11,2.959
1753,12,-3.206
1754,1,-2.022
1754,2,-2.346
1754,3,2.405
1754,4,
1754,5,
1754,6,19.096
1754,7,
1754,8,20.828
1754,9,15.973
1754,10,11.14
1754,11,
1754,12,-1.083
1755,1,-2.849
1755,2,-1.828
1755,3,0.644
1755,4,8.228
1755,5,14.49
1755,6,18.839
1755,7,
1755,8,
1755,9,15.72
1755,10,
1755,11,2.968
1755,12,-2.616
1756,1,-2.097
1756,2,0.058
1756,3,
1756,4,
1756,5,
1756,6,19.454
1756,7,
1756,8,20.739
1756,9,16.863
1756,10,9.584
1756,11,2.5
1756,12,-3.249
1757,1,-4.643
1757,2,-1.587
1757,3,1.824
1757,4,7.398
1757,5,14.544
1757,6,21.256
1757,7,23.235
1757,8,
1757,9,
1757,10,8.924
1757,11,2.668
1757,12,-1.589
1758,1,-4.957
1758,2,-4.113
1758,3,0.83
1758,4,7.241
1758,5,13.221
1758,6,18.183
1758,7,19.948
1758,8,18.145
1758,9,14.8
1758,10,
1758,11,3.244
1758,12,-3.219
1759,1,-3.822
1759,2,-0.279
1759,3,2.346
1759,4,7.568
1759,5,14.017
1759,6,18.28
1759,7,19.039
1759,8,18.65
1759,9,15.632
1759,10,10.186
1759,11,3.837
1759,12,-4.99
1760,1,-4.478
1760,2,-1.313
1760,3,1.039
1760,4,8.071
1760,5,13.539
1760,6,17.897
1760,7,
1760,8,20.663
1760,9,15.41
1760,10,8.782
