Year,Month,Actual Temperature
1743,3,5.25
1743,4,6.29
1743,5,12.052
1743,6,
1743,7,16.982
1743,8,
1743,9,14.431
1743,10,7.181
1743,11,6.685
1743,12,2.604
1744,1,0.557
1744,2,0.886
1744,3,4.709
1744,4,8.486
1744,5,12.289
1744,6,16.376
1744,7,17.845
1744,8,16.496
1744,9,14.625
1744,10,10.166
1744,11,6.406
1744,12,2.625
1745,1,1.004
1745,2,1.656
1745,3,4.369
1745,4,9.469
1745,5,12.953
1745,6,16.156
1745,7,17.934
1745,8,
1745,9,14.991
1745,10,
1745,11,
1745,12,1.635
1746,1,1.91
1746,2,1.889
1746,3,2.606
1746,4,7.826
1746,5,
1746,6,15.578
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,8.605
1747,5,
1747,6,17.577
1747,7,17.728
1747,8,
1747,9,15.705
1747,10,10.076
1747,11,6.537
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,7.619
1748,5,13.721
1748,6,
1748,7,
1748,8,
1748,9,14.63
1748,10,10.181
1748,11,6.725
1748,12,5.089
1749,1,3.982
1749,2,3.451
1749,3,4.965
1749,4,8.411
1749,5,
1749,6,14.38
1749,7,
1749,8,
1749,9,14.678
1749,10,9.313
1749,11,5.29
1749,12,2.579
1750,1,1.236
1750,2,4.914
1750,3,8.631
1750,4,9.406
1750,5,12.563
1750,6,16.214
1750,7,19.006
1750,8,17.903
1750,9,15.372
1750,10,9.225
1750,11,3.508
1750,12,1.949
1751,1,1.989
1751,2,1.031
1751,3,7.321
1751,4,8.022
1751,5,12.003
1751,6,15.919
1751,7,18.326
1751,8,18.097
1751,9,14.173
1751,10,9.368
1751,11,3.729
1751,12,2.265
1752,1,2.369
1752,2,4.413
1752,3,6.561
1752,4,8.2
1752,5,12.214
1752,6,17.701
1752,7,18.183
1752,8,17.194
1752,9,
1752,10,10.163
1752,11,6.517
1752,12,3.425
1753,1,-0.258
1753,2,3.549
1753,3,7.726
