Year,Month,Actual Temperature
1743,3,10.231
1743,4,10.793
1743,5,15.267
1743,6,
1743,7,21.848
1743,8,
1743,9,20.596
1743,10,13.89
1743,11,12.489
1743,12,9.37
1744,1,7.684
1744,2,7.492
1744,3,9.814
1744,4,12.972
1744,5,15.981
1744,6,20.884
1744,7,23.067
1744,8,22.112
1744,9,21.119
1744,10,16.458
1744,11,13.415
1744,12,9.438
1745,1,7.702
1745,2,8.495
1745,3,9.223
1745,4,14.309
1745,5,16.417
1745,6,20.653
1745,7,23.161
1745,8,
1745,9,21.31
1745,10,
1745,11,
1745,12,9.953
1746,1,9.939
1746,2,8.732
1746,3,7.583
1746,4,12.191
1746,5,
1746,6,19.743
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,12.485
1747,5,
1747,6,21.585
1747,7,22.591
1747,8,
1747,9,22.065
1747,10,17.372
1747,11,12.968
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,12.539
1748,5,17.995
1748,6,
1748,7,
1748,8,
1748,9,20.643
1748,10,17.009
1748,11,12.956
1748,12,11.043
1749,1,10.047
1749,2,9.558
1749,3,10.847
1749,4,12.538
1749,5,
1749,6,19.116
1749,7,
1749,8,
1749,9,20.791
1749,10,15.965
1749,11,12.572
1749,12,8.126
1750,1,8.16
1750,2,9.567
1750,3,13.051
1750,4,13.612
1750,5,15.668
1750,6,20.197
1750,7,23.22
1750,8,23.718
1750,9,21.198
1750,10,16.605
1750,11,10.653
1750,12,8.52
1751,1,8.483
1751,2,7.848
1751,3,12.358
1751,4,12.037
1751,5,15.848
1751,6,19.706
1751,7,23.636
1751,8,23.958
1751,9,20.761
1751,10,15.884
1751,11,10.474
1751,12,8.585
1752,1,8.358
1752,2,12.049
1752,3,11.816
1752,4,12.142
1752,5,16.327
1752,6,21.721
1752,7,23.035
1752,8,22.079
1752,9,
1752,10,16.764
1752,11,13.349
1752,12,9.721
1753,1,7.522
1753,2,9.219
1753,3,12.52
1753,4,13.048
1753,5,17.064
1753,6,22.359
1753,7,23.667
1753,8,22.383
1753,9,21.127
1753,10,17.268
1753,11,12.005
1753,12,10.114
1754,1,8.438
1754,2,7.164
1754,3,8.766
1754,4,14.207
1754,5,17.549
1754,6,21.052
1754,7,22.521
1754,8,23.584
1754,9,20.879
1754,10,18.622
1754,11,14.653
1754,12,10.662
1755,1,5.943
1755,2,7.372
1755,3,10.983
1755,4,16.58
1755,5,16.889
1755,6,22.481
1755,7,22.302
1755,8,21.799
1755,9,20.417
1755,10,17.539
1755,11,12.485
1755,12,10.034
1756,1,10.244
1756,2,11.977
1756,3,11.544
1756,4,13.041
