Year,Month,Actual Temperature
1743,3,-4.461
1743,4,3.319
1743,5,10.507
1743,6,
1743,7,16.82
1743,8,
1743,9,10.469
1743,10,0.225
1743,11,-2.748
1743,12,-7.875
1744,1,-11.092
1744,2,-10.594
1744,3,-4.798
1744,4,5.917
1744,5,10.296
1744,6,16.011
1744,7,18.052
1744,8,14.47
1744,9,11.161
1744,10,2.113
1744,11,-1.51
1744,12,-7.91
1745,1,-11.85
1745,2,-10.467
1745,3,-6.022
1745,4,3.574
1745,5,11.443
1745,6,17.265
1745,7,17.436
1745,8,
1745,9,10.63
1745,10,
1745,11,
1745,12,-7.038
1746,1,-7.787
1746,2,-9.276
1746,3,-8.004
1746,4,3.214
1746,5,
1746,6,15.654
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,3.346
1747,5,
1747,6,18.324
1747,7,17.103
1747,8,
1747,9,11.717
1747,10,4.867
1747,11,-3.678
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,4.079
1748,5,13.054
1748,6,
1748,7,
1748,8,
1748,9,10.099
1748,10,3.672
1748,11,-3.1
1748,12,-6.728
1749,1,-10.2
1749,2,-11.044
1749,3,-5.467
1749,4,3.628
1749,5,
1749,6,16.283
1749,7,
1749,8,
1749,9,10.883
1749,10,2.777
1749,11,-1.86
1749,12,-9.08
1750,1,-8.181
1750,2,-8.101
1750,3,-2.307
1750,4,5.266
1750,5,10.526
1750,6,16.119
1750,7,18.571
1750,8,17.462
1750,9,10.157
1750,10,1.252
1750,11,-7.637
1750,12,-10.506
1751,1,-10.91
1751,2,-12.674
1751,3,-2.382
1751,4,4.132
1751,5,10.991
1751,6,15.01
1751,7,18.887
1751,8,16.615
1751,9,10.194
1751,10,1.723
1751,11,-4.717
1751,12,-7.748
1752,1,-12.425
1752,2,-6.904
1752,3,-2.101
1752,4,4.28
1752,5,11.879
1752,6,15.992
1752,7,19.806
1752,8,16.54
1752,9,
1752,10,3.487
1752,11,-1.117
1752,12,-6.642
1753,1,-9.938
1753,2,-10.061
1753,3,-1.749
1753,4,4.521
1753,5,12.048
1753,6,15.576
1753,7,17.353
1753,8,15.626
1753,9,10.621
1753,10,4.635
1753,11,-2.195
1753,12,-12.681
1754,1,-10.261
1754,2,-11.63
1754,3,-4.285
1754,4,7.636
1754,5,12.445
1754,6,17.022
1754,7,17.68
1754,8,14.525
1754,9,9.503
1754,10,4.39
1754,11,-2.437
1754,12,-6.444
1755,1,-10.739
1755,2,-11.955
1755,3,-4.828
1755,4,4.544
1755,5,12.924
1755,6,17.832
1755,7,19.086
1755,8,14.59
1755,9,10.086
1755,10,5.844
1755,11,-1.743
1755,12,-8.923
1756,1,-7.693
1756,2,-4.545
1756,3,-3.545
1756,4,5.273
1756,5,11.373
1756,6,17.384
1756,7,18.036
1756,8,14.296
1756,9,10.252
1756,10,3.628
1756,11,-3.824
1756,12,-10.203
1757,1,-12.271
1757,2,-6.357
1757,3,-3.413
1757,4,6.228
1757,5,12.324
1757,6,19.376
1757,7,21.618
1757,8,18.012
1757,9,12.212
1757,10,-0.645
1757,11,-2.524
1757,12,-10.791
1758,1,-15.354
1758,2,-11.334
1758,3,-4.962
1758,4,3.171
1758,5,9.621
1758,6,15.37
1758,7,17.243
1758,8,13.832
1758,9,8.457
1758,10,0.807
1758,11,-2.999
1758,12,-8.849
1759,1,-7.173
1759,2,-6.934
1759,3,-3.66
1759,4,2.733
1759,5,9.083
1759,6,16.829
1759,7,16.496
1759,8,17.313
1759,9,10.145
1759,10,1.974
1759,11,-4.826
1759,12,-13.356
1760,1,-16.286
1760,2,-8.631
1760,3,-7.032
1760,4,1.595
1760,5,10.708
1760,6,15.132
1760,7,15.958
1760,8,14.948
1760,9,10.09
1760,10,1.324
1760,11,-2.587
1760,12,-9.822
1761,1,-11.544
1761,2,-9.793
1761,3,-1.905
1761,4,3.514
1761,5,12.671
1761,6,18.979
1761,7,21.099
1761,8,17.463
1761,9,11.778
1761,10,0.773
1761,11,-2.918
1761,12,-13.742
1762,1,-5.989
1762,2,-6.194
1762,3,-4.584
1762,4,4.834
1762,5,10.549
1762,6,16.629
1762,7,16.667
1762,8,15.476
1762,9,8.324
1762,10,0.347
1762,11,-0.841
1762,12,-9.24
1763,1,-12.302
1763,2,-11.468
1763,3,-8.297
1763,4,3.125
1763,5,11.153
1763,6,14.428
1763,7,20.046
1763,8,15.684
1763,9,9.344
1763,10,0.842
1763,11,-3.841
1763,12,-7.585
1764,1,-10.902
1764,2,-5.445
1764,3,-3.238
1764,4,3.765
1764,5,10.571
1764,6,13.676
1764,7,17.647
1764,8,15.266
1764,9,10.271
1764,10,4.771
1764,11,-2.693
1764,12,-5.547
1765,1,-7.61
1765,2,-8.82
1765,3,-1.536
1765,4,5.642
1765,5,10.658
1765,6,13.919
1765,7,17.643
1765,8,16.31
1765,9,9.852
1765,10,3.378
1765,11,-1.479
1765,12,-7.34
1766,1,-13.479
1766,2,-8.398
1766,3,-2.351
1766,4,4.81
1766,5,12.361
1766,6,15.549
1766,7,16.587
1766,8,15.564
1766,9,11.33
1766,10,3.617
1766,11,-0.258
1766,12,-8.212
1767,1,-14.692
1767,2,-9.144
1767,3,-1.695
1767,4,1.303
1767,5,10.504
1767,6,16.893
1767,7,16.201
1767,8,17.603
1767,9,11.934
1767,10,4.458
1767,11,1.784
1767,12,-8.656
1768,1,-15.709
1768,2,-13.344
1768,3,-8.217
1768,4,3.512
1768,5,8.474
1768,6,15.386
1768,7,17.986
1768,8,15.127
1768,9,10.009
1768,10,2.668
1768,11,-1.929
1768,12,-4.697
1769,1,-7.119
1769,2,-8.696
1769,3,-3.224
1769,4,4.479
1769,5,12.871
1769,6,17.732
1769,7,17.359
1769,8,16.112
1769,9,10.426
1769,10,-0.202
1769,11,-5.439
1769,12,-11.272
1770,1,-9.525
1770,2,-8.738
1770,3,-8.978
1770,4,6.881
1770,5,10.636
1770,6,14.058
1770,7,14.268
1770,8,14.386
1770,9,10.955
1770,10,6.0
1770,11,-1.183
1770,12,-3.74
1771,1,-7.92
1771,2,-15.009
1771,3,-9.19
1771,4,1.185
1771,5,9.405
1771,6,17.429
1771,7,17.27
1771,8,15.695
1771,9,10.943
1771,10,5.286
1771,11,-3.971
1771,12,-7.011
1772,1,-11.498
1772,2,-13.441
1772,3,-7.217
1772,4,4.437
1772,5,9.123
1772,6,14.362
1772,7,17.837
1772,8,16.628
1772,9,10.268
1772,10,5.54
1772,11,1.84
1772,12,-3.763
1773,1,-13.903
1773,2,-9.671
1773,3,-4.026
1773,4,6.997
1773,5,14.757
1773,6,16.058
1773,7,18.722
1773,8,16.83
1773,9,12.121
1773,10,5.355
1773,11,-3.431
1773,12,-4.124
1774,1,-13.534
1774,2,-7.021
1774,3,-3.407
1774,4,5.985
1774,5,17.592
1774,6,19.757
1774,7,20.933
1774,8,16.399
1774,9,9.982
1774,10,3.25
1774,11,-7.832
1774,12,-9.28
1775,1,-9.197
1775,2,-6.494
1775,3,-1.095
1775,4,3.049
1775,5,10.849
1775,6,15.174
1775,7,19.102
1775,8,18.403
1775,9,12.382
1775,10,7.163
1775,11,-1.525
1775,12,-7.545
1776,1,-15.295
1776,2,-5.647
1776,3,-3.984
1776,4,2.569
1776,5,11.542
1776,6,17.436
1776,7,18.548
1776,8,17.116
1776,9,9.657
1776,10,3.01
1776,11,-3.43
1776,12,-5.012
1777,1,-7.453
1777,2,-9.422
1777,3,-5.112
1777,4,1.022
1777,5,12.948
1777,6,15.773
1777,7,16.269
1777,8,14.38
1777,9,9.022
1777,10,1.842
1777,11,-1.366
1777,12,-5.076
1778,1,-9.377
1778,2,-6.844
1778,3,-4.153
1778,4,6.875
1778,5,11.647
1778,6,15.145
1778,7,18.185
1778,8,14.776
1778,9,11.936
1778,10,2.005
1778,11,-4.899
1778,12,-6.996
1779,1,-10.825
1779,2,-6.24
1779,3,-1.415
1779,4,5.242
1779,5,14.216
1779,6,15.095
1779,7,16.171
1779,8,16.446
1779,9,11.518
1779,10,4.643
1779,11,-1.332
1779,12,-6.032
1780,1,-12.851
1780,2,-10.805
1780,3,-1.162
1780,4,6.39
1780,5,12.791
1780,6,15.437
1780,7,19.376
1780,8,14.494
1780,9,8.196
1780,10,4.988
1780,11,-1.287
1780,12,-9.74
1781,1,-11.359
1781,2,-10.514
1781,3,-4.196
1781,4,2.973
1781,5,10.997
1781,6,14.839
1781,7,17.684
1781,8,18.581
1781,9,12.213
1781,10,3.73
1781,11,1.739
1781,12,-10.225
1782,1,-8.981
1782,2,-14.438
1782,3,-4.029
1782,4,3.616
1782,5,11.975
1782,6,15.548
1782,7,17.441
1782,8,16.589
1782,9,11.262
1782,10,5.097
1782,11,-2.291
1782,12,-10.701
1783,1,-14.925
1783,2,-6.276
1783,3,-4.529
1783,4,4.468
1783,5,14.293
1783,6,19.139
1783,7,16.855
1783,8,17.856
1783,9,10.234
1783,10,4.224
1783,11,-6.081
1783,12,-8.911
1784,1,-10.096
1784,2,-10.291
1784,3,-5.15
1784,4,5.669
1784,5,8.837
1784,6,15.249
1784,7,18.379
1784,8,18.827
1784,9,9.264
1784,10,2.882
1784,11,-1.484
1784,12,-6.209
1785,1,-9.923
1785,2,-10.389
1785,3,-9.262
1785,4,2.241
1785,5,9.783
1785,6,15.637
1785,7,17.473
1785,8,16.868
1785,9,9.453
1785,10,1.899
1785,11,-0.634
1785,12,-10.647
1786,1,-11.041
1786,2,-11.029
1786,3,-4.919
1786,4,6.061
1786,5,10.747
1786,6,15.502
1786,7,18.803
1786,8,17.92
1786,9,12.211
1786,10,2.458
1786,11,-6.724
1786,12,-9.961
1787,1,-9.132
1787,2,-9.06
1787,3,-3.269
1787,4,3.663
1787,5,13.193
1787,6,17.879
1787,7,17.246
1787,8,15.92
1787,9,8.818
1787,10,4.686
1787,11,-2.491
1787,12,-8.401
1788,1,-11.589
1788,2,-8.185
1788,3,-5.24
1788,4,3.661
1788,5,10.565
1788,6,17.236
1788,7,20.999
1788,8,16.496
1788,9,11.591
1788,10,3.366
1788,11,-2.756
1788,12,-15.938
1789,1,-10.381
1789,2,-9.322
1789,3,-7.406
1789,4,3.348
1789,5,14.046
1789,6,16.263
1789,7,20.687
1789,8,17.382
1789,9,12.013
1789,10,4.506
1789,11,-0.636
1789,12,-4.106
1790,1,-8.598
1790,2,-7.642
1790,3,-3.291
1790,4,1.438
1790,5,10.514
1790,6,16.094
1790,7,16.111
1790,8,14.771
1790,9,9.935
1790,10,3.049
1790,11,-2.81
1790,12,-3.913
1791,1,-6.577
1791,2,-5.038
1791,3,-3.608
1791,4,6.004
1791,5,9.399
1791,6,17.004
1791,7,16.998
1791,8,15.977
1791,9,9.873
1791,10,3.324
1791,11,-1.831
1791,12,-4.069
1792,1,-13.474
1792,2,-9.341
1792,3,-5.077
1792,4,3.443
1792,5,11.763
1792,6,17.069
1792,7,19.568
1792,8,15.387
1792,9,13.27
1792,10,2.114
1792,11,-3.084
1792,12,-5.563
1793,1,-11.735
1793,2,-4.944
1793,3,-3.325
1793,4,4.748
1793,5,11.729
1793,6,16.52
1793,7,19.106
1793,8,15.969
1793,9,9.747
1793,10,4.358
1793,11,-0.772
1793,12,-9.084
1794,1,-5.697
1794,2,-7.006
1794,3,-1.32
1794,4,5.579
1794,5,14.315
1794,6,16.476
1794,7,17.218
1794,8,15.484
1794,9,10.193
1794,10,5.306
1794,11,-1.185
1794,12,-8.407
1795,1,-11.249
1795,2,-7.566
1795,3,-2.775
1795,4,6.495
1795,5,11.729
1795,6,16.511
1795,7,17.988
1795,8,15.36
1795,9,9.856
1795,10,3.329
1795,11,-1.597
1795,12,-6.853
1796,1,-6.214
1796,2,-7.947
1796,3,-6.37
1796,4,2.953
1796,5,11.798
1796,6,17.931
1796,7,18.349
1796,8,17.211
1796,9,10.23
1796,10,4.357
1796,11,-2.8
1796,12,-9.868
1797,1,-7.127
1797,2,-3.331
1797,3,-3.636
1797,4,3.137
1797,5,11.721
1797,6,18.323
1797,7,17.418
1797,8,16.19
1797,9,12.678
1797,10,5.202
1797,11,-2.862
1797,12,-4.969
1798,1,-8.287
1798,2,-7.582
1798,3,-1.43
1798,4,4.92
1798,5,12.635
1798,6,15.991
1798,7,18.936
1798,8,18.24
1798,9,10.791
1798,10,3.555
1798,11,-2.763
1798,12,-10.455
1799,1,-11.17
1799,2,-15.38
1799,3,-6.607
1799,4,4.701
1799,5,11.299
1799,6,16.92
1799,7,18.303
1799,8,16.245
1799,9,10.958
1799,10,4.637
1799,11,-0.18
1799,12,-10.861
1800,1,-10.976
1800,2,-10.069
1800,3,-7.086
1800,4,5.961
1800,5,11.053
1800,6,15.964
1800,7,16.054
1800,8,16.081
1800,9,8.95
1800,10,4.768
1800,11,-0.626
1800,12,-4.962
1801,1,-8.235
1801,2,-8.834
1801,3,-0.958
1801,4,4.219
1801,5,14.786
1801,6,15.0
1801,7,18.756
1801,8,14.124
1801,9,10.745
1801,10,5.115
1801,11,-0.457
1801,12,-4.774
1802,1,-8.653
1802,2,-6.383
1802,3,-0.363
1802,4,5.255
1802,5,10.576
1802,6,15.36
1802,7,18.391
1802,8,16.717
1802,9,10.024
1802,10,5.496
1802,11,-3.594
1802,12,-6.999
1803,1,-14.127
1803,2,-11.581
1803,3,-3.575
1803,4,6.072
1803,5,14.133
1803,6,15.959
1803,7,18.248
1803,8,17.744
1803,9,10.699
1803,10,4.238
1803,11,-2.569
1803,12,-10.694
1804,1,-9.213
1804,2,-10.783
1804,3,-6.407
1804,4,6.367
1804,5,12.291
1804,6,15.508
1804,7,19.721
1804,8,16.364
1804,9,11.498
1804,10,4.227
1804,11,-2.916
