Year,Month,Actual Temperature
1750,3,-2.145
1750,4,
1750,5,
1750,6,
1750,7,
1750,8,
1750,9,4.225
1750,10,
1750,11,
1750,12,
1751,1,
1751,2,
1751,3,
1751,4,
1751,5,
1751,6,
1751,7,
1751,8,
1751,9,
1751,10,
1751,11,
1751,12,
1752,1,
1752,2,
1752,3,
1752,4,
1752,5,
1752,6,
1752,7,
1752,8,
1752,9,
1752,10,
1752,11,
1752,12,
1753,1,
1753,2,
1753,3,
1753,4,
1753,5,
1753,6,
1753,7,
1753,8,
1753,9,
1753,10,
1753,11,
1753,12,
1754,1,
1754,2,
1754,3,
1754,4,
1754,5,
1754,6,
1754,7,
1754,8,
1754,9,
1754,10,
1754,11,
1754,12,
1755,1,
1755,2,
1755,3,
1755,4,
1755,5,
1755,6,
1755,7,
1755,8,
1755,9,
1755,10,
1755,11,
1755,12,
1756,1,
1756,2,
1756,3,
1756,4,
1756,5,
1756,6,
1756,7,
1756,8,
1756,9,
1756,10,
1756,11,
1756,12,
1757,1,
1757,2,
1757,3,
1757,4,
1757,5,
1757,6,
1757,7,
1757,8,
1757,9,
1757,10,
1757,11,
1757,12,
1758,1,
1758,2,
1758,3,
1758,4,
1758,5,
1758,6,
1758,7,
1758,8,
1758,9,
1758,10,
1758,11,
1758,12,
1759,1,
1759,2,
1759,3,
1759,4,
1759,5,
1759,6,
1759,7,
1759,8,
1759,9,
1759,10,
1759,11,
1759,12,
1760,1,
1760,2,
1760,3,
1760,4,
1760,5,
1760,6,
1760,7,
1760,8,
1760,9,
1760,10,
1760,11,
1760,12,
1761,1,-5.521
1761,2,-4.535
1761,3,-1.651
1761,4,-0.748
1761,5,4.541
1761,6,9.753
1761,7,11.053
1761,8,8.782
1761,9,4.897
1761,10,-2.593
1761,11,-3.191
1761,12,-8.714
1762,1,-2.254
1762,2,-4.134
1762,3,-4.906
1762,4,0.132
1762,5,2.324
1762,6,6.34
1762,7,7.38
1762,8,6.613
1762,9,3.356
1762,10,-3.308
1762,11,-3.035
1762,12,-4.403
1763,1,-5.903
1763,2,-6.137
1763,3,-5.758
1763,4,-2.352
1763,5,1.919
1763,6,6.533
1763,7,10.136
1763,8,6.879
1763,9,4.415
1763,10,-0.789
1763,11,-3.425
1763,12,-6.327
1764,1,-6.208
1764,2,-2.66
1764,3,-3.088
1764,4,-1.346
1764,5,2.146
1764,6,4.273
1764,7,8.098
1764,8,6.595
1764,9,3.259
1764,10,1.126
1764,11,-3.485
1764,12,-4.654
1765,1,-4.925
1765,2,-5.87
1765,3,-2.57
1765,4,-0.327
1765,5,2.469
1765,6,3.865
1765,7,7.457
1765,8,6.291
1765,9,3.481
1765,10,-0.612
1765,11,-3.084
1765,12,-4.967
1766,1,-5.627
1766,2,-3.662
1766,3,-3.142
1766,4,0.081
1766,5,1.746
1766,6,7.637
1766,7,9.671
1766,8,7.698
1766,9,4.327
1766,10,-0.063
1766,11,-0.801
1766,12,-5.015
1767,1,-8.117
1767,2,-4.387
1767,3,-2.892
1767,4,-2.16
1767,5,2.011
1767,6,6.781
1767,7,7.26
1767,8,8.747
1767,9,4.924
1767,10,0.081
1767,11,-1.049
1767,12,-5.448
1768,1,-7.871
1768,2,-6.844
1768,3,-5.514
1768,4,-2.472
1768,5,2.555
1768,6,6.569
1768,7,8.854
1768,8,7.388
1768,9,3.422
1768,10,-1.59
1768,11,-4.105
1768,12,-4.348
1769,1,-4.944
1769,2,-5.93
1769,3,-3.464
1769,4,0.193
1769,5,4.437
1769,6,7.781
1769,7,8.85
1769,8,7.349
1769,9,4.48
1769,10,-2.188
1769,11,-5.271
1769,12,-7.065
1770,1,-4.943
1770,2,-3.127
1770,3,-8.651
1770,4,-0.931
1770,5,2.962
1770,6,6.195
1770,7,8.023
1770,8,6.719
1770,9,4.802
1770,10,0.135
1770,11,-4.515
1770,12,-5.79
1771,1,-4.613
1771,2,-6.979
1771,3,-6.247
1771,4,-3.234
1771,5,2.892
1771,6,8.287
1771,7,7.821
1771,8,7.628
1771,9,4.017
1771,10,0.619
1771,11,-2.948
1771,12,-3.835
1772,1,-6.148
1772,2,-7.79
1772,3,-6.322
1772,4,-1.147
1772,5,1.612
1772,6,6.123
1772,7,8.763
1772,8,7.797
1772,9,3.119
1772,10,1.226
1772,11,-0.946
1772,12,-2.525
1773,1,-6.373
1773,2,-5.457
1773,3,-3.214
1773,4,0.453
1773,5,4.178
1773,6,6.176
1773,7,8.581
1773,8,8.125
1773,9,4.706
1773,10,0.666
1773,11,-4.186
1773,12,-3.617
1774,1,-9.004
1774,2,-3.982
1774,3,-3.819
1774,4,0.199
1774,5,6.941
1774,6,7.958
1774,7,9.755
1774,8,7.659
1774,9,3.853
1774,10,0.562
1774,11,-5.548
1774,12,-6.674
1775,1,-3.873
1775,2,-2.419
1775,3,-2.166
1775,4,-0.84
1775,5,3.625
1775,6,6.301
1775,7,9.094
1775,8,8.298
1775,9,4.533
1775,10,1.2
1775,11,-2.156
1775,12,-5.367
1776,1,-8.848
1776,2,-4.228
1776,3,-4.123
1776,4,-1.345
1776,5,2.008
1776,6,7.141
1776,7,8.565
