Year,Month,Actual Temperature
1816,3,-5.193
1816,4,-1.541
1816,5,3.62
1816,6,6.083
1816,7,5.87
1816,8,5.728
1816,9,2.552
1816,10,-3.208
1816,11,-8.054
1816,12,-11.877
1817,1,-11.211
1817,2,-8.121
1817,3,-5.471
1817,4,-0.396
1817,5,2.095
1817,6,4.847
1817,7,6.002
1817,8,6.094
1817,9,1.417
1817,10,-2.236
1817,11,-6.978
1817,12,-12.444
1818,1,-11.322
1818,2,-9.528
1818,3,-4.691
1818,4,0.197
1818,5,3.858
1818,6,6.949
1818,7,6.632
1818,8,6.152
1818,9,2.085
1818,10,-2.204
1818,11,-6.913
1818,12,-11.492
1819,1,-12.869
1819,2,-9.6
1819,3,-6.143
1819,4,-2.408
1819,5,2.804
1819,6,6.042
1819,7,6.602
1819,8,5.448
1819,9,3.323
1819,10,-1.123
1819,11,-6.932
1819,12,-12.355
1820,1,-14.25
1820,2,-10.008
1820,3,-5.203
1820,4,-0.298
1820,5,3.923
1820,6,6.633
1820,7,7.171
1820,8,5.59
1820,9,3.643
1820,10,-1.705
1820,11,-7.319
1820,12,-12.167
1821,1,-10.375
1821,2,-7.018
1821,3,-4.514
1821,4,-0.641
1821,5,3.854
1821,6,6.667
1821,7,7.06
1821,8,6.039
1821,9,2.521
1821,10,-1.333
1821,11,-6.546
1821,12,-10.859
1822,1,-9.918
1822,2,-6.491
1822,3,-2.216
1822,4,-0.997
1822,5,3.87
1822,6,6.804
1822,7,7.5
1822,8,6.176
1822,9,3.138
1822,10,-1.525
1822,11,-7.449
1822,12,-12.277
1823,1,-10.807
1823,2,-7.985
1823,3,-4.804
1823,4,-0.242
1823,5,3.441
1823,6,6.959
1823,7,7.378
1823,8,5.66
1823,9,2.718
1823,10,-1.241
1823,11,-7.409
1823,12,
1824,1,
1824,2,
1824,3,
1824,4,
1824,5,
1824,6,
1824,7,
1824,8,
1824,9,
1824,10,
1824,11,
1824,12,
1825,1,
1825,2,
1825,3,
1825,4,
1825,5,
1825,6,
1825,7,
1825,8,
1825,9,
1825,10,
1825,11,
1825,12,
1826,1,
1826,2,
1826,3,
1826,4,
1826,5,
1826,6,
1826,7,
1826,8,
1826,9,
1826,10,
1826,11,
1826,12,
1827,1,
1827,2,
1827,3,
1827,4,
1827,5,
1827,6,
1827,7,
1827,8,
1827,9,
1827,10,
1827,11,
1827,12,
1828,1,
1828,2,
1828,3,
1828,4,
1828,5,
1828,6,
1828,7,
1828,8,
1828,9,
1828,10,
1828,11,
1828,12,
1829,1,
1829,2,
1829,3,
1829,4,
1829,5,
1829,6,
1829,7,
1829,8,
1829,9,
1829,10,
1829,11,
1829,12,
1830,1,
1830,2,
1830,3,
1830,4,
1830,5,
1830,6,
1830,7,
1830,8,
1830,9,
1830,10,
1830,11,
1830,12,
1831,1,
1831,2,
1831,3,
1831,4,
1831,5,
1831,6,
1831,7,
1831,8,
1831,9,
1831,10,
1831,11,
1831,12,
1832,1,
1832,2,
1832,3,
1832,4,
1832,5,
1832,6,
1832,7,
1832,8,
1832,9,
1832,10,
1832,11,
1832,12,
1833,1,-11.159
1833,2,-8.457
1833,3,-4.995
1833,4,-1.506
1833,5,2.71
1833,6,7.295
1833,7,7.523
1833,8,6.302
1833,9,3.997
