Year,Month,Actual Temperature
1850,1,11.824
1850,2,12.607
1850,3,13.091
1850,4,13.736
1850,5,14.584
1850,6,15.511
1850,7,16.005
1850,8,15.902
1850,9,15.056
1850,10,13.955
1850,11,12.974
1850,12,12.34
1851,1,12.421
1851,2,12.415
1851,3,12.905
1851,4,13.71
1851,5,14.88
1851,6,15.609
1851,7,15.974
1851,8,15.762
1851,9,15.088
1851,10,14.409
1851,11,13.176
1851,12,12.681
1852,1,12.352
1852,2,12.326
1852,3,12.712
1852,4,13.814
1852,5,15.065
1852,6,15.756
1852,7,16.148
1852,8,15.72
1852,9,15.178
1852,10,14.39
1852,11,13.015
1852,12,12.909
1853,1,12.235
1853,2,12.489
1853,3,13.07
1853,4,14.074
1853,5,14.953
1853,6,15.699
1853,7,16.222
1853,8,16.017
1853,9,15.085
1853,10,14.082
1853,11,12.904
1853,12,12.502
1854,1,12.032
1854,2,12.247
1854,3,13.203
1854,4,13.915
1854,5,14.918
1854,6,15.372
1854,7,15.972
1854,8,15.848
1854,9,15.206
1854,10,14.644
1854,11,13.303
1854,12,12.624
1855,1,12.553
1855,2,12.7
1855,3,13.172
1855,4,14.235
1855,5,14.968
1855,6,15.505
1855,7,15.77
1855,8,15.788
1855,9,14.982
1855,10,14.214
1855,11,13.135
1855,12,12.265
1856,1,12.588
1856,2,12.404
1856,3,13.02
1856,4,13.899
1856,5,14.848
1856,6,15.707
1856,7,15.854
1856,8,15.512
1856,9,14.737
1856,10,13.841
1856,11,12.941
1856,12,12.369
1857,1,12.045
1857,2,12.248
1857,3,12.797
1857,4,13.49
1857,5,14.432
1857,6,15.284
1857,7,15.651
1857,8,15.579
1857,9,14.97
1857,10,13.986
1857,11,13.012
1857,12,12.571
1858,1,12.342
1858,2,12.302
1858,3,13.116
1858,4,14.025
1858,5,14.779
1858,6,15.577
1858,7,15.827
1858,8,15.71
1858,9,14.966
1858,10,14.234
1858,11,13.328
1858,12,12.298
1859,1,12.202
1859,2,12.497
1859,3,13.189
1859,4,14.314
1859,5,15.203
1859,6,15.725
1859,7,15.836
1859,8,15.679
1859,9,14.924
1859,10,14.271
1859,11,13.316
1859,12,12.694
1860,1,12.219
1860,2,12.476
1860,3,12.73
1860,4,14.028
1860,5,14.97
1860,6,15.636
1860,7,15.882
1860,8,15.819
1860,9,15.154
1860,10,14.16
1860,11,12.973
1860,12,11.925
1861,1,11.547
1861,2,12.131
1861,3,12.841
1861,4,13.868
1861,5,14.738
1861,6,15.465
1861,7,15.824
1861,8,15.829
1861,9,15.039
1861,10,14.036
1861,11,13.29
1861,12,12.436
1862,1,11.63
1862,2,12.023
1862,3,12.882
1862,4,13.738
1862,5,14.894
1862,6,15.52
1862,7,15.814
1862,8,15.539
1862,9,14.906
1862,10,14.052
1862,11,12.951
1862,12,11.922
1863,1,12.435
1863,2,12.667
1863,3,13.089
1863,4,14.043
1863,5,14.963
1863,6,15.495
1863,7,15.786
1863,8,15.656
1863,9,14.952
1863,10,14.063
1863,11,13.141
1863,12,12.512
1864,1,12.08
1864,2,12.403
1864,3,13.004
1864,4,13.901
1864,5,15.059
1864,6,15.75
1864,7,15.953
1864,8,15.69
1864,9,14.966
1864,10,14.182
1864,11,13.13
1864,12,12.356
1865,1,12.652
1865,2,12.503
1865,3,13.012
1865,4,13.922
1865,5,14.923
1865,6,15.576
1865,7,15.949
1865,8,15.832
1865,9,15.235
1865,10,14.323
1865,11,13.355
1865,12,12.329
1866,1,12.604
1866,2,12.452
1866,3,12.977
1866,4,13.795
1866,5,14.845
1866,6,15.599
1866,7,16.265
1866,8,15.818
1866,9,15.155
1866,10,14.279
1866,11,13.474
1866,12,12.9
1867,1,12.428
1867,2,12.478
1867,3,13.139
1867,4,14.167
1867,5,14.81
1867,6,15.648
1867,7,15.968
1867,8,15.765
1867,9,15.321
1867,10,14.545
1867,11,13.769
1867,12,12.651
1868,1,12.082
1868,2,12.164
1868,3,13.121
1868,4,14.185
1868,5,15.108
1868,6,15.738
1868,7,16.231
1868,8,15.998
1868,9,15.213
1868,10,14.53
1868,11,13.195
1868,12,12.667
1869,1,12.375
1869,2,12.861
1869,3,12.919
1869,4,14.02
1869,5,15.032
1869,6,15.676
1869,7,15.937
1869,8,15.87
1869,9,15.391
1869,10,14.317
1869,11,13.327
1869,12,12.4
1870,1,12.287
1870,2,12.349
1870,3,13.102
1870,4,14.042
1870,5,15.006
1870,6,15.771
1870,7,16.079
1870,8,15.776
1870,9,15.28
1870,10,14.211
1870,11,13.198
1870,12,12.246
1871,1,12.054
1871,2,12.22
1871,3,13.182
