Year,Month,Actual Temperature
1828,1,-18.732
1828,2,-14.028
1828,3,-8.648
1828,4,-0.758
1828,5,5.045
1828,6,10.592
1828,7,12.536
1828,8,8.952
1828,9,2.157
1828,10,-4.306
1828,11,-12.434
1828,12,-18.915
1829,1,-17.506
1829,2,-13.421
1829,3,-8.074
1829,4,-3.09
1829,5,5.66
1829,6,10.17
1829,7,12.416
1829,8,10.119
1829,9,
1829,10,-3.347
1829,11,-12.845
1829,12,-18.879
1830,1,
1830,2,
1830,3,
1830,4,
1830,5,
1830,6,
1830,7,
1830,8,
1830,9,
1830,10,
1830,11,
1830,12,
1831,1,
1831,2,
1831,3,
1831,4,
1831,5,
1831,6,
1831,7,
1831,8,
1831,9,
1831,10,
1831,11,
1831,12,
1832,1,-16.781
1832,2,-14.854
1832,3,-9.217
1832,4,-3.571
1832,5,4.161
1832,6,
1832,7,
1832,8,
1832,9,
1832,10,-4.377
1832,11,-11.922
1832,12,-17.692
1833,1,-16.014
1833,2,-13.942
1833,3,-8.539
1833,4,-2.806
1833,5,3.879
1833,6,9.603
1833,7,11.131
1833,8,10.115
1833,9,4.758
1833,10,-3.606
1833,11,-10.332
1833,12,-17.044
1834,1,-18.861
1834,2,-13.965
1834,3,-8.362
1834,4,-2.932
1834,5,3.976
1834,6,9.151
1834,7,10.636
1834,8,8.732
1834,9,3.942
1834,10,-3.587
1834,11,-10.445
1834,12,-16.337
1835,1,-15.675
1835,2,-13.337
1835,3,-9.017
1835,4,-2.968
1835,5,3.357
1835,6,8.387
1835,7,9.837
1835,8,
1835,9,3.401
1835,10,-5.296
1835,11,-12.623
1835,12,-18.934
1836,1,-17.869
1836,2,-13.307
1836,3,-8.045
1836,4,-3.393
1836,5,4.153
1836,6,9.254
1836,7,10.524
1836,8,8.971
1836,9,3.837
1836,10,-3.335
1836,11,-12.549
1836,12,-17.87
1837,1,-15.421
1837,2,-12.598
1837,3,-8.89
1837,4,-3.531
1837,5,4.036
1837,6,8.653
1837,7,10.38
1837,8,9.351
1837,9,3.553
1837,10,-4.879
1837,11,-13.194
1837,12,-17.166
1838,1,-18.566
1838,2,-14.456
1838,3,-10.237
1838,4,-3.495
1838,5,3.758
1838,6,9.357
1838,7,11.358
1838,8,9.684
1838,9,3.7
1838,10,-3.755
1838,11,-11.631
1838,12,-16.005
1839,1,-17.518
1839,2,-11.919
1839,3,-10.339
1839,4,-2.756
1839,5,3.976
1839,6,9.408
1839,7,12.259
1839,8,11.313
1839,9,5.328
1839,10,-3.886
1839,11,-11.33
1839,12,-16.407
1840,1,-14.143
1840,2,-12.411
1840,3,-7.242
1840,4,-2.803
1840,5,4.254
1840,6,9.341
1840,7,11.572
1840,8,9.835
1840,9,3.93
1840,10,-4.936
1840,11,-14.077
1840,12,-19.927
1841,1,-15.365
1841,2,-13.161
1841,3,-10.285
1841,4,-2.259
1841,5,3.234
1841,6,9.736
1841,7,11.924
1841,8,9.494
1841,9,3.459
1841,10,-4.577
1841,11,-12.38
1841,12,-17.917
1842,1,-17.491
1842,2,-15.777
1842,3,-8.879
1842,4,-3.89
1842,5,2.686
1842,6,8.611
1842,7,10.295
1842,8,8.118
1842,9,3.295
1842,10,-4.831
1842,11,-11.894
1842,12,-15.325
1843,1,-19.222
1843,2,-14.363
1843,3,-7.763
1843,4,-3.48
1843,5,3.523
1843,6,9.048
1843,7,10.59
1843,8,8.766
1843,9,3.575
1843,10,-3.359
1843,11,-12.427
1843,12,-16.364
1844,1,-16.758
1844,2,-13.499
1844,3,-11.223
1844,4,-3.828
1844,5,3.235
1844,6,9.98
1844,7,10.815
1844,8,8.716
1844,9,3.521
1844,10,-4.312
1844,11,-13.429
1844,12,-17.554
1845,1,-16.657
1845,2,-15.638
1845,3,-8.918
1845,4,-2.723
1845,5,4.177
1845,6,8.85
1845,7,11.133
1845,8,9.75
1845,9,3.54
1845,10,-4.219
1845,11,-12.842
1845,12,-16.352
1846,1,
1846,2,
1846,3,
1846,4,
1846,5,
1846,6,
1846,7,
1846,8,
1846,9,
1846,10,
1846,11,
1846,12,
1847,1,
1847,2,
1847,3,
1847,4,
1847,5,4.178
1847,6,9.196
1847,7,11.161
1847,8,9.57
1847,9,3.814
1847,10,-4.082
1847,11,-12.017
1847,12,-17.164
1848,1,-18.648
1848,2,-13.966
1848,3,-9.554
1848,4,-3.498
1848,5,4.026
1848,6,9.711
1848,7,12.055
1848,8,9.158
1848,9,3.897
1848,10,-3.95
1848,11,-11.269
1848,12,-17.665
1849,1,-18.144
1849,2,-15.273
1849,3,-9.971
1849,4,
1849,5,
1849,6,9.281
1849,7,11.248
1849,8,9.328
1849,9,3.846
1849,10,-3.728
1849,11,-11.275
1849,12,-17.245
1850,1,-19.935
1850,2,-13.198
1850,3,-10.397
1850,4,-3.965
1850,5,3.308
1850,6,8.763
1850,7,11.497
1850,8,10.041
1850,9,3.891
1850,10,-4.256
1850,11,-11.971
1850,12,-16.03
1851,1,-17.062
1851,2,-13.369
1851,3,-8.842
1851,4,-2.642
1851,5,5.202
1851,6,9.994
1851,7,12.073
1851,8,10.382
1851,9,4.582
1851,10,-2.735
1851,11,-11.37
1851,12,-17.496
1852,1,-15.051
1852,2,-13.706
1852,3,-10.214
1852,4,-2.859
1852,5,4.407
1852,6,9.314
1852,7,12.127
1852,8,9.633
1852,9,4.588
1852,10,-3.204
1852,11,-12.841
1852,12,-17.866
1853,1,-16.457
1853,2,-13.323
1853,3,-9.401
1853,4,-2.719
1853,5,4.551
1853,6,9.098
1853,7,11.283
1853,8,9.704
1853,9,4.077
1853,10,-4.155
1853,11,
1853,12,-16.305
1854,1,-17.919
1854,2,-14.182
1854,3,-9.397
1854,4,-2.528
1854,5,3.796
1854,6,9.284
1854,7,11.588
1854,8,10.061
1854,9,4.328
1854,10,-3.252
1854,11,-10.582
1854,12,-16.035
1855,1,
1855,2,
1855,3,
1855,4,
1855,5,
1855,6,9.269
1855,7,11.254
1855,8,
1855,9,
1855,10,
1855,11,
1855,12,
1856,1,-15.474
1856,2,-12.977
1856,3,-8.446
1856,4,-2.975
1856,5,4.421
1856,6,9.885
1856,7,11.055
1856,8,9.257
1856,9,3.61
1856,10,-4.53
1856,11,-11.661
1856,12,-17.124
1857,1,-17.619
1857,2,-15.034
1857,3,-9.051
1857,4,-3.262
1857,5,3.79
1857,6,9.212
1857,7,11.287
1857,8,9.645
1857,9,4.013
1857,10,-3.975
1857,11,-11.033
1857,12,-15.444
1858,1,-16.764
1858,2,-15.113
1858,3,-8.692
1858,4,-2.56
1858,5,4.243
1858,6,9.648
1858,7,11.374
1858,8,9.22
1858,9,3.789
1858,10,-3.694
1858,11,-10.998
1858,12,-18.041
1859,1,-16.562
1859,2,-14.869
1859,3,-8.993
1859,4,-2.535
1859,5,4.359
1859,6,9.655
1859,7,11.319
1859,8,9.323
1859,9,3.917
1859,10,-4.646
1859,11,-13.071
1859,12,-15.355
1860,1,-16.196
1860,2,-13.565
1860,3,-9.502
1860,4,-2.974
1860,5,4.613
1860,6,9.656
1860,7,12.178
1860,8,9.664
1860,9,4.406
1860,10,-3.786
1860,11,-11.287
1860,12,-17.82
1861,1,-17.913
1861,2,-13.173
1861,3,-8.942
1861,4,-2.669
1861,5,4.448
1861,6,10.309
1861,7,11.753
1861,8,10.225
1861,9,4.72
1861,10,-3.913
1861,11,-12.264
1861,12,-18.944
1862,1,-19.1
1862,2,-14.949
1862,3,-9.376
1862,4,-4.225
1862,5,3.347
1862,6,9.119
1862,7,11.657
1862,8,9.189
1862,9,3.193
1862,10,-4.911
1862,11,-11.133
1862,12,-16.682
1863,1,-16.286
1863,2,-14.507
1863,3,-8.853
1863,4,-2.982
1863,5,3.826
1863,6,9.562
1863,7,11.246
1863,8,9.792
1863,9,4.795
1863,10,-3.919
1863,11,-11.788
1863,12,-17.371
1864,1,-16.873
1864,2,-13.317
1864,3,-8.924
1864,4,-3.069
1864,5,4.384
1864,6,10.419
1864,7,11.269
1864,8,9.379
1864,9,4.166
1864,10,-3.064
1864,11,-11.392
1864,12,-17.29
1865,1,-15.284
1865,2,-13.609
1865,3,-9.939
1865,4,-3.247
1865,5,3.707
1865,6,9.479
1865,7,11.124
1865,8,9.164
1865,9,4.294
1865,10,-3.769
1865,11,-11.179
1865,12,-16.68
1866,1,-16.63
1866,2,-13.948
1866,3,-9.337
1866,4,-2.514
1866,5,4.385
1866,6,9.463
1866,7,11.732
1866,8,9.774
1866,9,3.491
1866,10,-4.421
1866,11,-10.956
1866,12,-15.688
1867,1,-17.398
1867,2,-15.309
1867,3,-8.648
1867,4,-2.311
1867,5,4.184
1867,6,9.844
1867,7,11.796
1867,8,8.859
1867,9,4.385
1867,10,-3.288
1867,11,-10.202
1867,12,-16.877
1868,1,-16.675
1868,2,-13.229
1868,3,-8.767
1868,4,-1.896
1868,5,5.173
1868,6,10.637
1868,7,12.024
1868,8,9.764
1868,9,4.541
1868,10,-2.264
1868,11,-10.949
1868,12,-15.688
1869,1,-15.116
1869,2,-13.921
1869,3,-8.284
1869,4,-1.128
1869,5,5.08
1869,6,9.553
1869,7,12.331
1869,8,10.225
1869,9,5.366
1869,10,-1.816
1869,11,-9.563
1869,12,-14.673
1870,1,-15.389
1870,2,-14.298
1870,3,-8.023
1870,4,-2.449
1870,5,4.276
1870,6,9.189
1870,7,12.053
1870,8,10.31
1870,9,5.078
1870,10,-2.942
1870,11,-11.392
1870,12,-15.749
1871,1,-17.806
1871,2,-14.606
1871,3,-11.38
1871,4,-2.823
1871,5,3.957
1871,6,8.165
1871,7,10.15
1871,8,9.375
1871,9,3.888
1871,10,-3.177
1871,11,-13.034
1871,12,-16.612
1872,1,-15.825
1872,2,-14.228
1872,3,-8.168
1872,4,-2.837
1872,5,4.493
1872,6,8.938
1872,7,11.904
1872,8,10.203
1872,9,4.585
1872,10,-3.998
1872,11,-10.485
1872,12,-15.258
1873,1,-19.408
1873,2,-13.964
1873,3,-11.778
1873,4,-3.117
1873,5,3.575
1873,6,9.773
1873,7,12.338
1873,8,10.606
1873,9,5.434
1873,10,-2.76
1873,11,-11.538
1873,12,-15.235
1874,1,-17.418
1874,2,-11.481
1874,3,-7.567
1874,4,-0.32
1874,5,6.551
1874,6,11.499
1874,7,12.273
1874,8,11.729
1874,9,5.544
1874,10,-3.367
1874,11,-11.806
1874,12,-14.898
1875,1,-15.062
1875,2,-9.147
1875,3,-8.591
1875,4,-3.005
1875,5,4.188
1875,6,10.35
1875,7,12.039
1875,8,9.65
1875,9,5.2
1875,10,-1.838
1875,11,-13.285
1875,12,-19.17
1876,1,-16.871
1876,2,-17.168
1876,3,-10.215
1876,4,-3.073
1876,5,4.08
1876,6,9.435
1876,7,11.211
1876,8,9.511
1876,9,4.442
1876,10,-3.445
1876,11,-13.019
1876,12,-16.202
1877,1,-17.155
1877,2,-16.184
1877,3,-7.488
1877,4,-2.208
1877,5,5.367
1877,6,10.067
1877,7,
1877,8,9.638
1877,9,3.797
1877,10,-3.418
1877,11,-11.552
1877,12,-17.097
1878,1,-17.338
1878,2,-15.194
1878,3,-8.655
1878,4,-2.743
1878,5,4.403
1878,6,10.236
1878,7,11.71
1878,8,9.909
1878,9,5.435
1878,10,-3.609
1878,11,-11.643
1878,12,-15.628
1879,1,-15.419
1879,2,-13.523
1879,3,-8.05
1879,4,-3.04
1879,5,4.692
1879,6,9.432
1879,7,
1879,8,
1879,9,3.503
1879,10,-4.354
1879,11,-12.203
1879,12,-17.084
1880,1,-18.195
1880,2,-14.291
1880,3,-9.041
1880,4,-2.398
1880,5,4.774
1880,6,
1880,7,
1880,8,
1880,9,
1880,10,
1880,11,
1880,12,
1881,1,
1881,2,
1881,3,
1881,4,-2.121
1881,5,4.373
1881,6,9.283
1881,7,12.273
1881,8,11.593
1881,9,5.583
1881,10,-1.903
1881,11,-10.399
1881,12,-19.608
1882,1,-15.809
1882,2,-18.082
1882,3,-10.512
1882,4,-3.655
1882,5,4.392
1882,6,9.411
1882,7,10.441
1882,8,9.724
1882,9,4.657
1882,10,-3.505
1882,11,-12.183
1882,12,-19.969
1883,1,-14.158
1883,2,-14.548
1883,3,-5.476
1883,4,-1.249
1883,5,6.43
1883,6,10.485
1883,7,11.104
1883,8,9.591
1883,9,6.221
1883,10,-2.485
1883,11,-16.784
1883,12,-19.377
1884,1,-14.345
1884,2,-14.116
1884,3,-6.606
1884,4,-0.493
1884,5,4.864
1884,6,10.615
1884,7,11.741
1884,8,10.27
1884,9,3.795
1884,10,-8.644
1884,11,-11.436
1884,12,-17.54
1885,1,-17.385
1885,2,-16.758
1885,3,-6.988
1885,4,-0.089
1885,5,7.162
1885,6,11.262
1885,7,12.506
1885,8,10.993
1885,9,5.862
1885,10,-0.224
1885,11,-15.798
1885,12,-18.611
1886,1,-23.791
1886,2,-17.553
1886,3,-8.868
1886,4,-1.799
1886,5,5.218
1886,6,10.31
1886,7,12.831
1886,8,10.084
1886,9,4.731
1886,10,-3.959
1886,11,-11.798
1886,12,-14.472
1887,1,-20.446
1887,2,-15.187
1887,3,-10.807
1887,4,-3.048
1887,5,2.89
1887,6,9.081
1887,7,9.93
1887,8,8.906
1887,9,4.185
1887,10,-3.997
1887,11,-13.538
1887,12,-19.642
1888,1,-15.708
1888,2,-13.362
1888,3,-6.752
1888,4,-6.256
1888,5,5.343
1888,6,8.168
1888,7,10.845
1888,8,10.531
1888,9,4.625
1888,10,-3.093
1888,11,-13.215
1888,12,-15.354
1889,1,-14.431
1889,2,-12.092
1889,3,-6.299
1889,4,-2.016
1889,5,5.339
1889,6,10.412
1889,7,12.025
1889,8,9.975
1889,9,4.479
1889,10,-2.775
1889,11,-11.213
1889,12,-16.361
1890,1,-17.281
1890,2,-14.6
1890,3,-9.399
1890,4,-4.598
1890,5,4.628
1890,6,8.883
1890,7,11.989
1890,8,9.68
1890,9,4.785
1890,10,-4.206
1890,11,-11.938
1890,12,-18.464
1891,1,-15.104
1891,2,-13.631
1891,3,-8.123
1891,4,-3.122
1891,5,3.971
1891,6,10.365
1891,7,12.767
1891,8,10.325
1891,9,4.015
1891,10,-3.785
1891,11,-11.911
1891,12,-16.045
1892,1,-15.591
1892,2,-13.319
1892,3,-9.917
1892,4,
1892,5,5.525
1892,6,9.67
1892,7,12.429
1892,8,10.198
1892,9,4.056
1892,10,-3.272
1892,11,-14.703
1892,12,-13.221
1893,1,-19.838
1893,2,-9.516
1893,3,-5.887
1893,4,0.577
1893,5,7.772
1893,6,10.265
1893,7,12.972
1893,8,10.376
1893,9,5.08
1893,10,-3.469
1893,11,-11.933
1893,12,-17.92
1894,1,-20.471
1894,2,-19.052
1894,3,-9.448
1894,4,-6.202
1894,5,2.825
1894,6,9.254
1894,7,10.92
1894,8,10.089
1894,9,5.106
1894,10,-4.445
1894,11,-13.184
1894,12,-16.719
1895,1,-19.053
1895,2,-14.089
1895,3,-8.44
1895,4,-6.776
1895,5,4.937
1895,6,9.049
1895,7,11.025
1895,8,9.235
1895,9,3.369
1895,10,-2.754
1895,11,-8.924
1895,12,-18.618
1896,1,-22.75
1896,2,-21.359
1896,3,-8.245
1896,4,-4.764
1896,5,2.494
