Year,Month,Actual Temperature
1743,3,-3.726
1743,4,1.471
1743,5,7.105
1743,6,
1743,7,15.067
1743,8,
1743,9,10.407
1743,10,1.853
1743,11,1.444
1743,12,-2.84
1744,1,-6.578
1744,2,-7.399
1744,3,-4.298
1744,4,3.047
1744,5,6.951
1744,6,12.804
1744,7,16.179
1744,8,13.381
1744,9,11.026
1744,10,3.539
1744,11,1.81
1744,12,-4.051
1745,1,-7.753
1745,2,-8.856
1745,3,-6.105
1745,4,-0.082
1745,5,8.053
1745,6,14.554
1745,7,15.353
1745,8,
1745,9,10.218
1745,10,
1745,11,
1745,12,-3.271
1746,1,-3.476
1746,2,-7.055
1746,3,-8.262
1746,4,0.468
1746,5,
1746,6,13.073
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,0.778
1747,5,
1747,6,15.971
1747,7,15.157
1747,8,
1747,9,11.642
1747,10,6.543
1747,11,-0.631
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,1.248
1748,5,9.36
1748,6,
1748,7,
1748,8,
1748,9,10.019
1748,10,5.035
1748,11,0.094
1748,12,-2.479
1749,1,-5.875
1749,2,-9.122
1749,3,-6.316
1749,4,1.116
1749,5,
1749,6,13.266
1749,7,
1749,8,
1749,9,10.909
1749,10,4.312
1749,11,1.809
1749,12,-4.139
1750,1,-2.684
1750,2,-4.038
1750,3,-2.0
1750,4,3.256
1750,5,7.093
1750,6,13.5
1750,7,17.192
1750,8,16.853
1750,9,9.877
1750,10,1.43
1750,11,-5.969
1750,12,-7.151
1751,1,-6.762
1751,2,-11.579
1751,3,-2.179
1751,4,2.381
1751,5,7.245
1751,6,11.737
1751,7,16.797
1751,8,15.407
1751,9,9.791
1751,10,4.007
1751,11,-0.853
1751,12,-2.912
1752,1,-8.645
1752,2,-5.68
1752,3,-1.916
1752,4,2.555
1752,5,8.15
1752,6,12.854
1752,7,18.969
1752,8,16.936
1752,9,
1752,10,5.341
1752,11,2.714
1752,12,-1.959
1753,1,-5.918
1753,2,-7.077
1753,3,-1.82
1753,4,2.669
1753,5,7.945
1753,6,12.178
1753,7,15.545
1753,8,14.855
1753,9,10.918
1753,10,6.737
1753,11,1.095
1753,12,-10.109
1754,1,-6.568
1754,2,-8.776
1754,3,-4.913
1754,4,3.72
1754,5,8.393
1754,6,14.033
1754,7,15.392
1754,8,13.517
1754,9,9.614
1754,10,5.337
1754,11,0.365
1754,12,-2.518
1755,1,-8.21
1755,2,-10.388
1755,3,-5.565
1755,4,2.024
1755,5,9.414
1755,6,14.865
1755,7,17.839
1755,8,13.296
1755,9,9.882
1755,10,6.451
1755,11,1.638
1755,12,-4.382
1756,1,-3.464
1756,2,-1.688
1756,3,-3.184
1756,4,1.748
1756,5,6.336
1756,6,14.309
1756,7,16.741
1756,8,12.629
1756,9,9.75
1756,10,4.99
1756,11,-1.456
1756,12,-5.667
1757,1,-9.225
1757,2,-4.103
1757,3,-3.858
1757,4,4.122
1757,5,7.883
1757,6,16.026
1757,7,20.172
1757,8,16.764
1757,9,11.98
1757,10,0.781
1757,11,1.487
1757,12,-6.848
1758,1,-10.867
1758,2,-8.764
1758,3,-5.583
1758,4,0.84
1758,5,7.296
1758,6,12.346
1758,7,15.508
1758,8,13.827
1758,9,8.003
1758,10,2.393
1758,11,0.367
1758,12,-5.172
1759,1,-2.904
1759,2,-3.318
1759,3,-3.329
1759,4,1.112
1759,5,5.301
1759,6,14.344
1759,7,16.084
1759,8,16.524
1759,9,9.561
1759,10,3.826
1759,11,-1.211
1759,12,-9.218
1760,1,-14.179
1760,2,-5.881
1760,3,-6.875
1760,4,-1.189
1760,5,7.462
1760,6,13.032
1760,7,15.825
1760,8,13.947
1760,9,11.21
1760,10,2.654
1760,11,0.406
1760,12,-5.726
1761,1,-6.195
1761,2,-6.877
1761,3,-0.961
1761,4,1.608
1761,5,8.484
1761,6,15.49
1761,7,17.384
1761,8,16.828
1761,9,12.134
1761,10,2.268
1761,11,0.661
1761,12,-7.998
1762,1,-2.539
1762,2,-4.715
1762,3,-5.178
1762,4,3.219
1762,5,7.32
1762,6,14.357
1762,7,14.951
1762,8,13.554
1762,9,8.487
1762,10,0.306
1762,11,2.075
1762,12,-3.879
1763,1,-7.656
1763,2,-8.553
1763,3,-7.566
1763,4,0.254
1763,5,7.883
1763,6,12.686
1763,7,18.29
1763,8,15.009
1763,9,9.353
1763,10,3.323
1763,11,0.027
1763,12,-4.148
1764,1,-6.308
1764,2,-3.084
1764,3,-2.471
1764,4,1.736
1764,5,7.371
1764,6,10.793
1764,7,17.531
1764,8,14.423
1764,9,9.922
1764,10,5.247
1764,11,-0.081
1764,12,-3.596
1765,1,-5.699
1765,2,-7.837
1765,3,-1.876
1765,4,2.802
1765,5,6.639
1765,6,11.556
1765,7,15.578
1765,8,14.772
1765,9,9.297
1765,10,4.691
1765,11,1.921
1765,12,-3.574
1766,1,-8.369
1766,2,-6.986
1766,3,-2.231
1766,4,3.972
1766,5,8.142
1766,6,14.168
1766,7,17.442
1766,8,14.856
1766,9,10.917
1766,10,5.217
1766,11,3.11
1766,12,-4.648
1767,1,-12.214
1767,2,-7.467
1767,3,-2.531
1767,4,-0.821
1767,5,7.062
1767,6,13.067
1767,7,14.683
1767,8,16.966
1767,9,12.515
1767,10,5.474
1767,11,4.214
1767,12,-4.2
1768,1,-9.942
1768,2,-9.972
1768,3,-7.924
1768,4,0.658
1768,5,6.353
1768,6,13.244
1768,7,16.891
1768,8,15.011
1768,9,9.483
1768,10,3.15
1768,11,1.096
1768,12,0.286
1769,1,-3.255
1769,2,-6.484
1769,3,-2.74
1769,4,1.946
1769,5,8.571
1769,6,14.335
1769,7,15.722
1769,8,15.036
1769,9,10.324
1769,10,1.506
1769,11,-1.935
1769,12,-6.0
1770,1,-6.45
1770,2,-5.831
1770,3,-10.706
1770,4,2.661
1770,5,8.134
1770,6,12.634
1770,7,14.851
1770,8,15.154
1770,9,11.988
1770,10,7.495
1770,11,0.065
1770,12,-2.327
1771,1,-7.426
1771,2,-11.67
1771,3,-9.394
1771,4,-1.308
1771,5,7.26
1771,6,15.858
1771,7,15.885
1771,8,14.22
1771,9,10.583
1771,10,5.675
1771,11,-0.261
1771,12,-1.671
1772,1,-8.336
1772,2,-12.769
1772,3,-7.878
1772,4,0.99
1772,5,5.407
1772,6,12.143
1772,7,16.285
1772,8,15.578
1772,9,10.318
1772,10,7.665
1772,11,4.772
1772,12,-0.367
1773,1,-8.303
1773,2,-6.615
1773,3,-3.263
1773,4,4.386
1773,5,10.497
1773,6,13.377
1773,7,17.38
1773,8,16.555
1773,9,11.79
1773,10,6.889
1773,11,1.054
1773,12,-1.706
1774,1,-11.522
1774,2,-5.598
1774,3,-3.862
1774,4,2.515
1774,5,11.464
1774,6,16.631
1774,7,18.641
1774,8,15.512
1774,9,9.974
1774,10,4.763
1774,11,-5.921
1774,12,-5.098
1775,1,-6.588
1775,2,-4.778
1775,3,-1.627
1775,4,1.665
1775,5,8.12
1775,6,13.852
1775,7,18.431
1775,8,18.031
1775,9,13.619
1775,10,8.348
1775,11,-0.451
1775,12,-2.269
1776,1,-11.998
1776,2,-3.683
1776,3,-3.38
1776,4,1.012
1776,5,7.944
1776,6,15.128
1776,7,18.413
1776,8,16.458
1776,9,9.985
1776,10,5.46
1776,11,0.271
1776,12,-1.255
1777,1,-6.079
1777,2,-8.833
1777,3,-5.513
1777,4,-0.142
1777,5,9.915
1777,6,13.356
1777,7,15.243
1777,8,14.36
1777,9,9.09
1777,10,4.209
1777,11,2.178
1777,12,-1.327
1778,1,-6.943
1778,2,-4.977
1778,3,-4.24
1778,4,3.782
1778,5,8.593
1778,6,13.395
1778,7,17.193
1778,8,14.499
1778,9,10.978
1778,10,1.708
1778,11,-1.394
1778,12,-2.653
1779,1,-6.034
1779,2,-2.709
1779,3,0.16
1779,4,3.21
1779,5,9.744
1779,6,12.994
1779,7,15.934
1779,8,17.268
1779,9,11.895
1779,10,7.387
1779,11,0.952
1779,12,-5.046
1780,1,-9.412
1780,2,-8.162
1780,3,-1.492
1780,4,1.692
1780,5,7.936
1780,6,12.161
1780,7,17.271
1780,8,14.835
1780,9,9.133
1780,10,6.243
1780,11,-0.672
1780,12,-4.33
1781,1,-7.518
1781,2,-7.735
1781,3,-3.199
1781,4,1.96
1781,5,6.453
1781,6,13.223
1781,7,15.76
1781,8,17.683
1781,9,13.442
1781,10,4.938
1781,11,3.384
1781,12,-7.031
1782,1,-4.771
1782,2,-9.821
1782,3,-6.364
1782,4,0.797
1782,5,6.839
1782,6,12.877
1782,7,15.076
1782,8,15.675
1782,9,11.218
1782,10,4.855
1782,11,-0.75
1782,12,-4.731
1783,1,-10.267
1783,2,-4.733
1783,3,-4.929
1783,4,3.06
1783,5,9.249
1783,6,14.76
1783,7,17.261
1783,8,16.169
1783,9,11.498
1783,10,6.417
1783,11,-1.81
1783,12,-4.576
1784,1,-8.562
1784,2,-7.517
1784,3,-8.96
1784,4,2.303
1784,5,6.085
1784,6,11.944
1784,7,16.061
1784,8,15.605
1784,9,9.363
1784,10,4.304
1784,11,2.018
1784,12,-4.742
1785,1,-6.597
1785,2,-8.967
1785,3,-8.862
1785,4,-0.411
1785,5,5.193
1785,6,12.563
1785,7,16.13
1785,8,15.354
1785,9,8.824
1785,10,3.944
1785,11,1.317
1785,12,-5.994
1786,1,-8.404
1786,2,-7.79
1786,3,-7.152
1786,4,2.425
1786,5,6.743
1786,6,13.125
1786,7,16.307
1786,8,16.695
1786,9,11.043
1786,10,3.968
1786,11,-4.175
1786,12,-5.233
1787,1,-5.049
1787,2,-5.587
1787,3,-2.529
1787,4,1.252
1787,5,9.134
1787,6,14.781
1787,7,15.628
1787,8,14.238
1787,9,9.402
1787,10,7.14
1787,11,-0.928
1787,12,-6.417
1788,1,-6.686
1788,2,-8.968
1788,3,-6.984
1788,4,3.046
1788,5,7.354
1788,6,14.654
1788,7,18.712
1788,8,15.059
1788,9,12.103
1788,10,3.336
1788,11,-0.178
1788,12,-13.205
1789,1,-10.029
1789,2,-8.053
1789,3,-10.013
1789,4,0.829
1789,5,9.424
1789,6,15.141
1789,7,19.469
1789,8,17.792
1789,9,12.402
1789,10,7.893
1789,11,2.466
1789,12,1.04
1790,1,-3.645
1790,2,-3.988
1790,3,-1.061
1790,4,-1.574
1790,5,8.344
1790,6,12.686
1790,7,13.928
1790,8,13.645
1790,9,9.365
