Year,Month,Actual Temperature
1819,7,25.206
1819,8,
1819,9,19.795
1819,10,11.974
1819,11,2.948
1819,12,-4.275
1820,1,-8.073
1820,2,-2.268
1820,3,4.632
1820,4,13.896
1820,5,20.239
1820,6,24.107
1820,7,26.023
1820,8,23.344
1820,9,19.414
1820,10,11.054
1820,11,2.343
1820,12,-5.187
1821,1,-4.097
1821,2,-0.134
1821,3,5.526
1821,4,13.05
1821,5,19.86
1821,6,22.928
1821,7,25.338
1821,8,24.491
1821,9,17.987
1821,10,11.046
1821,11,2.962
1821,12,-3.875
1822,1,-6.04
1822,2,-1.049
1822,3,7.61
1822,4,12.724
1822,5,19.13
1822,6,23.851
1822,7,25.72
1822,8,24.274
1822,9,18.987
1822,10,11.318
1822,11,2.288
1822,12,-5.426
1823,1,-6.098
1823,2,-2.27
1823,3,4.298
1823,4,12.112
1823,5,18.676
1823,6,24.32
1823,7,26.527
1823,8,23.969
1823,9,18.649
1823,10,11.132
1823,11,3.071
1823,12,-4.278
1824,1,-4.695
1824,2,-1.738
1824,3,5.384
1824,4,13.449
1824,5,20.019
1824,6,24.239
1824,7,26.231
1824,8,24.078
1824,9,19.378
1824,10,11.53
1824,11,3.701
1824,12,-1.368
1825,1,-4.301
1825,2,-2.17
1825,3,4.404
1825,4,13.209
1825,5,20.124
1825,6,24.553
1825,7,24.958
1825,8,23.47
1825,9,18.904
1825,10,12.062
1825,11,4.213
1825,12,-3.63
1826,1,-5.683
1826,2,-3.441
1826,3,4.403
1826,4,13.035
1826,5,20.466
1826,6,24.714
1826,7,26.253
1826,8,23.828
1826,9,19.061
1826,10,12.268
1826,11,4.621
1826,12,-2.096
1827,1,-4.291
1827,2,-0.973
1827,3,6.092
1827,4,13.86
1827,5,20.352
1827,6,25.041
1827,7,26.929
1827,8,24.769
1827,9,19.68
1827,10,12.232
1827,11,4.028
1827,12,-3.364
1828,1,-6.895
1828,2,-3.05
1828,3,5.109
1828,4,12.907
1828,5,19.319
1828,6,24.125
1828,7,26.415
1828,8,24.623
1828,9,18.731
1828,10,12.263
1828,11,3.918
1828,12,-3.621
1829,1,-5.618
1829,2,-3.092
1829,3,4.884
1829,4,12.231
1829,5,19.405
1829,6,23.438
1829,7,26.109
1829,8,24.119
1829,9,18.672
1829,10,12.186
1829,11,3.71
1829,12,-3.192
1830,1,-3.483
1830,2,-0.169
1830,3,4.369
1830,4,13.186
1830,5,18.58
1830,6,23.65
1830,7,26.891
1830,8,24.037
1830,9,18.469
1830,10,11.18
1830,11,5.19
1830,12,-2.065
1831,1,-5.249
1831,2,-3.847
1831,3,3.76
1831,4,12.306
1831,5,19.372
1831,6,24.166
1831,7,25.511
1831,8,23.225
1831,9,18.397
1831,10,11.098
1831,11,1.873
1831,12,-4.205
1832,1,-6.136
1832,2,-2.92
1832,3,4.426
1832,4,12.906
1832,5,19.001
1832,6,23.571
1832,7,25.418
1832,8,23.536
1832,9,18.316
1832,10,12.058
1832,11,2.916
1832,12,-5.638
1833,1,-6.224
1833,2,-2.599
1833,3,3.301
1833,4,12.11
1833,5,19.481
1833,6,23.482
1833,7,25.896
1833,8,24.1
1833,9,19.55
1833,10,11.34
1833,11,4.284
1833,12,-3.788
1834,1,-7.969
1834,2,-2.46
1834,3,6.239
1834,4,12.587
1834,5,19.896
1834,6,23.833
1834,7,26.129
1834,8,24.173
1834,9,20.028
1834,10,11.823
1834,11,4.914
1834,12,-3.186
1835,1,-4.522
1835,2,-0.897
1835,3,4.17
1835,4,12.977
1835,5,18.89
1835,6,22.989
1835,7,24.803
1835,8,23.232
1835,9,18.236
1835,10,10.867
1835,11,2.482
1835,12,-4.16
1836,1,-5.068
1836,2,-2.262
1836,3,5.447
1836,4,12.023
1836,5,18.915
1836,6,23.361
1836,7,25.503
1836,8,24.057
1836,9,18.925
1836,10,12.629
1836,11,1.347
1836,12,-2.91
1837,1,-5.44
1837,2,
1837,3,
1837,4,
1837,5,
1837,6,
1837,7,
1837,8,
1837,9,19.052
1837,10,11.656
1837,11,1.797
1837,12,-2.998
1838,1,
1838,2,
1838,3,
1838,4,
1838,5,
1838,6,
1838,7,
1838,8,
1838,9,
1838,10,
1838,11,
1838,12,
1839,1,-5.662
1839,2,-2.478
1839,3,2.746
1839,4,11.862
1839,5,18.813
1839,6,23.781
1839,7,25.903
1839,8,25.023
1839,9,19.927
1839,10,10.654
1839,11,2.081
1839,12,-5.543
1840,1,-5.305
1840,2,-2.587
1840,3,3.341
1840,4,13.308
1840,5,20.088
1840,6,24.134
1840,7,26.687
1840,8,24.93
1840,9,19.569
1840,10,11.271
1840,11,3.372
1840,12,-4.511
1841,1,-7.704
1841,2,-3.431
1841,3,1.799
1841,4,12.015
1841,5,19.056
1841,6,22.015
1841,7,25.555
1841,8,23.689
1841,9,18.716
1841,10,11.209
1841,11,2.627
1841,12,-5.23
1842,1,-5.437
1842,2,-2.289
1842,3,5.738
1842,4,13.849
1842,5,18.994
1842,6,23.666
1842,7,24.437
1842,8,23.844
1842,9,19.7
1842,10,11.213
1842,11,2.637
1842,12,-2.146
1843,1,-4.846
1843,2,0.08
1843,3,4.824
1843,4,13.739
1843,5,18.338
1843,6,22.536
1843,7,25.33
1843,8,24.638
1843,9,19.767
1843,10,10.689
1843,11,2.823
1843,12,-1.96
1844,1,-4.617
1844,2,-1.014
1844,3,5.779
1844,4,12.059
1844,5,18.317
1844,6,23.049
1844,7,25.048
1844,8,25.089
1844,9,19.348
1844,10,12.979
1844,11,5.289
1844,12,-4.23
1845,1,-3.905
1845,2,-1.951
1845,3,5.318
1845,4,12.856
1845,5,20.513
1845,6,25.562
1845,7,25.88
1845,8,23.945
1845,9,19.458
1845,10,11.624
1845,11,3.485
1845,12,-7.081
1846,1,-5.193
1846,2,-0.095
1846,3,5.128
1846,4,12.238
1846,5,17.757
1846,6,24.694
1846,7,26.922
1846,8,25.576
1846,9,21.007
1846,10,12.377
1846,11,2.726
1846,12,-1.379
1847,1,-3.852
1847,2,-1.978
1847,3,4.222
1847,4,14.428
1847,5,19.444
1847,6,23.424
1847,7,26.991
1847,8,24.476
1847,9,19.884
1847,10,12.099
1847,11,5.962
1847,12,-3.345
1848,1,-7.18
1848,2,-1.196
1848,3,5.255
1848,4,12.584
1848,5,20.167
1848,6,23.888
1848,7,26.674
1848,8,24.007
1848,9,19.679
1848,10,11.995
1848,11,3.364
1848,12,-1.487
1849,1,-3.726
1849,2,0.604
1849,3,5.888
1849,4,11.188
1849,5,18.304
1849,6,24.031
1849,7,25.018
1849,8,25.429
1849,9,20.158
1849,10,11.099
1849,11,3.311
1849,12,-4.039
1850,1,-5.689
1850,2,-2.047
1850,3,5.535
1850,4,9.887
1850,5,19.561
1850,6,23.202
1850,7,25.754
1850,8,23.704
1850,9,19.622
1850,10,11.929
1850,11,0.459
1850,12,-4.439
1851,1,-4.749
1851,2,-2.246
1851,3,1.899
1851,4,10.503
1851,5,18.163
1851,6,25.311
1851,7,26.049
1851,8,23.898
1851,9,18.524
1851,10,10.648
1851,11,1.541
1851,12,-5.261
1852,1,-6.383
1852,2,-5.62
1852,3,1.959
1852,4,11.484
1852,5,19.087
1852,6,24.724
1852,7,26.896
1852,8,24.02
1852,9,18.984
1852,10,13.093
1852,11,2.182
1852,12,-3.281
1853,1,-6.355
1853,2,-4.139
1853,3,3.621
1853,4,10.916
1853,5,18.799
1853,6,24.59
1853,7,27.854
1853,8,25.196
1853,9,20.931
1853,10,10.512
1853,11,3.326
1853,12,-4.443
1854,1,-5.431
1854,2,-6.233
1854,3,4.99
1854,4,13.032
1854,5,20.729
1854,6,24.53
1854,7,27.632
1854,8,24.959
1854,9,20.092
1854,10,12.464
