Year,Month,Actual Temperature
1832,1,22.459
1832,2,22.548
1832,3,22.533
1832,4,21.734
1832,5,20.91
1832,6,19.981
1832,7,19.65
1832,8,20.585
1832,9,22.239
1832,10,22.697
1832,11,21.574
1832,12,20.665
1833,1,22.416
1833,2,23.573
1833,3,22.703
1833,4,22.605
1833,5,21.071
1833,6,20.227
1833,7,19.64
1833,8,21.741
1833,9,23.41
1833,10,23.117
1833,11,24.148
1833,12,22.806
1834,1,21.534
1834,2,22.849
1834,3,23.124
1834,4,22.269
1834,5,22.204
1834,6,19.369
1834,7,20.138
1834,8,20.979
1834,9,23.166
1834,10,22.65
1834,11,22.474
1834,12,21.988
1835,1,22.79
1835,2,23.238
1835,3,21.646
1835,4,21.623
1835,5,20.674
1835,6,19.215
1835,7,19.576
1835,8,20.913
1835,9,21.395
1835,10,22.326
1835,11,21.442
1835,12,20.696
1836,1,22.518
1836,2,23.131
1836,3,23.19
1836,4,21.085
1836,5,20.087
1836,6,19.404
1836,7,20.028
1836,8,21.153
1836,9,21.826
1836,10,22.774
1836,11,21.022
1836,12,21.825
1837,1,22.454
1837,2,21.943
1837,3,21.409
1837,4,20.558
1837,5,20.478
1837,6,18.556
1837,7,18.997
1837,8,20.841
1837,9,22.304
1837,10,22.516
1837,11,21.365
1837,12,21.146
1838,1,20.69
1838,2,22.102
1838,3,21.32
1838,4,21.648
1838,5,20.136
1838,6,19.916
1838,7,20.072
1838,8,20.781
1838,9,22.757
1838,10,23.263
1838,11,22.051
1838,12,22.164
1839,1,22.327
1839,2,22.969
1839,3,21.082
1839,4,21.998
1839,5,20.986
1839,6,19.66
1839,7,19.553
1839,8,21.412
1839,9,22.065
1839,10,22.139
1839,11,20.985
1839,12,20.985
1840,1,22.88
1840,2,22.738
1840,3,21.577
1840,4,22.008
1840,5,21.863
1840,6,20.151
1840,7,20.014
1840,8,20.566
1840,9,22.87
1840,10,23.113
1840,11,21.634
1840,12,21.867
1841,1,21.775
1841,2,22.237
1841,3,22.285
1841,4,21.927
1841,5,21.099
1841,6,19.683
1841,7,19.9
1841,8,21.205
1841,9,22.32
1841,10,22.814
1841,11,21.603
1841,12,20.851
1842,1,22.325
1842,2,22.877
1842,3,23.691
1842,4,22.703
1842,5,21.193
1842,6,20.423
1842,7,20.039
1842,8,21.046
1842,9,21.682
1842,10,22.671
1842,11,21.826
1842,12,22.303
1843,1,23.355
1843,2,24.246
1843,3,22.761
1843,4,21.915
1843,5,21.566
1843,6,19.338
1843,7,18.979
1843,8,21.312
1843,9,22.981
1843,10,23.112
1843,11,21.949
1843,12,22.743
1844,1,
1844,2,
1844,3,
1844,4,
1844,5,
1844,6,
1844,7,
1844,8,
1844,9,
1844,10,
1844,11,
1844,12,
1845,1,
1845,2,
1845,3,
1845,4,
1845,5,
1845,6,
1845,7,
1845,8,
1845,9,
1845,10,
1845,11,
1845,12,
1846,1,
1846,2,
1846,3,
1846,4,
1846,5,
1846,6,
1846,7,
1846,8,
1846,9,
1846,10,
1846,11,
1846,12,
1847,1,
1847,2,
1847,3,
1847,4,
1847,5,
1847,6,
1847,7,
1847,8,
1847,9,
1847,10,
1847,11,
1847,12,
1848,1,
1848,2,
1848,3,
1848,4,
1848,5,
1848,6,
1848,7,
1848,8,
1848,9,
1848,10,
1848,11,
1848,12,
1849,1,
1849,2,
1849,3,
1849,4,
1849,5,
1849,6,
1849,7,
1849,8,
1849,9,
1849,10,
1849,11,
1849,12,
1850,1,
1850,2,
1850,3,
1850,4,
1850,5,
1850,6,
1850,7,
1850,8,
1850,9,
1850,10,
1850,11,
1850,12,
1851,1,22.706
1851,2,22.567
1851,3,22.053
1851,4,22.472
1851,5,21.319
1851,6,19.998
1851,7,20.308
1851,8,21.273
1851,9,22.392
1851,10,23.037
1851,11,21.712
1851,12,21.26
1852,1,22.123
1852,2,22.232
1852,3,22.436
1852,4,22.082
1852,5,21.714
1852,6,20.276
1852,7,20.221
1852,8,20.827
1852,9,22.683
1852,10,22.623
1852,11,22.072
1852,12,22.8
1853,1,22.141
1853,2,22.216
1853,3,21.715
1853,4,22.632
1853,5,21.258
1853,6,20.236
1853,7,20.532
1853,8,21.909
1853,9,23.341
1853,10,22.917
1853,11,22.245
1853,12,21.442
1854,1,21.29
1854,2,22.15
1854,3,22.241
1854,4,22.556
1854,5,21.508
1854,6,20.156
1854,7,20.468
1854,8,21.588
1854,9,23.229
1854,10,24.166
1854,11,22.428
1854,12,21.922
1855,1,22.9
1855,2,22.86
1855,3,22.942
1855,4,22.807
1855,5,21.602
1855,6,20.504
1855,7,19.896
1855,8,21.64
1855,9,22.618
1855,10,23.053
1855,11,22.192
1855,12,21.255
1856,1,22.422
1856,2,22.094
1856,3,22.07
1856,4,22.429
1856,5,21.205
1856,6,20.317
1856,7,19.799
1856,8,21.046
1856,9,22.317
1856,10,22.422
1856,11,22.433
1856,12,21.771
1857,1,22.325
1857,2,22.488
1857,3,22.316
1857,4,20.891
1857,5,20.557
1857,6,20.071
1857,7,20.479
1857,8,21.209
1857,9,22.786
1857,10,23.285
1857,11,23.303
1857,12,22.781
1858,1,22.542
1858,2,22.589
1858,3,22.708
1858,4,21.801
1858,5,21.576
1858,6,19.948
1858,7,19.647
1858,8,20.827
1858,9,21.497
1858,10,22.32
1858,11,22.359
1858,12,20.751
1859,1,21.787
1859,2,22.338
1859,3,23.26
1859,4,23.538
1859,5,21.853
1859,6,20.299
1859,7,19.707
1859,8,20.981
1859,9,22.827
1859,10,23.71
1859,11,22.911
1859,12,22.133
1860,1,22.617
1860,2,22.698
1860,3,22.079
1860,4,22.474
1860,5,21.586
1860,6,21.012
1860,7,20.852
1860,8,22.913
1860,9,24.29
1860,10,24.159
1860,11,22.377
1860,12,21.604
1861,1,21.815
1861,2,22.782
1861,3,22.184
1861,4,22.134
1861,5,21.387
1861,6,19.87
1861,7,19.442
1861,8,22.155
1861,9,23.083
1861,10,22.964
1861,11,22.52
1861,12,21.414
1862,1,21.187
1862,2,22.346
1862,3,22.416
1862,4,21.872
1862,5,21.827
1862,6,20.206
1862,7,19.706
1862,8,20.864
1862,9,22.247
1862,10,23.302
1862,11,22.658
1862,12,21.299
1863,1,23.637
1863,2,23.227
1863,3,22.375
1863,4,22.628
1863,5,21.257
1863,6,20.51
1863,7,19.93
1863,8,20.86
1863,9,21.934
1863,10,22.601
1863,11,22.207
1863,12,21.775
1864,1,22.134
1864,2,22.433
1864,3,22.307
1864,4,21.687
1864,5,21.577
1864,6,20.269
1864,7,20.083
1864,8,21.212
1864,9,23.127
1864,10,23.175
1864,11,22.28
1864,12,21.652
1865,1,23.254
1865,2,21.757
1865,3,21.767
1865,4,21.819
1865,5,21.372
1865,6,20.117
1865,7,20.216
1865,8,21.521
1865,9,22.713
1865,10,23.511
1865,11,22.898
1865,12,21.359
1866,1,23.07
1866,2,21.95
1866,3,21.587
1866,4,21.779
1866,5,21.404
1866,6,19.924
1866,7,20.649
1866,8,22.065
1866,9,23.466
1866,10,23.08
1866,11,23.093
1866,12,22.454
1867,1,21.983
1867,2,22.39
1867,3,22.141
1867,4,22.726
1867,5,21.267
1867,6,20.772
1867,7,20.423
1867,8,22.168
1867,9,23.443
1867,10,23.437
1867,11,23.083
1867,12,22.122
1868,1,22.352
1868,2,22.063
1868,3,22.617
1868,4,22.153
1868,5,21.774
1868,6,21.012
1868,7,21.151
1868,8,21.968
1868,9,23.264
1868,10,23.717
1868,11,22.376
1868,12,22.224
1869,1,22.582
1869,2,23.017
1869,3,22.396
1869,4,22.736
1869,5,22.36
1869,6,21.434
1869,7,20.618
1869,8,21.803
1869,9,23.485
1869,10,23.216
1869,11,22.343
1869,12,21.438
1870,1,22.3
1870,2,22.392
1870,3,22.493
1870,4,22.599
1870,5,21.735
1870,6,20.929
1870,7,20.34
1870,8,21.162
1870,9,22.412
1870,10,23.539
1870,11,22.006
1870,12,21.242
1871,1,21.553
1871,2,21.472
1871,3,22.186
1871,4,22.804
1871,5,21.539
1871,6,20.248
1871,7,20.0
1871,8,21.83
1871,9,23.298
1871,10,23.39
1871,11,21.93
1871,12,22.072
1872,1,22.9
1872,2,22.933
1872,3,23.028
1872,4,21.849
1872,5,21.288
1872,6,19.928
1872,7,19.787
1872,8,21.846
1872,9,23.686
1872,10,23.016
1872,11,22.306
1872,12,21.863
1873,1,23.176
