Year,Month,Actual Temperature
1843,1,14.62
1843,2,17.687
1843,3,20.696
1843,4,24.927
1843,5,28.948
1843,6,32.535
1843,7,35.267
1843,8,33.904
1843,9,30.02
1843,10,
1843,11,18.759
1843,12,13.886
1844,1,13.393
1844,2,15.609
1844,3,
1844,4,
1844,5,29.026
1844,6,33.031
1844,7,35.235
1844,8,33.966
1844,9,30.083
1844,10,25.369
1844,11,18.768
1844,12,14.04
1845,1,12.18
1845,2,16.178
1845,3,21.274
1845,4,24.964
1845,5,29.624
1845,6,
1845,7,
1845,8,
1845,9,
1845,10,
1845,11,
1845,12,
1846,1,
1846,2,
1846,3,
1846,4,
1846,5,
1846,6,
1846,7,
1846,8,
1846,9,
1846,10,
1846,11,
1846,12,
1847,1,
1847,2,
1847,3,
1847,4,
1847,5,
1847,6,
1847,7,
1847,8,
1847,9,
1847,10,
1847,11,
1847,12,
1848,1,13.125
1848,2,16.183
1848,3,20.226
1848,4,24.555
1848,5,29.724
1848,6,33.413
1848,7,35.386
1848,8,34.117
1848,9,30.205
1848,10,25.576
1848,11,19.999
1848,12,13.118
1849,1,13.076
1849,2,15.357
1849,3,20.454
1849,4,25.379
1849,5,29.656
1849,6,33.271
1849,7,35.072
1849,8,34.085
1849,9,30.88
1849,10,25.855
1849,11,19.7
1849,12,14.803
1850,1,13.096
1850,2,15.546
1850,3,20.199
1850,4,24.324
1850,5,28.525
1850,6,32.737
1850,7,35.685
1850,8,34.198
1850,9,30.698
1850,10,25.221
1850,11,18.431
1850,12,13.715
1851,1,13.842
1851,2,15.571
1851,3,20.288
1851,4,24.877
1851,5,31.276
1851,6,34.166
1851,7,35.665
1851,8,34.988
1851,9,30.97
1851,10,25.482
1851,11,19.048
1851,12,14.007
1852,1,13.178
1852,2,15.699
1852,3,19.871
1852,4,25.162
1852,5,30.095
1852,6,33.489
1852,7,35.551
1852,8,33.957
1852,9,30.852
1852,10,26.315
1852,11,19.064
1852,12,15.027
1853,1,12.666
1853,2,15.92
1853,3,20.173
1853,4,25.362
1853,5,29.861
1853,6,33.902
1853,7,35.736
1853,8,34.86
1853,9,31.0
1853,10,25.574
1853,11,19.055
1853,12,15.066
1854,1,13.009
1854,2,14.835
1854,3,19.719
1854,4,24.329
1854,5,29.715
1854,6,32.961
1854,7,35.016
1854,8,34.114
1854,9,30.694
1854,10,27.266
1854,11,20.03
1854,12,15.332
1855,1,13.71
1855,2,16.333
1855,3,20.582
1855,4,25.583
1855,5,30.314
1855,6,33.819
1855,7,35.104
1855,8,34.445
1855,9,30.017
1855,10,25.277
1855,11,19.209
1855,12,14.58
1856,1,13.254
1856,2,15.134
1856,3,19.368
1856,4,24.617
1856,5,29.971
1856,6,34.316
1856,7,35.715
1856,8,34.437
1856,9,30.723
1856,10,24.825
1856,11,19.679
1856,12,14.566
1857,1,13.872
1857,2,15.005
1857,3,19.375
1857,4,23.75
1857,5,29.019
1857,6,33.059
1857,7,35.035
1857,8,34.143
1857,9,30.975
1857,10,24.896
1857,11,18.995
1857,12,14.019
1858,1,13.398
1858,2,15.211
1858,3,20.749
1858,4,25.496
1858,5,30.187
1858,6,34.658
1858,7,35.483
1858,8,34.589
1858,9,30.274
1858,10,25.794
1858,11,21.563
1858,12,14.257
1859,1,12.069
1859,2,15.022
1859,3,20.607
1859,4,26.152
1859,5,31.151
1859,6,34.213
1859,7,35.032
1859,8,34.359
1859,9,31.303
1859,10,25.831
1859,11,19.955
1859,12,15.262
1860,1,13.114
1860,2,15.932
1860,3,19.038
1860,4,25.543
1860,5,30.294
1860,6,34.66
1860,7,36.152
1860,8,34.811
1860,9,31.505
1860,10,25.74
1860,11,19.434
1860,12,13.991
1861,1,12.542
1861,2,14.606
1861,3,19.82
1861,4,24.844
1861,5,29.348
1861,6,33.574
1861,7,35.169
1861,8,34.603
1861,9,30.293
1861,10,25.293
1861,11,19.766
1861,12,14.422
1862,1,11.956
1862,2,14.887
1862,3,19.918
1862,4,24.675
1862,5,30.3
1862,6,34.143
1862,7,35.237
1862,8,33.543
1862,9,29.089
1862,10,23.741
1862,11,18.679
1862,12,13.361
1863,1,12.504
1863,2,14.277
1863,3,20.256
1863,4,24.792
1863,5,30.176
1863,6,33.643
1863,7,35.396
1863,8,33.676
1863,9,30.177
1863,10,25.17
1863,11,19.699
1863,12,14.744
1864,1,12.688
1864,2,15.771
1864,3,20.723
1864,4,25.522
1864,5,30.601
1864,6,33.978
1864,7,35.531
1864,8,34.383
1864,9,31.255
1864,10,27.099
1864,11,20.98
1864,12,14.767
1865,1,14.45
1865,2,16.764
1865,3,21.504
1865,4,24.544
1865,5,29.194
1865,6,34.469
1865,7,35.91
1865,8,34.934
1865,9,30.89
1865,10,26.917
1865,11,20.393
1865,12,14.089
1866,1,13.738
1866,2,15.73
1866,3,20.063
1866,4,24.712
1866,5,30.345
1866,6,33.04
1866,7,36.347
1866,8,35.381
1866,9,30.915
1866,10,25.907
1866,11,19.565
1866,12,15.776
1867,1,12.846
1867,2,15.11
1867,3,21.483
1867,4,25.573
1867,5,29.974
1867,6,34.486
1867,7,35.156
1867,8,35.009
1867,9,31.023
1867,10,26.444
1867,11,21.384
1867,12,15.181
1868,1,13.374
1868,2,13.926
1868,3,20.967
1868,4,24.665
1868,5,30.788
1868,6,34.121
1868,7,36.345
1868,8,34.703
1868,9,30.873
1868,10,28.101
1868,11,19.169
