Year,Month,Actual Temperature
1743,3,10.278
1743,4,12.344
1743,5,17.268
1743,6,
1743,7,24.672
1743,8,
1743,9,21.721
1743,10,14.911
1743,11,13.321
1743,12,10.136
1744,1,7.753
1744,2,7.421
1744,3,10.001
1744,4,14.694
1744,5,18.054
1744,6,23.718
1744,7,26.102
1744,8,24.01
1744,9,22.449
1744,10,17.182
1744,11,14.674
1744,12,9.951
1745,1,7.425
1745,2,8.336
1745,3,9.187
1745,4,15.238
1745,5,18.439
1745,6,23.922
1745,7,26.016
1745,8,
1745,9,22.391
1745,10,
1745,11,
1745,12,11.342
1746,1,10.734
1746,2,8.984
1746,3,7.471
1746,4,13.407
1746,5,
1746,6,22.563
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,13.467
1747,5,
1747,6,24.662
1747,7,25.338
1747,8,
1747,9,23.271
1747,10,18.856
1747,11,13.541
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,14.205
1748,5,20.412
1748,6,
1748,7,
1748,8,
1748,9,21.596
1748,10,18.058
1748,11,13.705
1748,12,11.295
1749,1,9.321
1749,2,8.717
1749,3,10.854
1749,4,13.636
1749,5,
1749,6,22.727
1749,7,
1749,8,
1749,9,21.991
1749,10,17.013
1749,11,14.114
1749,12,8.328
1750,1,8.829
1750,2,8.858
1750,3,
1750,4,14.904
1750,5,17.486
1750,6,23.019
1750,7,25.947
1750,8,26.085
1750,9,
1750,10,17.474
1750,11,11.204
1750,12,8.786
1751,1,8.096
1751,2,7.456
1751,3,12.532
1751,4,13.216
1751,5,18.142
1751,6,22.4
1751,7,26.896
1751,8,26.171
1751,9,22.072
1751,10,16.691
1751,11,11.767
1751,12,9.241
1752,1,7.447
1752,2,12.268
1752,3,12.186
1752,4,13.357
1752,5,18.662
1752,6,24.264
1752,7,26.378
1752,8,24.18
1752,9,
1752,10,17.836
1752,11,14.746
1752,12,10.279
1753,1,8.962
1753,2,8.841
1753,3,12.732
1753,4,14.485
1753,5,19.324
1753,6,23.803
1753,7,25.821
1753,8,24.704
1753,9,21.537
1753,10,18.116
1753,11,13.639
1753,12,8.544
1754,1,9.11
1754,2,7.43
1754,3,9.891
1754,4,17.183
1754,5,19.847
1754,6,24.094
1754,7,25.895
1754,8,24.823
1754,9,21.319
1754,10,19.271
1754,11,15.233
1754,12,11.44
1755,1,8.218
1755,2,7.356
1755,3,10.777
1755,4,16.28
1755,5,19.581
1755,6,24.762
1755,7,25.995
1755,8,23.962
1755,9,21.186
1755,10,19.974
1755,11,13.402
1755,12,10.349
1756,1,10.175
1756,2,12.45
1756,3,11.795
1756,4,15.095
1756,5,19.848
1756,6,24.173
1756,7,25.174
1756,8,25.295
1756,9,22.042
1756,10,17.683
1756,11,12.677
1756,12,9.367
1757,1,7.619
1757,2,11.353
1757,3,11.284
1757,4,15.109
1757,5,20.076
1757,6,25.651
1757,7,28.104
1757,8,27.544
1757,9,22.983
1757,10,15.103
1757,11,12.757
1757,12,9.154
1758,1,5.62
1758,2,7.234
1758,3,10.79
1758,4,13.815
1758,5,16.77
1758,6,22.889
1758,7,24.229
1758,8,22.825
1758,9,20.238
1758,10,15.504
1758,11,14.454
1758,12,10.757
1759,1,11.416
1759,2,11.584
1759,3,11.417
1759,4,13.287
1759,5,17.441
1759,6,23.574
1759,7,24.43
1759,8,25.224
1759,9,22.149
1759,10,17.357
1759,11,11.773
1759,12,8.611
1760,1,7.063
1760,2,9.352
1760,3,9.191
1760,4,14.393
1760,5,18.306
1760,6,22.497
1760,7,24.121
1760,8,24.405
1760,9,20.663
1760,10,17.1
1760,11,14.073
1760,12,9.287
1761,1,7.628
1761,2,8.854
1761,3,12.443
1761,4,13.961
1761,5,20.531
1761,6,25.552
1761,7,29.272
1761,8,25.998
1761,9,22.832
1761,10,15.882
1761,11,13.728
1761,12,6.619
1762,1,11.422
1762,2,10.547
1762,3,9.801
1762,4,15.254
1762,5,18.697
1762,6,22.474
1762,7,25.454
1762,8,25.58
1762,9,21.327
1762,10,16.842
1762,11,14.974
1762,12,9.039
1763,1,6.878
1763,2,8.798
1763,3,8.787
1763,4,13.773
1763,5,17.482
1763,6,21.879
1763,7,27.197
1763,8,25.383
1763,9,21.533
1763,10,16.085
1763,11,12.931
1763,12,11.03
1764,1,8.488
1764,2,12.357
1764,3,10.562
1764,4,13.617
1764,5,18.868
1764,6,21.96
1764,7,24.604
1764,8,23.833
1764,9,21.329
1764,10,18.734
1764,11,14.248
1764,12,13.382
1765,1,12.536
1765,2,9.845
1765,3,12.894
1765,4,15.398
1765,5,18.122
1765,6,21.366
1765,7,24.257
1765,8,24.741
1765,9,21.882
1765,10,18.069
1765,11,14.943
1765,12,10.599
1766,1,6.037
1766,2,10.054
1766,3,12.132
1766,4,14.395
1766,5,19.36
1766,6,23.314
1766,7,23.827
1766,8,25.075
1766,9,22.503
1766,10,17.797
1766,11,16.705
1766,12,10.585
1767,1,4.884
1767,2,10.251
1767,3,12.722
1767,4,12.394
1767,5,17.642
1767,6,23.584
1767,7,25.226
1767,8,25.551
1767,9,21.935
1767,10,18.724
1767,11,16.808
1767,12,9.055
1768,1,4.684
1768,2,6.215
1768,3,8.996
1768,4,14.009
1768,5,17.019
1768,6,21.68
1768,7,25.717
1768,8,24.631
1768,9,21.295
1768,10,17.503
1768,11,14.016
1768,12,10.087
1769,1,10.547
1769,2,8.887
1769,3,10.796
1769,4,15.124
1769,5,19.735
1769,6,24.354
1769,7,25.148
1769,8,24.739
1769,9,22.153
1769,10,14.45
1769,11,12.895
1769,12,8.097
1770,1,8.97
1770,2,10.378
1770,3,8.803
1770,4,15.481
1770,5,17.563
1770,6,21.586
1770,7,22.888
1770,8,23.227
1770,9,22.049
1770,10,18.77
1770,11,15.379
1770,12,12.624
1771,1,12.549
1771,2,6.101
1771,3,8.851
1771,4,11.866
1771,5,18.326
1771,6,22.535
1771,7,25.093
1771,8,25.563
1771,9,22.246
1771,10,19.549
1771,11,12.621
1771,12,10.893
1772,1,10.546
1772,2,10.43
1772,3,11.014
1772,4,15.305
1772,5,17.21
1772,6,22.786
1772,7,26.074
1772,8,25.585
1772,9,21.627
1772,10,18.817
1772,11,17.154
1772,12,13.761
1773,1,7.858
1773,2,8.406
1773,3,10.193
1773,4,15.237
1773,5,20.741
1773,6,21.857
1773,7,24.871
1773,8,24.313
1773,9,23.383
1773,10,19.293
1773,11,13.094
1773,12,14.379
1774,1,8.027
1774,2,10.95
1774,3,12.002
1774,4,16.479
1774,5,23.167
1774,6,24.865
1774,7,27.216
1774,8,26.089
1774,9,21.672
1774,10,17.631
1774,11,11.914
1774,12,8.113
1775,1,10.262
1775,2,12.485
1775,3,13.363
1775,4,12.93
1775,5,17.557
1775,6,22.1
1775,7,25.593
1775,8,26.007
1775,9,21.839
1775,10,19.928
1775,11,17.054
1775,12,9.229
1776,1,7.185
1776,2,10.901
1776,3,11.162
1776,4,13.261
1776,5,17.251
1776,6,22.98
1776,7,24.607
1776,8,25.916
1776,9,20.657
1776,10,16.92
1776,11,13.734
1776,12,10.975
1777,1,10.855
1777,2,10.938
1777,3,11.766
1777,4,12.142
1777,5,18.153
1777,6,21.879
1777,7,23.451
1777,8,24.32
1777,9,21.481
1777,10,16.412
1777,11,14.592
1777,12,10.714
1778,1,11.411
1778,2,11.096
1778,3,10.864
1778,4,16.643
1778,5,18.788
1778,6,21.285
1778,7,26.172
1778,8,24.285
1778,9,22.746
1778,10,17.459
1778,11,13.196
1778,12,11.144
1779,1,7.952
1779,2,11.793
