Year,Month,Actual Temperature
1819,7,22.664
1819,8,
1819,9,20.356
1819,10,13.372
1819,11,6.752
1819,12,2.22
1820,1,-2.669
1820,2,0.669
1820,3,4.582
1820,4,11.388
1820,5,15.938
1820,6,19.348
1820,7,23.479
1820,8,23.288
1820,9,19.959
1820,10,12.669
1820,11,6.578
1820,12,1.018
1821,1,0.461
1821,2,1.383
1821,3,4.919
1821,4,10.65
1821,5,15.916
1821,6,18.935
1821,7,22.876
1821,8,23.987
1821,9,
1821,10,12.337
1821,11,6.683
1821,12,2.222
1822,1,-0.161
1822,2,1.461
1822,3,6.854
1822,4,9.647
1822,5,14.682
1822,6,19.368
1822,7,22.826
1822,8,23.959
1822,9,19.615
1822,10,12.515
1822,11,6.339
1822,12,0.761
1823,1,-0.29
1823,2,0.682
1823,3,4.287
1823,4,9.796
1823,5,14.385
1823,6,19.685
1823,7,23.946
1823,8,23.754
1823,9,19.395
1823,10,12.897
1823,11,
1823,12,
1824,1,
1824,2,
1824,3,
1824,4,
1824,5,
1824,6,
1824,7,
1824,8,
1824,9,
1824,10,
1824,11,
1824,12,
1825,1,0.456
1825,2,0.687
1825,3,4.521
1825,4,10.787
1825,5,16.139
1825,6,18.794
1825,7,21.53
1825,8,21.095
1825,9,18.702
1825,10,14.984
1825,11,
1825,12,
1826,1,
1826,2,
1826,3,
1826,4,
1826,5,16.988
1826,6,20.481
1826,7,23.206
1826,8,22.522
1826,9,18.957
1826,10,14.348
1826,11,8.789
1826,12,3.905
1827,1,0.982
1827,2,1.34
1827,3,5.46
1827,4,11.793
1827,5,15.999
1827,6,20.008
1827,7,24.172
1827,8,24.721
1827,9,19.811
1827,10,14.684
1827,11,7.761
1827,12,2.95
1828,1,-0.647
1828,2,0.026
1828,3,4.89
1828,4,12.527
1828,5,16.427
1828,6,18.919
1828,7,21.732
1828,8,24.27
1828,9,19.232
1828,10,
1828,11,
1828,12,
1829,1,
1829,2,
1829,3,
1829,4,
1829,5,
1829,6,
1829,7,
1829,8,
1829,9,
1829,10,
1829,11,
1829,12,
1830,1,
1830,2,
1830,3,
1830,4,
1830,5,
1830,6,
1830,7,
1830,8,
1830,9,18.208
1830,10,
1830,11,8.81
1830,12,3.473
1831,1,
1831,2,
1831,3,
1831,4,
1831,5,
1831,6,
1831,7,
1831,8,22.402
1831,9,19.531
1831,10,13.306
1831,11,6.928
1831,12,2.042
1832,1,0.434
1832,2,0.583
1832,3,4.438
1832,4,10.385
1832,5,14.643
1832,6,18.538
1832,7,22.579
1832,8,23.414
1832,9,19.155
1832,10,13.555
1832,11,7.167
1832,12,1.914
1833,1,-0.068
1833,2,0.49
1833,3,4.15
1833,4,
1833,5,
1833,6,
1833,7,
1833,8,
1833,9,
1833,10,
1833,11,
1833,12,
1834,1,
1834,2,
1834,3,
1834,4,
1834,5,
1834,6,
1834,7,
1834,8,
1834,9,
1834,10,
1834,11,
1834,12,
1835,1,
1835,2,
1835,3,
1835,4,
1835,5,
1835,6,
1835,7,
1835,8,
1835,9,
1835,10,
1835,11,
1835,12,
1836,1,
1836,2,
1836,3,
1836,4,
1836,5,
1836,6,
1836,7,
1836,8,
1836,9,
1836,10,
1836,11,
1836,12,
1837,1,
1837,2,
1837,3,
1837,4,
1837,5,
1837,6,
1837,7,
1837,8,
1837,9,
1837,10,
1837,11,
1837,12,
1838,1,
1838,2,
1838,3,
1838,4,
1838,5,
1838,6,
1838,7,
1838,8,
1838,9,
1838,10,
1838,11,
1838,12,
1839,1,-0.409
1839,2,0.251
1839,3,3.206
1839,4,9.949
1839,5,15.87
1839,6,19.515
1839,7,25.28
1839,8,25.147
1839,9,20.155
1839,10,13.181
1839,11,7.232
1839,12,1.691
1840,1,-0.465
1840,2,0.053
1840,3,3.415
1840,4,11.215
1840,5,16.045
1840,6,19.399
1840,7,22.51
1840,8,23.714
1840,9,20.151
1840,10,13.243
1840,11,9.015
1840,12,1.574
1841,1,-2.002
1841,2,-1.438
1841,3,3.228
1841,4,10.062
1841,5,15.043
1841,6,18.508
1841,7,24.617
1841,8,23.34
1841,9,18.982
1841,10,12.965
1841,11,6.614
1841,12,0.82
1842,1,-2.023
1842,2,0.27
1842,3,4.876
1842,4,
1842,5,
1842,6,
1842,7,
1842,8,
1842,9,
1842,10,
1842,11,
1842,12,
1843,1,
1843,2,
1843,3,
1843,4,
1843,5,
1843,6,
1843,7,
1843,8,
1843,9,
1843,10,
1843,11,
1843,12,
1844,1,
1844,2,
1844,3,
1844,4,
1844,5,14.674
1844,6,18.353
1844,7,22.849
1844,8,24.074
1844,9,19.026
1844,10,12.956
1844,11,7.966
1844,12,2.885
1845,1,1.563
1845,2,1.075
1845,3,5.029
1845,4,9.908
1845,5,15.121
1845,6,19.246
1845,7,23.378
1845,8,21.483
1845,9,18.088
1845,10,12.409
1845,11,6.711
1845,12,0.168
1846,1,-0.397
1846,2,0.64
1846,3,3.988
1846,4,9.848
1846,5,14.087
1846,6,19.438
1846,7,22.76
1846,8,23.921
1846,9,21.567
1846,10,13.901
1846,11,5.959
1846,12,2.734
1847,1,0.677
1847,2,0.808
1847,3,4.064
1847,4,11.114
1847,5,14.973
1847,6,18.252
1847,7,23.401
1847,8,23.453
1847,9,19.353
1847,10,12.85
1847,11,8.504
1847,12,3.376
1848,1,-0.114
1848,2,1.702
1848,3,5.733
1848,4,10.638
1848,5,15.597
1848,6,18.703
1848,7,24.398
1848,8,24.697
1848,9,20.449
1848,10,13.472
1848,11,7.217
1848,12,3.33
1849,1,0.777
1849,2,2.426
1849,3,5.216
1849,4,9.822
1849,5,14.73
1849,6,19.065
1849,7,22.528
1849,8,23.525
1849,9,21.13
1849,10,13.552
1849,11,6.947
1849,12,3.86
1850,1,-0.288
1850,2,0.783
1850,3,5.673
1850,4,9.84
1850,5,15.825
1850,6,19.318
1850,7,23.618
1850,8,22.887
1850,9,21.227
1850,10,13.357
1850,11,7.588
1850,12,2.219
1851,1,1.02
1851,2,0.447
1851,3,3.772
1851,4,9.435
1851,5,14.273
1851,6,19.352
1851,7,23.493
1851,8,24.64
1851,9,20.206
1851,10,12.547
1851,11,7.262
1851,12,1.937
1852,1,-0.008
1852,2,-0.628
1852,3,2.635
1852,4,8.569
1852,5,14.813
1852,6,19.72
1852,7,23.211
1852,8,24.529
1852,9,18.985
1852,10,13.465
1852,11,7.401
1852,12,1.753
1853,1,-0.241
1853,2,-0.297
1853,3,4.309
1853,4,10.432
1853,5,14.639
1853,6,19.645
1853,7,24.77
1853,8,25.279
1853,9,20.598
1853,10,12.831
1853,11,7.647
1853,12,1.792
1854,1,1.367
1854,2,0.967
1854,3,4.53
1854,4,9.459
1854,5,14.947
1854,6,19.388
1854,7,24.153
1854,8,24.018
1854,9,19.402
1854,10,13.977
1854,11,7.664
1854,12,2.261
1855,1,0.523
1855,2,1.554
1855,3,4.586
1855,4,11.521
1855,5,15.428
1855,6,19.695
1855,7,23.292
1855,8,23.452
1855,9,20.077
1855,10,13.576
1855,11,7.352
1855,12,2.739
1856,1,0.364
1856,2,-0.385
1856,3,4.425
1856,4,10.076
1856,5,15.141
1856,6,19.719
1856,7,23.845
1856,8,24.568
1856,9,19.583
1856,10,13.129
1856,11,7.877
1856,12,3.093
1857,1,-0.03
1857,2,0.732
1857,3,3.92
1857,4,9.958
1857,5,13.917
1857,6,19.386
1857,7,23.354
1857,8,23.987
