Year,Month,Actual Temperature
1743,3,4.746
1743,4,5.302
1743,5,10.971
1743,6,
1743,7,15.449
1743,8,
1743,9,13.245
1743,10,6.261
1743,11,6.705
1743,12,2.91
1744,1,1.091
1744,2,1.07
1744,3,4.127
1744,4,7.468
1744,5,10.952
1744,6,14.733
1744,7,15.979
1744,8,14.755
1744,9,13.015
1744,10,9.158
1744,11,6.042
1744,12,2.849
1745,1,1.797
1745,2,1.55
1745,3,3.802
1745,4,7.695
1745,5,11.666
1745,6,14.605
1745,7,15.94
1745,8,
1745,9,13.597
1745,10,
1745,11,
1745,12,1.697
1746,1,2.328
1746,2,2.074
1746,3,1.885
1746,4,6.704
1746,5,
1746,6,14.013
1746,7,
1746,8,
1746,9,
1746,10,
1746,11,
1746,12,
1747,1,
1747,2,
1747,3,
1747,4,7.537
1747,5,
1747,6,16.17
1747,7,16.002
1747,8,
1747,9,14.197
1747,10,9.206
1747,11,6.23
1747,12,
1748,1,
1748,2,
1748,3,
1748,4,6.349
1748,5,12.106
1748,6,
1748,7,
1748,8,
1748,9,13.327
1748,10,9.398
1748,11,6.533
1748,12,5.659
1749,1,4.287
1749,2,3.131
1749,3,3.884
1749,4,7.371
1749,5,
1749,6,12.994
1749,7,
1749,8,
1749,9,13.499
1749,10,8.527
1749,11,5.157
1749,12,3.263
1750,1,2.093
1750,2,5.594
1750,3,7.964
1750,4,8.293
1750,5,11.432
1750,6,14.573
1750,7,17.576
1750,8,16.259
1750,9,14.091
1750,10,7.757
1750,11,2.736
1750,12,2.124
1751,1,2.637
1751,2,0.798
1751,3,6.638
1751,4,7.156
1751,5,10.556
1751,6,14.355
1751,7,16.483
1751,8,16.129
1751,9,12.563
1751,10,8.393
1751,11,3.679
1751,12,2.913
1752,1,2.653
1752,2,4.111
1752,3,5.991
1752,4,7.133
1752,5,10.798
1752,6,15.885
1752,7,16.726
1752,8,15.949
1752,9,
1752,10,9.248
1752,11,6.436
1752,12,3.99
1753,1,0.496
1753,2,3.484
1753,3,7.047
1753,4,7.953
1753,5,11.65
1753,6,15.833
1753,7,16.56
1753,8,15.09
1753,9,13.699
1753,10,9.953
1753,11,4.515
1753,12,2.813
1754,1,2.622
1754,2,2.083
1754,3,2.784
1754,4,7.695
1754,5,12.597
1754,6,14.52
1754,7,15.377
1754,8,16.082
1754,9,13.068
1754,10,10.407
1754,11,6.218
1754,12,3.353
1755,1,-0.326
1755,2,0.359
1755,3,4.081
1755,4,10.268
1755,5,10.904
1755,6,16.67
1755,7,16.586
1755,8,14.699
1755,9,12.505
1755,10,9.568
1755,11,5.415
1755,12,3.706
1756,1,5.209
1756,2,5.565
1756,3,5.548
1756,4,6.635
1756,5,10.617
1756,6,15.951
1756,7,17.104
1756,8,15.306
1756,9,14.297
1756,10,8.862
1756,11,3.748
1756,12,0.492
1757,1,-0.073
1757,2,3.343
1757,3,5.015
1757,4,8.58
1757,5,11.436
1757,6,15.802
1757,7,19.406
1757,8,16.98
1757,9,13.383
1757,10,6.693
1757,11,6.314
1757,12,2.455
1758,1,-0.118
1758,2,3.22
1758,3,5.372
1758,4,6.742
1758,5,12.982
1758,6,15.097
1758,7,14.611
1758,8,16.034
1758,9,12.291
1758,10,7.969
1758,11,5.38
1758,12,3.239
1759,1,4.901
1759,2,5.665
1759,3,6.302
1759,4,8.079
1759,5,11.091
1759,6,15.305
1759,7,17.923
1759,8,16.604
1759,9,13.638
1759,10,10.171
1759,11,3.255
1759,12,0.289
1760,1,-0.315
1760,2,2.845
1760,3,4.044
1760,4,8.295
1760,5,11.187
1760,6,15.149
1760,7,15.905
1760,8,15.278
1760,9,13.896
1760,10,8.588
1760,11,5.619
1760,12,4.781
1761,1,2.246
1761,2,5.077
1761,3,7.394
1761,4,7.949
1761,5,12.671
1761,6,15.852
1761,7,16.725
1761,8,17.271
1761,9,14.184
1761,10,6.907
1761,11,5.351
1761,12,0.32
1762,1,4.469
1762,2,3.108
1762,3,2.868
1762,4,10.102
1762,5,12.133
1762,6,14.672
1762,7,16.674
1762,8,14.562
1762,9,12.791
1762,10,6.223
1762,11,4.287
1762,12,1.053
1763,1,-1.399
1763,2,4.886
1763,3,4.44
1763,4,7.37
1763,5,9.421
1763,6,14.051
1763,7,15.676
1763,8,15.668
1763,9,12.696
1763,10,8.071
1763,11,5.469
1763,12,4.94
1764,1,4.489
1764,2,4.715
1764,3,4.452
1764,4,7.284
1764,5,12.466
1764,6,13.685
1764,7,16.495
1764,8,15.275
1764,9,12.055
1764,10,8.168
1764,11,4.841
1764,12,2.376
1765,1,4.559
1765,2,0.555
1765,3,6.085
1765,4,8.19
1765,5,11.069
1765,6,14.083
1765,7,14.93
1765,8,15.873
1765,9,13.346
1765,10,9.734
1765,11,4.055
1765,12,1.156
1766,1,0.167
1766,2,2.115
1766,3,4.68
1766,4,8.644
1766,5,10.007
1766,6,14.289
1766,7,15.952
1766,8,16.55
1766,9,14.091
1766,10,9.597
1766,11,6.728
1766,12,2.581
1767,1,-1.055
1767,2,5.95
1767,3,5.537
1767,4,6.534
1767,5,10.024
1767,6,12.569
1767,7,14.618
1767,8,16.239
1767,9,14.329
1767,10,9.536
1767,11,7.448
1767,12,2.394
1768,1,0.487
1768,2,4.299
1768,3,4.359
1768,4,7.837
1768,5,11.154
1768,6,14.232
1768,7,15.699
1768,8,16.257
1768,9,12.135
1768,10,9.344
1768,11,5.819
1768,12,4.207
1769,1,2.842
1769,2,2.898
1769,3,5.091
1769,4,7.793
1769,5,10.932
1769,6,12.857
1769,7,15.974
1769,8,15.321
1769,9,13.175
1769,10,7.226
1769,11,5.961
1769,12,4.562
1770,1,3.075
1770,2,4.316
1770,3,3.08
1770,4,5.702
1770,5,10.37
1770,6,13.305
1770,7,15.762
1770,8,16.491
1770,9,14.495
1770,10,8.731
1770,11,5.313
1770,12,4.108
1771,1,0.706
1771,2,2.097
1771,3,2.577
1771,4,5.011
1771,5,12.703
1771,6,14.202
1771,7,16.191
1771,8,15.162
1771,9,12.698
1771,10,9.587
1771,11,5.508
1771,12,5.255
1772,1,0.606
1772,2,2.02
1772,3,4.415
1772,4,6.457
1772,5,10.065
1772,6,16.309
1772,7,17.083
1772,8,16.596
1772,9,13.524
1772,10,11.477
1772,11,6.934
1772,12,4.018
1773,1,3.567
1773,2,1.995
1773,3,5.886
1773,4,8.068
1773,5,10.537
